basin,key,lat,lon,Kpet,uztwm,uzfwm,lztwm,lzfpm,lzfsm,uzk,lzpk,lzsk,zperc,rexp,pfree,pctim,adimp,riva,side,rserv,SCF,PXTEMP,MFMAX,MFMIN,UADJ,MBASE,TIPM,PLWHC,NMF,DAYGM,Nres,Kres,Velo,Diff,Kpet_asin,Kpet_acos
SHA,41.53125_-121.90625,41.53125,-121.90625,0.7208613236945263,176.63030636298797,544.5085724499496,1983.3162781040596,1296.0454077625857,3395.410159003982,0.23776488625705733,0.2807012087287306,0.017788998339327615,409.8606389992736,4.139284551426137,0.26493501717279394,0.01484779303118591,0.22817471838670322,0.009630889969363381,0.0,0.25612478187513205,1.0,0.0,0.6098550644583982,0.08345930212012304,0.03272674864084847,0.1536887754562616,0.9785066505980149,0.027512786370832088,0.2929200817814678,0.1586128999669305,8.831690266193377,0.7887337553456057,4.665650830257656,3951.1474225158954,0.0781187725481582,0.10997292181821598
SHA,41.53125_-121.84375,41.53125,-121.84375,0.6546581843151531,155.623831838921,506.79105219801124,2443.4425349440385,1273.1376913196066,3409.06861929643,0.21593383170370897,0.3091618484500346,0.014085137005925102,422.5898703216409,3.6823327223303344,0.2283038626103236,0.012641255797684138,0.20751484309725626,0.004938997297943708,0.0,0.25612478187513205,1.0,0.0,0.5510940352162882,0.08064018335872127,0.03180090353579877,0.17668645651583148,0.9779553885588365,0.028335149797204022,0.29200317278660637,0.1565761495756876,9.376262243312238,0.7710008445386021,4.736225784211985,3963.5996115125995,0.08904072937018187,0.12164818029853805
SHA,41.53125_-121.78125,41.53125,-121.78125,0.6816831151917943,203.1366132873269,516.7231603801152,2694.662495404849,1163.1835741324398,3648.888459837214,0.22439915196147658,0.33079564393402594,0.01342902275091058,417.84540307717606,3.8370233851935924,0.22118339846144172,0.013149737651949947,0.20251105673090852,0.005612339199272574,0.0,0.25612478187513205,1.0,0.0,0.5094154310809642,0.08784195331651673,0.03216885390897332,0.20301170199863636,0.9782576895854774,0.029175505473817507,0.29081289912926933,0.14173419045519656,9.179134912729053,0.7742064022300175,4.724758641472553,3951.550310104307,0.08589320403642867,0.11679967194745884
SHA,41.53125_-121.71875,41.53125,-121.71875,0.7269705073099025,220.5646558263368,541.2416739726918,2391.327541781277,1179.9639430422508,3644.819841314762,0.23853516869516844,0.3088466210616291,0.01562559577552932,409.58687720977076,4.132840896349379,0.23991245071562353,0.014376378453203852,0.21422452007851756,0.00867484544857374,0.0,0.25612478187513205,1.0,0.0,0.5480918071141547,0.08936221845691261,0.03281590493459237,0.182517800677303,0.97861226451502,0.028469525351828465,0.29163992569715647,0.14472352093822038,8.88005897419912,0.7841196246527705,4.675987239131147,3942.985085103165,0.0788150748260527,0.10918197523359059
SHA,41.53125_-121.53125,41.53125,-121.53125,0.871509607730427,309.25645178169594,597.9583950448147,1983.1935896166533,1174.981608882053,3724.201451793554,0.2787717362816757,0.29095861786730787,0.021016239567634577,384.57534602791446,4.9891288215390475,0.27376362276750854,0.018109271484619927,0.2455169799465305,0.023272409702611713,0.0,0.25612478187513205,1.0,0.0,0.624419724437807,0.10255465534116288,0.03564911665865602,0.1590531815357023,0.979560410227535,0.027853038475379302,0.2925722404774104,0.14002363721352748,7.950689845779464,0.8118163131175963,4.548377621431108,3892.591656847322,0.060594305702736,0.08613255788822897
SHA,41.53125_-121.46875,41.53125,-121.46875,0.5255024431488465,109.79669757605211,397.7284007039974,3726.480593739753,1054.7394984734428,3717.8830050841234,0.16356202516201004,0.3838961258408808,0.007532667890002336,449.68652036821123,2.6871289127793068,0.15556680385149704,0.008290839428367398,0.1421257498465374,0.0007312542708289737,0.0,0.25612478187513205,1.0,0.0,0.35594778132261157,0.0757294765495556,0.030576063388782597,0.31440489767843816,0.9763328593576641,0.03207020911992553,0.28617110351307423,0.13576653192184845,11.013052407398279,0.7080934711333512,4.8644032911358215,3983.363554591434,0.11485168360597502,0.1451290735535165
SHA,41.46875_-122.15625,41.46875,-122.15625,0.5490929617199651,75.86992197318422,450.1812654548775,2476.376086307933,1422.8084935159502,2920.703504546349,0.18054270426274063,0.27393038027512007,0.013377486412111905,441.47695307732164,3.017919818754756,0.20629085071540113,0.00967146883558544,0.1791701439965017,0.002002819317095771,0.0,0.25612478187513205,1.0,0.0,0.5789513965212508,0.0671624802147555,0.030786949798621347,0.15633641830586592,0.9765742555763699,0.027831392222258996,0.2929003059612674,0.1822108304059677,10.413393824126878,0.7422596579796916,4.804014397079114,3982.193858611305,0.10483862784681576,0.13924055583254177
SHA,41.46875_-122.09375,41.46875,-122.09375,0.8908503521173081,343.9440350686632,598.3800013392381,2106.724069104174,1196.3131174238897,3677.4659339331533,0.2790012183873468,0.29787321290964536,0.0210561765664239,384.84010202807553,4.969992356066157,0.25282290251967615,0.017505452954628985,0.2501234266850082,0.02353785066612996,0.0,0.25612478187513205,1.0,0.0,0.6823566086568741,0.10667320355880788,0.03553401563389585,0.14751531843084015,0.9795141292846321,0.028092081620844853,0.2932521094811437,0.1448038880994723,7.774561992349239,0.8182810624839434,4.565721920164116,3868.6189355684705,0.06109957819500765,0.08659382865495784
SHA,41.46875_-122.03125,41.46875,-122.03125,0.5715248842037841,129.27143838359632,458.2949414424251,3071.224966695633,1175.6376490314544,3506.689297830803,0.19022095100780373,0.33050528327020423,0.011074992268848062,436.38827418627767,3.1817917249195067,0.19222113488611628,0.010237804037556466,0.16556149799597378,0.0020314281431911417,0.0,0.25612478187513205,1.0,0.0,0.46602141925211127,0.0763103779195026,0.0310133985637282,0.21923103943090702,0.9770641916243331,0.02958941098902821,0.29018729365251494,0.15215660372388562,10.21942949287465,0.7407675553959865,4.80131105664604,3972.3286563511747,0.10189064563474376,0.13420139923374927
SHA,41.46875_-121.96875,41.46875,-121.96875,0.5634017650384475,110.91620563823236,445.48486206114376,3085.8411532692617,1172.6814509174324,3528.22950343809,0.1835785343142398,0.3352471384790175,0.010206336425832834,439.614583038674,3.065717414423874,0.19335245291903802,0.009968495955235433,0.16444910881139654,0.001685645237492257,0.0,0.25612478187513205,1.0,0.0,0.4405764724458061,0.07470472091028932,0.030896470221672873,0.2297423044269022,0.9769292614567024,0.029554420173461195,0.2897128457451928,0.15154806597727413,10.428959151508023,0.7329177662412485,4.812789586926202,3978.25565325644,0.10451326170865462,0.13678022527763375
