basin,key,lat,lon,Kpet,uztwm,uzfwm,lztwm,lzfpm,lzfsm,uzk,lzpk,lzsk,zperc,rexp,pfree,pctim,adimp,riva,side,rserv,SCF,PXTEMP,MFMAX,MFMIN,UADJ,MBASE,TIPM,PLWHC,NMF,DAYGM,Nres,Kres,Velo,Diff,Kpet_asin,Kpet_acos,MFMAX_asin,MFMAX_acos,MFMIN_asin,MFMIN_acos,MBASE_asin,MBASE_acos
SHA,41.53125_-121.90625,41.53125,-121.90625,0.7980716686852407,968.9581989443192,509.7006696859533,4997.001059506849,834.6377807673989,4246.221997262245,0.7039315458780202,0.20798398786615996,0.013249164098567724,311.99581155110064,6.257143169849243,0.5595341005386563,0.028739539564056695,0.011497420312748328,3.617872218903879e-05,0.0,0.25612478187513205,1.0,0.0,0.6184143914691959,0.36353563693402347,0.030060243328192713,0.09415322116906186,0.9823932329776702,0.08483605536538136,0.051346836123843186,0.2509585660927579,4.97457241873096,0.3634070579043421,4.921795836468506,3997.969228762634,0.0913624044192808,0.20346009073037624,0.010842441470351991,-0.3396248404375843,-0.19254048232005258,-0.125793401139428,0.20559917574574496,0.35355772173376054
SHA,41.53125_-121.84375,41.53125,-121.84375,0.7466127930531021,982.001019433194,469.2560676711817,4999.325959687263,768.9340422147802,4299.876173110156,0.7452877160452716,0.20868186046348458,0.010416014373496811,315.59206524234526,6.005693086166112,0.5784964151432657,0.027755054279378664,0.006098305949610592,7.808836595878557e-06,0.0,0.25612478187513205,1.0,0.0,0.5530555213329292,0.42647862644561607,0.03001982422588383,0.09796390515754629,0.9824508451845564,0.10829213389176033,0.050285439174623844,0.26046972542954194,4.759328018888733,0.2812110584739101,4.95281509185312,3999.2152352647777,0.10422781951570916,0.20666649207307627,0.013866755099855,-0.3705061698917785,-0.21715400906067706,-0.14615661788244672,0.23361278468080063,0.38504169757460194
SHA,41.53125_-121.78125,41.53125,-121.78125,0.7533941349214328,979.9573455610384,480.0293866493103,4999.108764272408,772.0008011530178,4281.912786354463,0.7404998560354742,0.20759454771775948,0.010909403606511598,313.3676829966359,6.087354562235331,0.5762692698832058,0.028142393437763202,0.006861052852952945,1.026891597057286e-05,0.0,0.25612478187513205,1.0,0.0,0.5730964728424153,0.41486583568623403,0.030024353779903905,0.09605432368905022,0.9824422918629057,0.10422408538999449,0.050378879478870986,0.25945484450272105,4.798493195710732,0.2942472789196444,4.948395262316944,3999.0585044826307,0.10188782231485072,0.20624666485368653,0.01493598091220106,-0.366401512243428,-0.21228492383585174,-0.1422551719196665,0.2278342678083106,0.3803014952776553
SHA,41.53125_-121.71875,41.53125,-121.71875,0.7482202560532734,978.897648264893,475.49868471333997,4998.997450385855,798.6085506320935,4285.695116280683,0.7348674151023616,0.20996507303528603,0.011157609947544722,315.2936317323375,6.039070779732259,0.5759686511418911,0.028098413288863536,0.007084461875088287,1.1083882439963875e-05,0.0,0.25612478187513205,1.0,0.0,0.593165830158839,0.41503983073474904,0.030025737723491472,0.09225687450353058,0.9824459376950838,0.10399935648350907,0.05042177735439032,0.2601685063153408,4.923960162024667,0.2897221261581954,4.945613731697991,3998.9957863623276,0.10186842852112,0.20612629635702814,0.014197330858289343,-0.3662518446758547,-0.21285224093357566,-0.1399903660246249,0.2266391165210871,0.37939850717315515
SHA,41.53125_-121.53125,41.53125,-121.53125,0.8550004311298667,956.8337075764331,543.6431914501114,4992.346629555577,851.5357315655538,4200.805712343317,0.6784898457133118,0.20544102752491833,0.015481701450622283,306.88581910228453,6.50120330189395,0.5424502852333656,0.029514388537143294,0.017513961592479407,0.00010381814963576428,0.0,0.25612478187513205,1.0,0.0,0.647360607457901,0.3289656475030254,0.03012404604292898,0.09447580670434275,0.982351460648026,0.07120790009269876,0.05367238395283641,0.24204336351234623,5.0373494989048595,0.4314133359788926,4.8928337859668,3996.1334522616526,0.08247924451572589,0.19970438991132786,0.012216553817031362,-0.31402600886635057,-0.17081887250867786,-0.11175535793364805,0.18301021478964744,0.3271393199002245
SHA,41.53125_-121.46875,41.53125,-121.46875,0.6257017439192166,992.4394809949224,370.41963004681475,4999.942517411145,738.6261159469661,4402.624752998943,0.8016332989660396,0.21764253140482484,0.007468760413728924,329.86966977258203,5.358763682031741,0.6279116648607317,0.0262142478027965,0.001920438648641062,4.3758493951884484e-07,0.0,0.25612478187513205,1.0,0.0,0.5183433430520357,0.5825543486179843,0.03000271286968923,0.09014537818481283,0.9825822006251513,0.16554258037899613,0.05001789116724161,0.2777545456919804,4.695604957856006,0.14838276813459664,4.979678106393777,3999.8539077160476,0.12455247085688066,0.2090629652281372,0.01573746823160339,-0.41946867110825914,-0.2684797042319912,-0.1784025208019615,0.28378314627252893,0.43063083933175716
SHA,41.46875_-122.15625,41.46875,-122.15625,0.6800577895906983,978.9260648662047,474.55961067907003,4999.07992956202,770.1076711121048,4268.149515294906,0.7450905476777903,0.20678114024055275,0.011153349253085875,313.14509029680335,6.071058253530178,0.6000589549109595,0.029516366551534685,0.006398481277002037,8.077772447174266e-06,0.0,0.25612478187513205,1.0,0.0,0.6156937530122769,0.36994003129876424,0.030023522389133455,0.09478860406691561,0.9824153270627961,0.11340622291366317,0.05034714411456693,0.2607763604966221,4.864463591220557,0.28274085087143497,4.947808292278614,3999.1574910276527,0.09937679793112794,0.20652406369811185,0.0033323696972837307,-0.37154357856964915,-0.22794764112826757,-0.14912131652218805,0.23963944689416436,0.387080338172176
SHA,41.46875_-122.09375,41.46875,-122.09375,0.7035549780123697,982.6264324441007,455.5989112267518,4999.455903372045,775.4180062221352,4294.936455280558,0.7539476120743449,0.2104724636413642,0.010350380235970982,315.75486716885166,5.932233907381594,0.5932387195375058,0.028107445454858344,0.005331260750590178,5.298572870349455e-06,0.0,0.25612478187513205,1.0,0.0,0.5986844868005005,0.44789428239195184,0.030015622801281745,0.08865853024091205,0.9824828881327352,0.1187916224796631,0.050210846160893594,0.2655280633313676,4.963379933703827,0.2444826365340665,4.955516325685749,3999.362051071931,0.10779782293875258,0.20721920956465267,0.01274415876134523,-0.381486912805967,-0.22829523336046967,-0.1479481045613637,0.2420626781768643,0.3938802176202404
SHA,41.46875_-122.03125,41.46875,-122.03125,0.7954948809698229,958.5948069772173,536.6920732000257,4993.68890814704,835.9593476453915,4200.69794305488,0.6883803895138108,0.20450366242678375,0.015118026271297776,307.18496567525574,6.468161953116897,0.5608500398617282,0.030335592276652706,0.01556732512349494,7.366835003703008e-05,0.0,0.25612478187513205,1.0,0.0,0.6514419402151603,0.3126702519025627,0.030104945841594434,0.09647846304581244,0.9823347284984143,0.07726914431479101,0.05277206510323578,0.24382432412286142,4.979921773229034,0.4167696479482676,4.900296179607906,3996.7502671945867,0.0822768036687303,0.20099314802555993,0.004707468498799302,-0.32227164260400065,-0.1845243642666931,-0.11931295020651791,0.19551763284610318,0.33724528090239936
SHA,41.46875_-121.96875,41.46875,-121.96875,0.8812620432612932,939.4071826580772,570.6046145749382,4980.371029205899,880.2350596234257,4165.807862825245,0.6502653756387626,0.20335779509303917,0.018139626450047363,304.72276786877774,6.687198442460263,0.5355665186710764,0.030619336115895665,0.026010318315625672,0.0002709098342650464,0.0,0.25612478187513205,1.0,0.0,0.6704215476906221,0.28265702077604477,0.030255731287998657,0.09810424982138959,0.9822883897550548,0.061001663711635803,0.05938048913461937,0.23131606926293224,5.012873718702271,0.5081751311343293,4.855139572807984,3992.779595182071,0.07090591661777346,0.19424269514348283,0.005765271379031555,-0.28593376274984894,-0.1567875333645749,-0.10193123223508369,0.1672477317571627,0.30030810431048627
SHA,41.46875_-121.90625,41.46875,-121.90625,0.8934727149694521,946.3525045798682,554.9352817917329,4985.85555980104,898.493420633259,4193.924240760295,0.6546543963279838,0.20687536571454782,0.017116484866094663,308.1923415600903,6.547965471579852,0.5321999956051896,0.02964286841832875,0.02286430803214693,0.00020022698956687632,0.0,0.25612478187513205,1.0,0.0,0.662185892167705,0.31513691384547127,0.03019627348997221,0.09343825606190326,0.9823318506034281,0.06318535472689177,0.05690665074576978,0.2368734888006288,5.100074390801751,0.47398826546835343,4.868171347872364,3994.0926222145526,0.07672613949495642,0.19634534555669342,0.010659939546538485,-0.2964225138236769,-0.15915826663457147,-0.10207468654478412,0.17005842366689594,0.3086260653759483
SHA,41.46875_-121.84375,41.46875,-121.84375,0.8799520320758567,954.5550219363399,549.4223549790999,4991.006041171221,856.9188967114112,4197.354465161051,0.6723901596962515,0.20512224970752654,0.015869756943489167,306.56123376781886,6.53735277183218,0.5365922190217153,0.029363552395530537,0.019084329400199405,0.00012933890575278216,0.0,0.25612478187513205,1.0,0.0,0.6457997415337072,0.3297809241258023,0.030141890440544127,0.09451295220062964,0.9823494087204501,0.06794397128606311,0.054441245080973186,0.2399899107175616,5.01902378465481,0.4475399005568656,4.887157416552563,3995.6089826470693,0.08117108905806522,0.19873138226094958,0.013346499776592675,-0.3078701944151252,-0.16466990769973466,-0.10816439551040856,0.17777854416166547,0.3204585901198425
SHA,41.46875_-121.78125,41.46875,-121.78125,0.8926562335703673,949.7293292759256,556.9070559960861,4988.114146768124,869.5035435956152,4185.35736355172,0.664130031419586,0.20480961723788388,0.016689166772643885,305.7142634186235,6.589208713878503,0.5330169302848689,0.029524689959993005,0.021463552904931845,0.00017201000024792158,0.0,0.25612478187513205,1.0,0.0,0.663721725896563,0.32235107234458527,0.030174181716053402,0.09280957932516841,0.9823412598064273,0.0648399353267876,0.05591501462931624,0.23821250195636903,5.062248888302678,0.4645071601594399,4.876382624306217,3994.7496993246955,0.07873352027566415,0.19727445602031435,0.01333306701939279,-0.30102251987864426,-0.15943241294134358,-0.10393523044987758,0.17181865311426814,0.3128074324403559
