basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9308,0.9077,-2.6007,0.953,5812,0.9077,0.8959,1.3474,0.9468,5567,1.1406,8047.8053
BND,8900.0,0.9171,0.8898,0.5583,0.9433,1458,0.9001,0.9259,3.8465,0.964,5571,1.2101,11400.9932
ORO,3607.0,0.9117,0.9178,-4.0357,0.9586,5480,0.8881,0.8963,-5.4913,0.9478,5569,1.557,5945.3266
YRS,1108.0,0.8746,0.861,-3.3862,0.9284,5063,0.9012,0.8492,-2.0676,0.9219,5545,2.7166,3186.4137
FOL,1885.0,0.9044,0.8922,-1.5538,0.9448,5063,0.866,0.8867,-2.3691,0.9439,5272,2.0599,4110.5197
MKM,544.0,0.8938,0.8642,-1.9909,0.9297,5195,0.8124,0.8252,-13.3744,0.9125,5056,1.8209,1048.6139
NHG,363.0,0.8826,0.8804,-6.182,0.9386,4637,0.8299,0.8134,-3.9346,0.9027,4678,0.658,252.8732
NML,900.0,0.9164,0.8807,-1.1871,0.9385,5721,0.8758,0.799,-6.8385,0.8986,5473,1.5142,1442.6615
TLG,1538.0,0.8918,0.9102,-2.931,0.9556,5498,0.9462,0.9026,2.2557,0.9518,5157,1.6987,2765.7774
MRC,1061.0,0.8882,0.8948,-0.8961,0.947,5463,0.8026,0.8533,-12.6697,0.9287,5570,1.1648,1308.346
MIL,1675.0,0.9502,0.9182,2.8454,0.9592,5721,0.947,0.8955,0.8182,0.9477,5499,1.3344,2366.0635
PNF,1545.0,0.9682,0.9461,1.5187,0.973,5809,0.8839,0.8939,9.5122,0.9521,5549,1.3144,2149.7892
TRM,561.0,0.9438,0.9037,-0.3285,0.9509,5543,0.8737,0.8896,-8.2154,0.945,5503,0.9003,534.6446
SCC,393.0,0.8537,0.8921,-4.5983,0.9479,5228,0.586,0.6775,28.246,0.915,5292,0.4767,198.3217
ISB,2074.0,0.9692,0.9446,0.7926,0.9721,5821,0.8454,0.8212,-2.3518,0.9068,5569,0.3887,853.502
