basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9358,0.9071,-2.3379,0.9527,5812,0.9122,0.8953,1.8644,0.9465,5567,1.1406,8047.8053
BND,8900.0,0.9367,0.8923,-0.3142,0.9449,1458,0.9093,0.9262,2.2721,0.9635,5571,1.2101,11400.9932
ORO,3607.0,0.9145,0.9112,-3.4268,0.955,5480,0.9031,0.9023,-5.1277,0.9506,5569,1.557,5945.3266
YRS,1108.0,0.8406,0.854,-5.6526,0.9263,5063,0.9048,0.8578,-4.5393,0.9271,5545,2.7166,3186.4137
FOL,1885.0,0.8991,0.8831,-1.4626,0.94,5063,0.8679,0.8917,-3.3685,0.9465,5272,2.0599,4110.5197
MKM,544.0,0.8809,0.8603,-3.6597,0.9279,5195,0.7901,0.8233,-17.1069,0.914,5056,1.8209,1048.6139
NHG,363.0,0.8745,0.8792,-7.2735,0.9381,4637,0.8328,0.8384,-6.2248,0.9171,4678,0.658,252.8732
NML,900.0,0.8747,0.8777,-3.4018,0.9381,5721,0.8616,0.816,-8.8178,0.9063,5473,1.5142,1442.6615
TLG,1538.0,0.8929,0.9075,-0.8699,0.954,5498,0.9371,0.8977,3.5865,0.9499,5157,1.6987,2765.7774
MRC,1061.0,0.8873,0.8989,-1.0579,0.9494,5463,0.8192,0.8593,-12.0468,0.9308,5570,1.1648,1308.346
MIL,1675.0,0.9467,0.9282,-2.2955,0.9636,5721,0.9281,0.8905,-2.9557,0.9441,5499,1.3344,2366.0635
PNF,1545.0,0.9711,0.95,-0.3775,0.9748,5809,0.8531,0.8844,12.0014,0.951,5549,1.3144,2149.7892
TRM,561.0,0.9484,0.9101,0.0476,0.9542,5543,0.8828,0.9008,-8.2391,0.9508,5503,0.9003,534.6446
SCC,393.0,0.8504,0.8941,-3.7067,0.9496,5228,0.5706,0.6713,32.122,0.9088,5292,0.4767,198.3217
ISB,2074.0,0.9572,0.9413,-2.6973,0.9705,5821,0.8321,0.8467,-6.6335,0.9231,5569,0.3887,853.502
