basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9573,0.9273,-1.1692,0.9632,5812,0.9267,0.8948,5.0686,0.9479,5567,1.1406,8047.8053
BND,8900.0,0.937,0.9438,-0.369,0.9719,1458,0.9134,0.9134,6.839,0.9574,5571,1.2101,11400.9932
ORO,3607.0,0.9183,0.9328,-0.854,0.9667,5480,0.8999,0.8962,-3.7948,0.9473,5569,1.557,5945.3266
YRS,1108.0,0.864,0.8658,2.4716,0.9318,5063,0.8878,0.8381,7.6449,0.919,5545,2.7166,3186.4137
FOL,1885.0,0.8963,0.8935,-0.5453,0.9459,5063,0.8621,0.8829,-2.127,0.942,5272,2.0599,4110.5197
MKM,544.0,0.9145,0.8674,3.5878,0.9321,5195,0.8539,0.8355,-8.3585,0.9156,5056,1.8209,1048.6139
NHG,363.0,0.9105,0.8787,4.589,0.9377,4637,0.8465,0.8115,4.1683,0.901,4678,0.658,252.8732
NML,900.0,0.9264,0.8766,-3.9638,0.9383,5721,0.8564,0.815,-11.0491,0.9092,5473,1.5142,1442.6615
TLG,1538.0,0.9193,0.926,-0.6631,0.9629,5498,0.9332,0.8766,0.4363,0.9371,5157,1.6987,2765.7774
MRC,1061.0,0.8952,0.9232,2.4897,0.9626,5463,0.7931,0.8519,-10.4273,0.9297,5570,1.1648,1308.346
MIL,1675.0,0.9597,0.9424,0.639,0.9708,5721,0.9075,0.859,-3.5817,0.9276,5499,1.3344,2366.0635
PNF,1545.0,0.9785,0.9611,0.8854,0.9805,5809,0.9184,0.8792,5.1509,0.9419,5549,1.3144,2149.7892
TRM,561.0,0.9434,0.9141,-1.2664,0.9562,5543,0.8751,0.8899,-7.7659,0.9451,5503,0.9003,534.6446
SCC,393.0,0.8865,0.9137,-0.8271,0.958,5228,0.6352,0.7093,28.0734,0.9066,5292,0.4767,198.3217
ISB,2074.0,0.9613,0.9339,1.1002,0.9677,5821,0.8762,0.8221,-1.8582,0.9069,5569,0.3887,853.502
