epoch,loss,cal_kge,lr,epoch_s
0.000000000000000000e+00,1.462414426108201271e+00,-1.189502145128789046e-01,1.599999999999999860e-04,8.489709854125976562e+00
1.000000000000000000e+00,9.380759303975436669e-01,nan,2.799999999999999755e-04,2.432768344879150391e+00
2.000000000000000000e+00,4.335997206055455799e-01,7.400028246924063025e-01,4.000000000000000192e-04,6.979629039764404297e+00
3.000000000000000000e+00,3.380504661343163852e-01,nan,3.997038957044966347e-04,2.367508888244628906e+00
4.000000000000000000e+00,2.998466772130793934e-01,7.953778307722145779e-01,3.988164820770001432e-04,6.947020053863525391e+00
5.000000000000000000e+00,2.775567844510078430e-01,nan,3.973404541635308261e-04,2.444498777389526367e+00
6.000000000000000000e+00,2.604437979041702156e-01,8.360234652093886387e-01,3.952802946123499476e-04,7.008409500122070312e+00
7.000000000000000000e+00,2.505935011431574821e-01,nan,3.926422600603038165e-04,2.427494764328002930e+00
8.000000000000000000e+00,2.438519689668383894e-01,8.301394644497012143e-01,3.894343621316237046e-04,7.022063255310058594e+00
9.000000000000000000e+00,2.338860840536653996e-01,nan,3.856663431068863305e-04,2.391404628753662109e+00
1.000000000000000000e+01,2.366971920451356182e-01,8.547195635548215931e-01,3.813496463360276242e-04,6.965558052062988281e+00
1.100000000000000000e+01,2.231842568144202232e-01,nan,3.764973814852653577e-04,2.373630762100219727e+00
1.200000000000000000e+01,2.222289455951088066e-01,8.258302630724219107e-01,3.711242847234738217e-04,6.950241804122924805e+00
1.300000000000000000e+01,2.128248890965349083e-01,nan,3.652466739689228317e-04,2.429348230361938477e+00
1.400000000000000000e+01,2.158423037164741154e-01,8.602647297431499362e-01,3.588823993322968141e-04,7.017562866210937500e+00
1.500000000000000000e+01,2.127202144927448635e-01,nan,3.520507889064948374e-04,2.402710199356079102e+00
1.600000000000000000e+01,2.062000117471648464e-01,8.410234174040522870e-01,3.447725900678480699e-04,7.029524087905883789e+00
1.700000000000000000e+01,2.028727517980668249e-01,nan,3.370699064670196177e-04,2.423537254333496094e+00
1.800000000000000000e+01,1.941121884414719334e-01,8.678413758420779889e-01,3.289661309009438194e-04,7.024091005325317383e+00
1.900000000000000000e+01,1.927435198384854498e-01,nan,3.204858742696712172e-04,2.368188142776489258e+00
2.000000000000000000e+01,1.922332553399933586e-01,8.728643043006291125e-01,3.116548908338733241e-04,6.958021163940429688e+00
2.100000000000000000e+01,1.917214801328049889e-01,nan,3.025000000000000887e-04,2.370354175567626953e+00
2.200000000000000000e+01,1.918082873647411757e-01,8.810424653402841866e-01,2.930490048706235230e-04,6.955959558486938477e+00
2.300000000000000000e+01,1.849833905386427946e-01,nan,2.833306078073291384e-04,2.429564714431762695e+00
2.400000000000000000e+01,1.838115907998548737e-01,8.785926804300525639e-01,2.733743232625872191e-04,7.008087873458862305e+00
2.500000000000000000e+01,1.852930290107097921e-01,nan,2.632103881453305423e-04,2.442975044250488281e+00
2.600000000000000000e+01,1.835734994254178409e-01,8.961866198554052643e-01,2.528696699924559048e-04,7.025255680084228516e+00
2.700000000000000000e+01,1.785578069587548666e-01,nan,2.423835732251290525e-04,2.420166254043579102e+00
2.800000000000000000e+01,1.766332512617939110e-01,8.746076028578496642e-01,2.317839437745895933e-04,6.975280046463012695e+00
2.900000000000000000e+01,1.775568414272533646e-01,nan,2.211029723671048693e-04,2.521929740905761719e+00
3.000000000000000000e+01,1.748870836260418005e-01,8.961418705391995809e-01,2.103730967617916401e-04,7.195631742477416992e+00
3.100000000000000000e+01,1.724837349934710273e-01,nan,1.996269032382084595e-04,2.532998323440551758e+00
3.200000000000000000e+01,1.792661565252476330e-01,8.827873641493668710e-01,1.888970276328952845e-04,7.082192420959472656e+00
3.300000000000000000e+01,1.685342028633587952e-01,nan,1.782160562254104250e-04,2.424294948577880859e+00
3.400000000000000000e+01,1.657099820052584105e-01,8.887368267416385637e-01,1.676164267748710471e-04,7.008207798004150391e+00
3.500000000000000000e+01,1.656581513169738951e-01,nan,1.571303300075441948e-04,2.454777717590332031e+00
3.600000000000000000e+01,1.663942419820361729e-01,9.101071174771192540e-01,1.467896118546695844e-04,7.034821510314941406e+00
3.700000000000000000e+01,1.714155694159368581e-01,nan,1.366256767374129618e-04,2.389908313751220703e+00
3.800000000000000000e+01,1.671056134315828390e-01,8.842349942488245684e-01,1.266693921926709883e-04,6.965666294097900391e+00
3.900000000000000000e+01,1.657068290644221897e-01,nan,1.169509951293766308e-04,2.441481590270996094e+00
4.000000000000000000e+01,1.645217278661827154e-01,8.931055915422809743e-01,1.075000000000000651e-04,7.043976306915283203e+00
4.100000000000000000e+01,1.599348556353814010e-01,nan,9.834510916612681619e-05,2.452919960021972656e+00
4.200000000000000000e+01,1.664699929662876721e-01,8.821301543664562539e-01,8.951412573032893659e-05,7.047944307327270508e+00
4.300000000000000000e+01,1.605633802505003205e-01,nan,8.103386909905629378e-05,2.380796909332275391e+00
4.400000000000000000e+01,1.667173850453562145e-01,9.070041216796844719e-01,7.293009353298048189e-05,6.936212062835693359e+00
4.500000000000000000e+01,1.597246625978085699e-01,nan,6.522740993215205680e-05,2.366039037704467773e+00
4.600000000000000000e+01,1.613394177208344049e-01,8.955511118678816107e-01,5.794921109350526894e-05,6.950149059295654297e+00
