basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9468,0.91,-0.8606,0.9542,5812,0.9216,0.8952,2.8742,0.9465,5567,1.1406,8047.8053
BND,8900.0,0.9343,0.9106,0.7098,0.9543,1458,0.8844,0.9199,4.3001,0.9617,5571,1.2101,11400.9932
ORO,3607.0,0.9349,0.9222,-1.2244,0.9604,5480,0.9277,0.9019,-2.6229,0.9498,5569,1.557,5945.3266
YRS,1108.0,0.8854,0.8556,-1.0903,0.9251,5063,0.9194,0.8409,0.9908,0.9201,5545,2.7166,3186.4137
FOL,1885.0,0.912,0.8881,-2.3763,0.9425,5063,0.8867,0.8982,-2.9073,0.949,5272,2.0599,4110.5197
MKM,544.0,0.8976,0.8571,-3.8816,0.9262,5195,0.8234,0.8303,-15.0608,0.9173,5056,1.8209,1048.6139
NHG,363.0,0.889,0.8722,-5.5185,0.9341,4637,0.8027,0.8228,-8.844,0.9095,4678,0.658,252.8732
NML,900.0,0.9069,0.8832,-3.5323,0.9401,5721,0.8741,0.8126,-8.5068,0.9074,5473,1.5142,1442.6615
TLG,1538.0,0.9274,0.9136,-1.5982,0.956,5498,0.9367,0.8828,1.111,0.9432,5157,1.6987,2765.7774
MRC,1061.0,0.9089,0.8998,1.0489,0.9489,5463,0.8239,0.8519,-11.9513,0.9261,5570,1.1648,1308.346
MIL,1675.0,0.9519,0.921,-1.375,0.9599,5721,0.8992,0.8789,-6.3388,0.9386,5499,1.3344,2366.0635
PNF,1545.0,0.9601,0.9434,-1.4263,0.9713,5809,0.9034,0.869,7.0302,0.937,5549,1.3144,2149.7892
TRM,561.0,0.9501,0.9062,0.0101,0.9525,5543,0.9011,0.8967,-7.8629,0.9486,5503,0.9003,534.6446
SCC,393.0,0.8475,0.8756,-4.6561,0.9387,5228,0.63,0.7166,27.7026,0.9135,5292,0.4767,198.3217
ISB,2074.0,0.9416,0.9333,-3.3686,0.9664,5821,0.8262,0.8355,-7.6742,0.917,5569,0.3887,853.502
