basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9357,0.9039,4.299,0.9531,5812,0.8919,0.8879,9.4446,0.9479,5567,1.1406,8047.8053
BND,8900.0,0.9291,0.9115,5.4615,0.9566,1458,0.8924,0.9213,9.2431,0.9627,5571,1.2101,11400.9932
ORO,3607.0,0.9373,0.9158,0.3905,0.957,5480,0.9435,0.8999,0.2034,0.949,5569,1.557,5945.3266
YRS,1108.0,0.8754,0.8491,2.108,0.9217,5063,0.8834,0.8115,6.2621,0.911,5545,2.7166,3186.4137
FOL,1885.0,0.9032,0.8773,1.3271,0.9367,5063,0.863,0.8868,-0.6458,0.9443,5272,2.0599,4110.5197
MKM,544.0,0.8976,0.8506,0.685,0.9224,5195,0.8452,0.8362,-11.5833,0.9177,5056,1.8209,1048.6139
NHG,363.0,0.8789,0.8759,-7.2752,0.9362,4637,0.8462,0.838,-5.5854,0.9161,4678,0.658,252.8732
NML,900.0,0.9128,0.8748,1.2788,0.9354,5721,0.9021,0.8237,-3.8435,0.9111,5473,1.5142,1442.6615
TLG,1538.0,0.9228,0.903,2.5406,0.9504,5498,0.9051,0.8792,6.1003,0.9442,5157,1.6987,2765.7774
MRC,1061.0,0.9052,0.8982,2.4861,0.9481,5463,0.8185,0.8623,-11.6768,0.9327,5570,1.1648,1308.346
MIL,1675.0,0.9563,0.9278,1.1598,0.9634,5721,0.9357,0.8898,-1.6787,0.9438,5499,1.3344,2366.0635
PNF,1545.0,0.9555,0.9449,3.512,0.9728,5809,0.8465,0.8758,12.7535,0.9471,5549,1.3144,2149.7892
TRM,561.0,0.9229,0.9102,-2.037,0.9542,5543,0.8618,0.8962,-9.8411,0.9494,5503,0.9003,534.6446
SCC,393.0,0.8565,0.8987,-3.2691,0.9518,5228,0.6734,0.7293,25.1394,0.9069,5292,0.4767,198.3217
ISB,2074.0,0.9629,0.9418,1.4433,0.9706,5821,0.8696,0.8189,-1.6239,0.905,5569,0.3887,853.502
