basin,key,overlap_area_mi2
BND,40.031250_-122.781250,2.839899932223784
BND,40.031250_-122.843750,5.579387052329886
BND,40.031250_-122.906250,4.498171197290749
BND,40.093750_-122.656250,2.2082707605780274
BND,40.093750_-122.718750,11.309100035157424
BND,40.093750_-122.781250,14.279592549056918
BND,40.093750_-122.843750,14.281027347825567
BND,40.093750_-122.906250,14.281027347830825
BND,40.156250_-122.531250,1.9646543206230083
BND,40.156250_-122.593750,9.893268127997244
BND,40.156250_-122.656250,13.823795497266987
BND,40.156250_-122.718750,14.26810965368782
BND,40.156250_-122.781250,14.268109653693907
BND,40.156250_-122.843750,14.26810965368826
BND,40.156250_-122.906250,14.268109653692376
BND,40.156250_-122.968750,9.633483109704715
BND,40.218750_-122.406250,0.3614938754730422
BND,40.218750_-122.468750,5.259027862859401
BND,40.218750_-122.531250,13.145659307722175
BND,40.218750_-122.593750,14.255174683756877
BND,40.218750_-122.656250,14.255174683757215
BND,40.218750_-122.718750,14.255174683750745
BND,40.218750_-122.781250,14.255174683755733
BND,40.218750_-122.843750,14.255174683750347
BND,40.218750_-122.906250,14.255174683757668
BND,40.218750_-122.968750,8.995071676171076
BND,40.281250_-121.593750,0.6384721815428569
BND,40.281250_-122.093750,0.9048909967181085
BND,40.281250_-122.156250,5.454386337824437
BND,40.281250_-122.218750,12.659194997324049
BND,40.281250_-122.281250,8.44287600051394
BND,40.281250_-122.343750,9.872645853041178
BND,40.281250_-122.406250,13.339402626658787
BND,40.281250_-122.468750,14.242222451738293
BND,40.281250_-122.531250,14.237895258282482
BND,40.281250_-122.593750,14.24757073422497
BND,40.281250_-122.656250,14.242222451737755
BND,40.281250_-122.718750,14.245179283057354
BND,40.281250_-122.781250,14.24222245173819
BND,40.281250_-122.843750,14.242222451732236
BND,40.281250_-122.906250,14.243020048434888
BND,40.281250_-122.968750,14.202772115921185
BND,40.281250_-123.031250,11.065450256508706
BND,40.343750_-121.531250,3.4551681553534674
BND,40.343750_-121.593750,12.910404574419147
BND,40.343750_-121.656250,9.949838156828772
BND,40.343750_-121.718750,6.705977551694767
BND,40.343750_-121.781250,5.13803339525145
BND,40.343750_-121.843750,6.45387140934101
