date,basin,obs_mm,cal_start,cal_end
1929-03-31,BearRiver,35.43518278746359,1951-10,2010-09
1929-04-30,BearRiver,21.936065535096507,1951-10,2010-09
1929-05-31,BearRiver,11.811727595821196,1951-10,2010-09
1929-06-30,BearRiver,6.749558626183541,1951-10,2010-09
1929-07-31,BearRiver,3.3747793130917705,1951-10,2010-09
1929-08-31,BearRiver,1.6873896565458852,1951-10,2010-09
1929-09-30,BearRiver,0.0,1951-10,2010-09
1929-10-31,BearRiver,3.3747793130917705,1951-10,2010-09
1929-11-30,BearRiver,1.6873896565458852,1951-10,2010-09
1929-12-31,BearRiver,62.43341729219775,1951-10,2010-09
1930-01-31,BearRiver,75.93253454456483,1951-10,2010-09
1930-02-28,BearRiver,33.74779313091771,1951-10,2010-09
1930-03-31,BearRiver,118.11727595821196,1951-10,2010-09
1930-04-30,BearRiver,33.74779313091771,1951-10,2010-09
1930-05-31,BearRiver,13.499117252367082,1951-10,2010-09
1930-06-30,BearRiver,8.436948282729427,1951-10,2010-09
1930-07-31,BearRiver,5.062168969637655,1951-10,2010-09
1930-08-31,BearRiver,5.062168969637655,1951-10,2010-09
1930-09-30,BearRiver,3.3747793130917705,1951-10,2010-09
1930-10-31,BearRiver,6.749558626183541,1951-10,2010-09
1930-11-30,BearRiver,15.186506908912968,1951-10,2010-09
1930-12-31,BearRiver,21.936065535096507,1951-10,2010-09
1931-01-31,BearRiver,20.24867587855062,1951-10,2010-09
1931-02-28,BearRiver,23.623455191642392,1951-10,2010-09
1931-03-31,BearRiver,23.623455191642392,1951-10,2010-09
1931-04-30,BearRiver,6.749558626183541,1951-10,2010-09
1931-05-31,BearRiver,3.3747793130917705,1951-10,2010-09
1931-06-30,BearRiver,0.0,1951-10,2010-09
1931-07-31,BearRiver,0.0,1951-10,2010-09
1931-08-31,BearRiver,0.0,1951-10,2010-09
1931-09-30,BearRiver,0.0,1951-10,2010-09
1931-10-31,BearRiver,3.3747793130917705,1951-10,2010-09
1931-11-30,BearRiver,15.186506908912968,1951-10,2010-09
1931-12-31,BearRiver,99.55598973620722,1951-10,2010-09
1932-01-31,BearRiver,67.49558626183541,1951-10,2010-09
1932-02-29,BearRiver,118.11727595821196,1951-10,2010-09
1932-03-31,BearRiver,40.49735175710124,1951-10,2010-09
1932-04-30,BearRiver,30.373013817825935,1951-10,2010-09
1932-05-31,BearRiver,21.936065535096507,1951-10,2010-09
1932-06-30,BearRiver,10.12433793927531,1951-10,2010-09
1932-07-31,BearRiver,5.062168969637655,1951-10,2010-09
1932-08-31,BearRiver,3.3747793130917705,1951-10,2010-09
1932-09-30,BearRiver,5.062168969637655,1951-10,2010-09
1932-10-31,BearRiver,6.749558626183541,1951-10,2010-09
1932-11-30,BearRiver,8.436948282729427,1951-10,2010-09
1932-12-31,BearRiver,20.24867587855062,1951-10,2010-09
1933-01-31,BearRiver,21.936065535096507,1951-10,2010-09
1933-02-28,BearRiver,26.998234504734164,1951-10,2010-09
1933-03-31,BearRiver,59.05863797910598,1951-10,2010-09
1933-04-30,BearRiver,23.623455191642392,1951-10,2010-09
1933-05-31,BearRiver,26.998234504734164,1951-10,2010-09
1933-06-30,BearRiver,5.062168969637655,1951-10,2010-09
1933-07-31,BearRiver,3.3747793130917705,1951-10,2010-09
1933-08-31,BearRiver,1.6873896565458852,1951-10,2010-09
1933-09-30,BearRiver,0.0,1951-10,2010-09
1933-10-31,BearRiver,3.3747793130917705,1951-10,2010-09
1933-11-30,BearRiver,5.062168969637655,1951-10,2010-09
1933-12-31,BearRiver,52.309079352922446,1951-10,2010-09
1934-01-31,BearRiver,50.621689696376556,1951-10,2010-09
1934-02-28,BearRiver,48.934300039830674,1951-10,2010-09
1934-03-31,BearRiver,23.623455191642392,1951-10,2010-09
1934-04-30,BearRiver,3.3747793130917705,1951-10,2010-09
1934-05-31,BearRiver,6.749558626183541,1951-10,2010-09
1934-06-30,BearRiver,5.062168969637655,1951-10,2010-09
1934-07-31,BearRiver,3.3747793130917705,1951-10,2010-09
1934-08-31,BearRiver,1.6873896565458852,1951-10,2010-09
1934-09-30,BearRiver,3.3747793130917705,1951-10,2010-09
1934-10-31,BearRiver,5.062168969637655,1951-10,2010-09
1934-11-30,BearRiver,23.623455191642392,1951-10,2010-09
1934-12-31,BearRiver,35.43518278746359,1951-10,2010-09
1935-01-31,BearRiver,87.74426214038603,1951-10,2010-09
1935-02-28,BearRiver,65.80819660528952,1951-10,2010-09
1935-03-31,BearRiver,118.11727595821196,1951-10,2010-09
1935-04-30,BearRiver,192.36242084623092,1951-10,2010-09
1935-05-31,BearRiver,35.43518278746359,1951-10,2010-09
1935-06-30,BearRiver,16.873896565458853,1951-10,2010-09
1935-07-31,BearRiver,8.436948282729427,1951-10,2010-09
1935-08-31,BearRiver,5.062168969637655,1951-10,2010-09
1935-09-30,BearRiver,6.749558626183541,1951-10,2010-09
1935-10-31,BearRiver,21.936065535096507,1951-10,2010-09
1935-11-30,BearRiver,5.062168969637655,1951-10,2010-09
1935-12-31,BearRiver,30.373013817825935,1951-10,2010-09
1936-01-31,BearRiver,150.17767943258377,1951-10,2010-09
1936-02-29,BearRiver,317.22925543062644,1951-10,2010-09
1936-03-31,BearRiver,74.24514488801896,1951-10,2010-09
1936-04-30,BearRiver,77.61992420111072,1951-10,2010-09
1936-05-31,BearRiver,21.936065535096507,1951-10,2010-09
1936-06-30,BearRiver,13.499117252367082,1951-10,2010-09
1936-07-31,BearRiver,5.062168969637655,1951-10,2010-09
1936-08-31,BearRiver,3.3747793130917705,1951-10,2010-09
1936-09-30,BearRiver,5.062168969637655,1951-10,2010-09
1936-10-31,BearRiver,6.749558626183541,1951-10,2010-09
1936-11-30,BearRiver,6.749558626183541,1951-10,2010-09
1936-12-31,BearRiver,26.998234504734164,1951-10,2010-09
1937-01-31,BearRiver,21.936065535096507,1951-10,2010-09
1937-02-28,BearRiver,158.61462771531322,1951-10,2010-09
1937-03-31,BearRiver,167.05157599804264,1951-10,2010-09
1937-04-30,BearRiver,97.86860007966135,1951-10,2010-09
1937-05-31,BearRiver,30.373013817825935,1951-10,2010-09
1937-06-30,BearRiver,11.811727595821196,1951-10,2010-09
1937-07-31,BearRiver,8.436948282729427,1951-10,2010-09
1937-08-31,BearRiver,3.3747793130917705,1951-10,2010-09
1937-09-30,BearRiver,5.062168969637655,1951-10,2010-09
1937-10-31,BearRiver,10.12433793927531,1951-10,2010-09
1937-11-30,BearRiver,30.373013817825935,1951-10,2010-09
1937-12-31,BearRiver,92.8064311100237,1951-10,2010-09
1938-01-31,BearRiver,57.3712483225601,1951-10,2010-09
1938-02-28,BearRiver,285.1688519562546,1951-10,2010-09
1938-03-31,BearRiver,281.79407264316285,1951-10,2010-09
1938-04-30,BearRiver,121.49205527130374,1951-10,2010-09
1938-05-31,BearRiver,47.246910383284785,1951-10,2010-09
1938-06-30,BearRiver,16.873896565458853,1951-10,2010-09
