basin,area_mi2,source
BearRiver,281.96,calsim
CacheCreek,953.37,calsim
CalaverasRiver,361.61,calsim
ChowchillaRiver,234.81,calsim
CosumnesRiver,539.11,calsim
FresnoRiver,235.59,calsim
MokelumneRiver,543.9,calsim
PutahCreek,567.46,calsim
StonyCreek,744.94,calsim
