id,lat,lon,cell_km2,basin_km2
1012,41.15625,-122.46875,36.42219924927,22.9685626271
1013,41.15625,-122.53125,36.42419815063,36.4241684476
1014,41.15625,-122.59375,36.4262008667,36.4261898206
1015,41.15625,-122.65625,36.4282989502,36.4282616987
1016,41.15625,-122.71875,36.43040084839,36.430382358
1017,41.15625,-122.78125,36.43259811401,36.4325530366
1018,41.15625,-122.84375,36.43479919434,36.4347726293
1019,41.15625,-122.90625,36.43700027466,35.4568985955
1020,41.15625,-122.96875,36.43939971924,11.2494842595
1080,41.21875,-122.46875,36.38790130615,0.29260443009
1081,41.21875,-122.53125,36.38990020752,29.207843364
1082,41.21875,-122.59375,36.39189910889,36.3918844165
1083,41.21875,-122.65625,36.39400100708,36.3939500618
1084,41.21875,-122.71875,36.39609909058,34.9241295433
1085,41.21875,-122.78125,36.39820098877,20.1455940878
1086,41.21875,-122.84375,36.40039825439,9.98600388176
1087,41.21875,-122.90625,36.40269851685,4.52910896746
1148,41.28125,-122.46875,36.35359954834,0.144978
1149,41.28125,-122.53125,36.35549926758,31.5633534973
1150,41.28125,-122.59375,36.35749816895,36.3575338006
1151,41.28125,-122.65625,36.35960006714,27.2231490468
1152,41.28125,-122.71875,36.36169815063,8.21497769101
1214,41.34375,-122.46875,36.3191986084,2.05251735142
1215,41.34375,-122.53125,36.32109832764,20.786896474
1216,41.34375,-122.59375,36.3231010437,16.5999218525
1217,41.34375,-122.65625,36.3251991272,3.35366253147
1599,40.78125,-122.65625,36.63320159912,10.4341781518
1600,40.78125,-122.71875,36.63539886475,22.6408486247
1601,40.78125,-122.78125,36.63759994507,7.65120499618
1602,40.78125,-122.84375,36.63980102539,9.92240704738
1667,40.84375,-122.65625,36.59920120239,23.7091085201
1668,40.84375,-122.71875,36.60129928589,36.6013120999
1669,40.84375,-122.78125,36.60350036621,36.6035143385
1670,40.84375,-122.84375,36.60580062866,36.5961195059
1671,40.84375,-122.90625,36.60810089111,23.5584060447
1672,40.84375,-122.96875,36.61040115356,9.76221808399
1734,40.90625,-122.59375,36.56299972534,9.63151138433
1735,40.90625,-122.65625,36.56510162354,36.5276521978
1736,40.90625,-122.71875,36.56719970703,36.5672152962
1737,40.90625,-122.78125,36.56940078735,36.5694099323
1738,40.90625,-122.84375,36.5717010498,36.5716544896
1739,40.90625,-122.90625,36.57400131226,36.5739507267
1740,40.90625,-122.96875,36.57630157471,32.5371832633
1741,40.90625,-123.03125,36.57870101929,0.09042200998
1799,40.96875,-122.53125,36.52679824829,0.17989036243
1800,40.96875,-122.59375,36.52880096436,19.2880362001
1801,40.96875,-122.65625,36.53089904785,36.5309341923
1802,40.96875,-122.71875,36.53310012817,36.5330736455
1803,40.96875,-122.78125,36.5353012085,36.5352621723
1804,40.96875,-122.84375,36.53749847412,36.5375007604
1805,40.96875,-122.90625,36.53979873657,35.3053935521
1806,40.96875,-122.96875,36.54209899902,35.0355367149
1807,40.96875,-123.03125,36.5444984436,4.836078835
1865,41.03125,-122.53125,36.4925994873,19.3638101788
1866,41.03125,-122.59375,36.4947013855,36.4946704242
1867,41.03125,-122.65625,36.49679946899,36.4967537197
1868,41.03125,-122.71875,36.49890136719,36.4988867402
1869,41.03125,-122.78125,36.50109863281,36.5010694833
1870,41.03125,-122.84375,36.50329971313,36.5033023403
1871,41.03125,-122.90625,36.50559997559,19.3515657204
1872,41.03125,-122.96875,36.50790023804,5.45093924122
1873,41.03125,-123.03125,36.51029968262,2.40807772711
1931,41.09375,-122.46875,36.45640182495,14.4317361777
1932,41.09375,-122.53125,36.45840072632,29.4601047696
1933,41.09375,-122.59375,36.46049880981,36.4604530488
1934,41.09375,-122.65625,36.46250152588,36.4625307114
1935,41.09375,-122.71875,36.4646987915,36.4646572711
1936,41.09375,-122.78125,36.4668006897,36.4668339993
1937,41.09375,-122.84375,36.46910095215,36.4690605343
1938,41.09375,-122.90625,36.47129821777,35.0599416226
1939,41.09375,-122.96875,36.47370147705,14.3946866517
