basin,area_mi2,source
SHA,6588.45,calsim
BND,9083.72,calsim
ORO,3601.62,calsim
YRS,1193.43,calsim
FOL,1863.78,calsim
MKM,543.9,calsim
NHG,361.61,calsim
NML,903.74,calsim
TLG,1531.57,calsim
MRC,1036.08,calsim
MIL,1637.8,calsim
PNF,1545.0,authoritative
TRM,561.0,authoritative
SCC,393.0,authoritative
ISB,2074.0,authoritative
