key,sand_0_5,sand_5_15,sand_15_30,sand_30_60,sand_60_100,sand_100_200,clay_0_5,clay_5_15,clay_15_30,clay_30_60,clay_60_100,clay_100_200,ksat_0_5,ksat_5_15,ksat_15_30,ksat_30_60,ksat_60_100,ksat_100_200,theta_s_0_5,theta_s_5_15,theta_s_15_30,theta_s_30_60,theta_s_60_100,theta_s_100_200,polaris_gapfill,EVC,EVH,EVC_cover_pct,EVH_height_m,dem_elev,slope_deg,aspect_sin,aspect_cos,curvature,relief_m,lai_mean,lai_min,lai_max,lai_amp,lai_peak_doy,lai_gapfill
39.343750_-120.781250,51.0791015625,49.09980392456055,48.29276657104492,50.26810073852539,50.38823699951172,52.64201736450195,12.085199356079102,14.276264190673828,15.989715576171875,16.185239791870117,14.546829223632812,13.540936470031738,1.3097538948059082,0.764336884021759,0.43600574135780334,0.5798617601394653,0.44248875975608826,0.15633854269981384,0.5284348130226135,0.5195398330688477,0.4474615156650543,0.4453863203525543,0.4457179009914398,0.4481824040412903,0,172.0,128.0,72.0,28.0,1094.4385986328125,28.41116368368168,-0.588598572606494,0.8084254574947513,-0.0017334983287262944,67.02096969363053,2.8782082924703065,1.65,4.265000000000001,2.6150000000000007,177,0
39.343750_-120.718750,51.339691162109375,50.12941360473633,50.24951171875,51.521484375,51.739723205566406,54.54509735107422,12.010721206665039,13.996086120605469,15.556751251220703,15.518518447875977,13.5986328125,12.617530822753906,1.2361531257629395,0.7355130314826965,0.44036126136779785,0.5635215044021606,0.45061764121055603,0.21484851837158203,0.5263099670410156,0.5152161717414856,0.4475995898246765,0.4461756944656372,0.44357311725616455,0.4453864097595215,0,171.0,127.0,71.0,27.0,1296.0042724609375,21.458216218776332,0.32621361196508175,-0.945296080267286,-0.00045298163734611727,63.912327183673156,3.797678707638662,2.6500000000000004,5.1099999999999985,2.459999999999998,241,0
39.343750_-120.656250,68.546875,69.9755859375,69.96575927734375,71.10137176513672,73.6246337890625,78.2724609375,8.101760864257812,7.2759294509887695,6.7783203125,7.658869743347168,6.85322904586792,5.83984375,0.8949416279792786,0.8692160844802856,0.7976343631744385,0.7583538889884949,0.38527798652648926,0.33510249853134155,0.4842349886894226,0.47122734785079956,0.45026034116744995,0.4492812156677246,0.40507078170776367,0.4129548966884613,0,157.0,134.0,57.0,34.0,1736.3677978515625,16.846167406276095,-0.18354501798364067,0.9830113053131103,-0.00043833457683412834,49.82078441571836,1.7499866514111362,0.55,3.015,2.465,185,0
39.281250_-120.968750,43.82292938232422,42.83366012573242,38.33203125,31.587974548339844,26.265625,26.33316993713379,18.418787002563477,19.97208595275879,25.3564453125,34.820037841796875,43.4404296875,43.60536575317383,0.4320927858352661,0.4131278991699219,0.35448652505874634,0.20395129919052124,0.06935274600982666,0.04460029676556587,0.6056585311889648,0.6028857231140137,0.5900856256484985,0.5431597232818604,0.524970531463623,0.5201650857925415,0,159.0,137.0,59.0,37.0,1008.2128295898438,12.111544517367689,0.9700738640587933,-0.24281000446860074,-0.0001187624853643918,43.20404133601202,2.918934837092732,2.0904761904761906,3.825,1.7345238095238096,297,0
39.281250_-120.906250,44.08023452758789,43.24436950683594,39.20519256591797,32.13636779785156,27.481409072875977,29.762439727783203,17.06640625,18.5693359375,23.408470153808594,32.162437438964844,38.372920989990234,35.62097930908203,0.4357544183731079,0.4007944166660309,0.3446178734302521,0.21267060935497284,0.03282032161951065,-0.010745342820882797,0.6095466613769531,0.5840847492218018,0.5571418404579163,0.5266714692115784,0.5124579668045044,0.5118548274040222,0,11.0,11.0,0.0,0.0,931.7849731445312,5.187342071065807,-0.1230579981679246,-0.992399480595845,0.0002750411378664942,14.242015778118974,2.1884488394900297,1.315,3.1949999999999994,1.8799999999999994,161,0
39.281250_-120.843750,43.15982437133789,42.881980895996094,40.32600021362305,33.85029220581055,30.636451721191406,36.73219299316406,13.778430938720703,14.8251953125,17.842464447021484,23.19178009033203,23.844085693359375,17.28452491760254,0.48367851972579956,0.3844095766544342,0.28262510895729065,0.23004093766212463,0.11882506310939789,0.04519718885421753,0.6099337935447693,0.5358638167381287,0.47025129199028015,0.47901293635368347,0.4797981083393097,0.4857211112976074,0,160.0,122.0,60.0,22.0,1249.5347900390625,13.570992779156503,0.9994883199895358,0.031985906341625736,0.0003864446905698333,26.635507126773305,2.5417009916094586,1.6800000000000002,3.6350000000000007,1.9550000000000005,241,0
39.281250_-120.781250,43.025909423828125,42.3681640625,38.82781982421875,32.42195129394531,28.419921875,30.746334075927734,15.926197052001953,17.305282592773438,21.31072998046875,27.994632720947266,31.643413543701172,30.09024429321289,0.4787982702255249,0.39310356974601746,0.2917182743549347,0.1798342764377594,0.08431712538003922,-0.023672953248023987,0.6131947040557861,0.561023473739624,0.5121766924858093,0.49909156560897827,0.4934670925140381,0.4985407590866089,0,157.0,131.0,57.0,31.0,1233.4541015625,17.481144155986257,0.9036116074267346,0.428352731897058,0.0008960298871052102,47.667413562601176,2.278649885583524,1.3900000000000001,2.8526315789473684,1.4626315789473683,289,0
39.281250_-120.718750,39.5136833190918,40.092193603515625,40.102149963378906,36.064876556396484,33.09490966796875,34.90117263793945,22.305282592773438,22.518535614013672,23.423828125,28.375612258911133,31.926889419555664,29.625492095947266,0.5954785346984863,0.48388582468032837,0.26403123140335083,0.26347672939300537,0.054293327033519745,0.035634636878967285,0.6446491479873657,0.5972898602485657,0.528900682926178,0.5271761417388916,0.5060886740684509,0.5086231827735901,0,148.0,123.0,48.0,23.0,1445.8203125,14.208693214638219,-0.6087328879051646,-0.7933752398346186,0.0003458979948207805,40.7657919714537,1.9102947586357202,0.795,3.12,2.325,193,0
39.281250_-120.656250,35.096282958984375,36.77972412109375,41.57233810424805,49.07771301269531,41.07575988769531,39.58284378051758,11.7783203125,12.03567886352539,12.26171875,10.64453125,11.093963623046875,12.028264999389648,0.7809615135192871,0.8007287979125977,0.8164339661598206,0.8206051588058472,0.6964943408966064,-0.14367802441120148,0.6802034378051758,0.6746948957443237,0.6594935655593872,0.6356205940246582,0.6487098932266235,0.6214795708656311,0,153.0,133.0,53.0,33.0,1546.488037109375,9.212684519751567,0.9680260057358457,0.25084985991446046,5.258132265211419e-05,25.537879390667573,1.7510853220006537,0.66,2.96,2.3,177,0
39.218750_-121.093750,44.788780212402344,44.07282257080078,40.30994415283203,32.546875,28.467803955078125,34.45307922363281,15.938904762268066,17.30352020263672,22.243663787841797,31.4365234375,35.9858283996582,28.97698211669922,0.4411880373954773,0.4073483347892761,0.36341026425361633,0.24068474769592285,-0.08479838818311691,-0.046162646263837814,0.6173408031463623,0.588538646697998,0.5534369945526123,0.5309703350067139,0.5122503638267517,0.5166240930557251,0,148.0,126.0,48.0,26.0,741.113525390625,5.698205796843285,0.8629774270006103,-0.5052424769231169,-0.00013385294462235604,11.027257182210942,1.7727925792742731,0.8350000000000002,2.8850000000000002,2.05,161,0
