basin,area_mi2
BearRiver,281.85437009409304
CacheCreek,947.8801076452032
CalaverasRiver,357.91643983181405
ChowchillaRiver,264.479785636238
CosumnesRiver,534.3649975482531
FresnoRiver,276.83504569515713
MokelumneRiver,543.6314425924425
PutahCreek,570.272472094487
StonyCreek,743.6322147961962
