date,basin,obs_mm,cal_start,cal_end
1929-12-31,AMF,40.92970823070985,1951-10,2013-09
1930-01-31,AMF,36.38196287174208,1951-10,2013-09
1930-02-28,AMF,38.15053051134066,1951-10,2013-09
1930-03-31,AMF,82.87002654119031,1951-10,2013-09
1930-04-30,AMF,90.19694961952726,1951-10,2013-09
1930-05-31,AMF,72.00596818365621,1951-10,2013-09
1930-06-30,AMF,40.42440319082454,1951-10,2013-09
1930-07-31,AMF,6.872148542440172,1951-10,2013-09
1930-08-31,AMF,1.7281432364077491,1951-10,2013-09
1930-09-30,AMF,2.0338527855383597,1951-10,2013-09
1930-10-31,AMF,4.244562335036576,1951-10,2013-09
1930-11-30,AMF,8.61545093004448,1951-10,2013-09
1930-12-31,AMF,5.305702918795721,1951-10,2013-09
1931-01-31,AMF,14.401193636731243,1951-10,2013-09
1931-02-28,AMF,19.050000003676065,1951-10,2013-09
1931-03-31,AMF,35.32082228798294,1951-10,2013-09
1931-04-30,AMF,43.683620698084766,1951-10,2013-09
1931-05-31,AMF,34.2596817042238,1951-10,2013-09
1931-06-30,AMF,11.950464193287505,1951-10,2013-09
1931-07-31,AMF,2.0464854115354925,1951-10,2013-09
1931-08-31,AMF,0.7579575598279602,1951-10,2013-09
1931-09-30,AMF,1.061140583759144,1951-10,2013-09
1931-10-31,AMF,4.042440319082454,1951-10,2013-09
1931-11-30,AMF,7.655371354262398,1951-10,2013-09
1931-12-31,AMF,41.687665790537814,1951-10,2013-09
1932-01-31,AMF,40.70232096276146,1951-10,2013-09
1932-02-29,AMF,80.74774537367202,1951-10,2013-09
1932-03-31,AMF,75.29045094291071,1951-10,2013-09
1932-04-30,AMF,101.69263927691799,1951-10,2013-09
1932-05-31,AMF,166.49801064220858,1951-10,2013-09
1932-06-30,AMF,107.57944299158181,1951-10,2013-09
1932-07-31,AMF,23.370358094695437,1951-10,2013-09
1932-08-31,AMF,4.244562335036576,1951-10,2013-09
1932-09-30,AMF,2.1728116715068193,1951-10,2013-09
1932-10-31,AMF,2.753912467374922,1951-10,2013-09
1932-11-30,AMF,3.5624005311914124,1951-10,2013-09
1932-12-31,AMF,5.886803714663825,1951-10,2013-09
1933-01-31,AMF,10.83879310553983,1951-10,2013-09
1933-02-28,AMF,11.798872681321912,1951-10,2013-09
1933-03-31,AMF,34.10809019225821,1951-10,2013-09
1933-04-30,AMF,60.38395226629416,1951-10,2013-09
1933-05-31,AMF,89.43899205969929,1951-10,2013-09
1933-06-30,AMF,86.40716182038746,1951-10,2013-09
1933-07-31,AMF,10.661936341579974,1951-10,2013-09
1933-08-31,AMF,2.425464191449472,1951-10,2013-09
1933-09-30,AMF,2.3244031834724113,1951-10,2013-09
1933-10-31,AMF,5.432029178767047,1951-10,2013-09
1933-11-30,AMF,8.539655174061684,1951-10,2013-09
1933-12-31,AMF,27.36226790978936,1951-10,2013-09
1934-01-31,AMF,40.197015922876155,1951-10,2013-09
1934-02-28,AMF,43.30464191817079,1951-10,2013-09
1934-03-31,AMF,64.52745359335368,1951-10,2013-09
1934-04-30,AMF,49.4946286567658,1951-10,2013-09
1934-05-31,AMF,26.705371357938464,1951-10,2013-09
1934-06-30,AMF,12.30417772120722,1951-10,2013-09
1934-07-31,AMF,2.880238727346249,1951-10,2013-09
1934-08-31,AMF,1.642241379627247,1951-10,2013-09
1934-09-30,AMF,1.5917108756387164,1951-10,2013-09
1934-10-31,AMF,2.703381963386391,1951-10,2013-09
1934-11-30,AMF,14.931763928610815,1951-10,2013-09
1934-12-31,AMF,13.592705572914753,1951-10,2013-09
1935-01-31,AMF,39.43905836304819,1951-10,2013-09
1935-02-28,AMF,37.342042447524165,1951-10,2013-09
1935-03-31,AMF,53.81498674778517,1951-10,2013-09
1935-04-30,AMF,206.66976131309045,1951-10,2013-09
1935-05-31,AMF,168.7466180696982,1951-10,2013-09
1935-06-30,AMF,90.85384617137815,1951-10,2013-09
1935-07-31,AMF,17.559350136014412,1951-10,2013-09
1935-08-31,AMF,4.168766579053781,1951-10,2013-09
1935-09-30,AMF,2.8044429713634527,1951-10,2013-09
1935-10-31,AMF,5.381498674778517,1951-10,2013-09
1935-11-30,AMF,7.630106102268132,1951-10,2013-09
1935-12-31,AMF,8.66598143403301,1951-10,2013-09
1936-01-31,AMF,103.10749338859685,1951-10,2013-09
1936-02-29,AMF,195.90676396353342,1951-10,2013-09
1936-03-31,AMF,109.120623363232,1951-10,2013-09
1936-04-30,AMF,160.63647217953903,1951-10,2013-09
1936-05-31,AMF,148.30702920633752,1951-10,2013-09
1936-06-30,AMF,90.37380638348712,1951-10,2013-09
1936-07-31,AMF,21.045954911223028,1951-10,2013-09
1936-08-31,AMF,4.471949602984965,1951-10,2013-09
1936-09-30,AMF,3.5118700272028818,1951-10,2013-09
1936-10-31,AMF,2.6528514593978607,1951-10,2013-09
1936-11-30,AMF,3.663461539168474,1951-10,2013-09
1936-12-31,AMF,5.811007958681028,1951-10,2013-09
1937-01-31,AMF,11.16724138146528,1951-10,2013-09
1937-02-28,AMF,84.96704245671432,1951-10,2013-09
1937-03-31,AMF,99.94933688931368,1951-10,2013-09
1937-04-30,AMF,126.95789127118331,1951-10,2013-09
1937-05-31,AMF,173.82493372054552,1951-10,2013-09
1937-06-30,AMF,59.19648542256369,1951-10,2013-09
1937-07-31,AMF,13.137931037017976,1951-10,2013-09
1937-08-31,AMF,3.7392572951512704,1951-10,2013-09
1937-09-30,AMF,3.031830239311841,1951-10,2013-09
1937-10-31,AMF,5.1288461548358635,1951-10,2013-09
1937-11-30,AMF,13.516909816931955,1951-10,2013-09
1937-12-31,AMF,110.25755970297394,1951-10,2013-09
1938-01-31,AMF,32.76903183656215,1951-10,2013-09
1938-02-28,AMF,136.12917774510163,1951-10,2013-09
