basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9411,0.9044,1.3725,0.9512,5812,0.8981,0.8941,6.2335,0.9472,5567,1.1406,8047.8053
BND,8900.0,0.9259,0.8951,2.9689,0.9466,1458,0.8943,0.9253,6.0017,0.9641,5571,1.2101,11400.9932
ORO,3607.0,0.9144,0.9219,-2.3615,0.9609,5480,0.8928,0.9011,-3.5959,0.9503,5569,1.557,5945.3266
YRS,1108.0,0.8558,0.8498,-2.5091,0.9229,5063,0.9157,0.8497,-0.7471,0.9228,5545,2.7166,3186.4137
FOL,1885.0,0.8988,0.8828,0.4769,0.9398,5063,0.8645,0.8845,-0.6832,0.9427,5272,2.0599,4110.5197
MKM,544.0,0.8766,0.8521,-3.5071,0.9234,5195,0.817,0.8362,-13.6422,0.9187,5056,1.8209,1048.6139
NHG,363.0,0.8474,0.8759,-9.5645,0.9371,4637,0.7476,0.8145,-12.0305,0.9103,4678,0.658,252.8732
NML,900.0,0.8966,0.8759,-3.2951,0.9362,5721,0.8642,0.8179,-8.4674,0.9071,5473,1.5142,1442.6615
TLG,1538.0,0.9026,0.9076,-0.696,0.9535,5498,0.9385,0.8992,2.6903,0.9489,5157,1.6987,2765.7774
MRC,1061.0,0.9021,0.8966,1.6948,0.9474,5463,0.8224,0.8581,-10.9165,0.9299,5570,1.1648,1308.346
MIL,1675.0,0.9496,0.9281,0.765,0.9634,5721,0.9181,0.8986,-1.9837,0.9481,5499,1.3344,2366.0635
PNF,1545.0,0.9713,0.9491,0.2317,0.9743,5809,0.8891,0.8845,9.371,0.9457,5549,1.3144,2149.7892
TRM,561.0,0.9525,0.9078,0.8633,0.9537,5543,0.9278,0.9093,-4.2954,0.954,5503,0.9003,534.6446
SCC,393.0,0.8729,0.8865,-0.5118,0.9432,5228,0.5459,0.6765,34.4912,0.9162,5292,0.4767,198.3217
ISB,2074.0,0.9542,0.9275,-0.1832,0.9631,5821,0.8298,0.8407,-4.6426,0.9196,5569,0.3887,853.502
