set_id,name,entity_id,ref_kind,system,window,win_start,win_end,volume_scored,area_set_mi2,area_sim_mi2,cover_frac,n_arcs,n_arcs_missing,n_months,kge,nse,pbias,r,alpha,beta,seas_mismatch,ct_diff,sim_taf_yr,ref_taf_yr,note
SHA,Sacramento R. at Shasta (cdec_SHA: CDEC SIS daily FNF),cdec_SHA,anchor,SHAS,WY1950-84,1949-10,1984-09,True,6588.45234035,6588.45234035,1.0,1,0,420,0.9041981560615454,0.9118527369061118,-7.697267072665895,0.9601098710254922,0.9592326248869211,0.9230273292733411,0.044124494096419956,0.1905448834333896,5835.994572148002,6322.66714869908,anchor equals the 11obs SHA training target (temporal holdout)
SHA,Sacramento R. at Shasta (cdec_SHA: CDEC SIS daily FNF),cdec_SHA,anchor,SHAS,train,1987-10,2018-12,True,6588.45234035,6588.45234035,1.0,1,0,375,0.9111882352629004,0.8786301300298051,3.6138773328699294,0.9452761682230387,1.059890073081118,1.0361387733286993,0.05116179457869824,0.24219449118557534,5696.13208969102,5497.460606933593,anchor equals the 11obs SHA training target (temporal holdout)
CLE,Trinity R. at Trinity Dam (cdec_CLE: CDEC CLE daily FNF),cdec_CLE,anchor,TRIN,WY1950-84,1949-10,1984-09,True,692.855878007,692.855878007,1.0,1,0,420,0.7404658696455135,0.6076938172930475,16.35193418100433,0.8456376989500572,1.1295826751052649,1.1635193418100434,0.12401408604297331,-0.31710891358816795,1647.6025618678736,1416.0508576546395,the daily training target is the Trinity Lake full natural flow at Trinity Dam (CalSim3 I_TRNTY = FLOW-UNIMPAIRED TRIN); the monthly record at Lewiston (CDEC TNL) is the two-arc sum I_TRNTY + I_LWSTN (719 mi2) and is not a registry target
CLE,Trinity R. at Trinity Dam (cdec_CLE: CDEC CLE daily FNF),cdec_CLE,anchor,TRIN,train,1986-04,2018-12,True,692.855878007,692.855878007,1.0,1,0,393,0.8639542714425548,0.7969390751944494,-3.4891674196193456,0.8937174594043056,0.9225724022390122,0.9651083258038066,0.1142308422284769,-0.15076294376146748,1183.816900200502,1226.6155710702633,the daily training target is the Trinity Lake full natural flow at Trinity Dam (CalSim3 I_TRNTY = FLOW-UNIMPAIRED TRIN); the monthly record at Lewiston (CDEC TNL) is the two-arc sum I_TRNTY + I_LWSTN (719 mi2) and is not a registry target
UF6,Sacramento R. near Red Bluff (uf_06: DWR UF 6 monthly),uf_06,anchor,SRBB,WY1950-84,1949-10,1984-09,True,9083.7152350753,9083.7152350753,1.0,9,0,420,0.8620417938818433,0.9355410885892527,-12.883609377646863,0.9786147688784995,0.9555432854830594,0.8711639062235312,0.03740371662078245,0.057030216529778244,8023.747868946433,9210.376843697684,UNIMP SRBB only - the arc sum lacks the series-less valley node I_SRBB_VAL (11% of the volume)
UF6,Sacramento R. near Red Bluff (uf_06: DWR UF 6 monthly),uf_06,anchor,SRBB,train,1984-10,2014-09,True,9083.7152350753,9083.7152350753,1.0,9,0,360,0.9018251315427529,0.9301161633561283,-3.3757549677722163,0.9720166469740086,1.0878388558086718,0.966242450322278,0.05415807415119354,0.06077229183931632,7707.215605733029,7976.482096354166,UNIMP SRBB only - the arc sum lacks the series-less valley node I_SRBB_VAL (11% of the volume)
UF7,Sacramento Valley east-side minor streams (uf_07: DWR UF 7 monthly),uf_07,arcsum,,WY1950-84,1949-10,1984-09,True,1035.9007577909001,1035.9007577909001,1.0,8,0,420,0.7894106427563461,0.8403092241984919,-3.2861177304262448,0.9248890272346564,0.8060248413308628,0.9671388226957375,0.09123159220151841,0.5031370122308996,1284.2092054489808,1327.8437131387848,DWR's UF 7 also carries valley-floor runoff no rim arc holds (about 4% of volume); the arc sum is the consistent reference
UF7,Sacramento Valley east-side minor streams (uf_07: DWR UF 7 monthly),uf_07,arcsum,,train,1984-10,2014-09,True,1035.9007577909001,1035.9007577909001,1.0,8,0,360,0.8728635201493894,0.8986589658354479,11.150099590478554,0.9527231899167914,0.9613203457952123,1.1115009959047855,0.07936374227150889,0.4377842681251476,1252.0302899913731,1126.432000155064,DWR's UF 7 also carries valley-floor runoff no rim arc holds (about 4% of volume); the arc sum is the consistent reference
UF8,Feather R. near Oroville (cdec_ORO: CDEC FTO daily FNF),cdec_ORO,anchor,OROV,WY1950-84,1949-10,1984-09,True,3601.62097369545,3601.62097369545,1.0,21,0,420,0.8496456642456137,0.8241161608366041,-11.33321559509863,0.9158874556132981,0.9481605499215205,0.8866678440490138,0.0942618569954736,-0.09642077985177888,4381.268003502836,4941.273141806466,
UF8,Feather R. near Oroville (cdec_ORO: CDEC FTO daily FNF),cdec_ORO,anchor,OROV,train,1987-10,2018-12,True,3601.62097369545,3601.62097369545,1.0,21,0,375,0.9502481644986631,0.9220034100279723,-1.9150809330550276,0.9624855790362835,1.026479423284771,0.9808491906694498,0.0697218290715863,-0.019495143913810686,4082.2242355715616,4161.9285354003905,
