entity_id,family,timescale,site_id,name,delineation,arcs,area_mi2,area_mi2_swat,outlet_lat,outlet_lon,outlet_source,record_start,train_start,train_end,n_obs,obs_store,flags
usgs_11214000,usgs_daily,daily,11214000,NF KINGS R BL MEADOWBROOK CA,usgs_gpkg,,37.63,,37.08133045,-118.862888,usgs_gauges:11214000,1956-10-01,1956-10-01,1981-09-29,9130,usgs/flow_daily.nc:flow_mm,
usgs_11218500,usgs_daily,daily,11218500,KINGS R BL NF NR TRIMMER CA,usgs_gpkg,,1341.16,,36.87466959,-119.1417828,usgs_gauges:11218500,1962-03-01,1962-03-01,1993-10-13,11550,usgs/flow_daily.nc:flow_mm,
usgs_11220000,usgs_daily,daily,11220000,BIG C AB PINE FLAT RES NR TRIMMER CA,usgs_gpkg,,69.92,,36.91633697,-119.2445652,usgs_gauges:11220000,1953-10-01,1953-10-01,1973-09-30,7305,usgs/flow_daily.nc:flow_mm,
usgs_11220500,usgs_daily,daily,11220500,SYCAMORE C AB PINE FLAT RES NR TRIMMER CA,usgs_gpkg,,56.03,,36.9202264,-119.3098459,usgs_gauges:11220500,1953-05-01,1953-05-01,1973-09-29,7457,usgs/flow_daily.nc:flow_mm,
usgs_11224500,usgs_daily,daily,11224500,LOS GATOS C AB NUNEZ CYN NR COALINGA CA,usgs_gpkg,,95.63,,36.21466074,-120.4706956,usgs_gauges:11224500,1950-01-01,1950-01-01,2014-12-31,23610,usgs/flow_daily.nc:flow_mm,
usgs_11226500,usgs_daily,daily,11226500,SAN JOAQUIN R A MILLER CROSSING CA,usgs_gpkg,,251.15,,37.51049707,-119.1973476,usgs_gauges:11226500,1951-10-01,1951-10-01,1991-09-30,14534,usgs/flow_daily.nc:flow_mm,
usgs_11230500,usgs_daily,daily,11230500,BEAR C NR LAKE THOMAS A EDISON CA,usgs_gpkg,,52.39,,37.3393863,-118.9734513,usgs_gauges:11230500,1950-01-01,1950-01-01,2014-10-31,21677,usgs/flow_daily.nc:flow_mm,
usgs_11237500,usgs_daily,daily,11237500,PITMAN C BL TAMARACK C CA,usgs_gpkg,,23.26,,37.19855659,-119.2137328,usgs_gauges:11237500,1950-01-01,1950-01-01,2013-12-31,21958,usgs/flow_daily.nc:flow_mm,
usgs_11253310,usgs_daily,daily,11253310,CANTUA C NR CANTUA CREEK CA,usgs_gpkg,,46.4,,36.40217399,-120.4334917,usgs_gauges:11253310,1966-10-01,1966-10-01,2014-12-31,17418,usgs/flow_daily.nc:flow_mm,
usgs_11257500,usgs_daily,daily,11257500,FRESNO R NR KNOWLES CA,usgs_gpkg,,133.39,,37.2371691,-119.7748763,usgs_gauges:11257500,1950-01-01,1950-01-01,1970-12-31,7670,usgs/flow_daily.nc:flow_mm,
usgs_11258000,usgs_daily,daily,11258000,FRESNO R BL HIDDEN DAM NR DAULTON CA,usgs_gpkg,,258.21,,37.09744734,-119.8896013,usgs_gauges:11258000,1950-01-01,1950-01-01,1970-12-31,7670,usgs/flow_daily.nc:flow_mm,
usgs_11259000,usgs_daily,daily,11259000,CHOWCHILLA R BL BUCHANAN DAM NR RAYMOND CA,usgs_gpkg,,237.23,,37.21550105,-119.991276,usgs_gauges:11259000,1950-01-01,1950-01-01,1972-09-29,8307,usgs/flow_daily.nc:flow_mm,
usgs_11264500,usgs_daily,daily,11264500,MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA,usgs_gpkg,,180.77,,37.73130354,-119.5590243,usgs_gauges:11264500,1950-01-01,1950-01-01,2014-12-31,23525,usgs/flow_daily.nc:flow_mm,
usgs_11266500,usgs_daily,daily,11266500,MERCED R A POHONO BRIDGE NR YOSEMITE CA,usgs_gpkg,,321.99,,37.71627778,-119.6656667,usgs_gauges:11266500,1950-01-01,1950-01-01,2014-12-31,23505,usgs/flow_daily.nc:flow_mm,
usgs_11268000,usgs_daily,daily,11268000,SF MERCED R NR EL PORTAL CA,usgs_gpkg,,240.58,,37.6513197,-119.8854532,usgs_gauges:11268000,1951-04-01,1951-04-01,1975-10-07,8956,usgs/flow_daily.nc:flow_mm,
usgs_11269300,usgs_daily,daily,11269300,MAXWELL C A COULTERVILLE CA,usgs_gpkg,,17.06,,37.71604127,-120.1899102,usgs_gauges:11269300,1959-10-01,1959-10-01,1980-09-29,7304,usgs/flow_daily.nc:flow_mm,
