entity_id,key,lat,lon,overlap_mi2
uf_02,38.40625_-122.15625,38.40625,-122.15625,3.910713
uf_02,38.40625_-122.21875,38.40625,-122.21875,6.792431
uf_02,38.40625_-122.28125,38.40625,-122.28125,0.002879
uf_02,38.46875_-122.09375,38.46875,-122.09375,2.262901
uf_02,38.46875_-122.15625,38.46875,-122.15625,14.598853
uf_02,38.46875_-122.21875,38.46875,-122.21875,14.610663
uf_02,38.46875_-122.28125,38.46875,-122.28125,3.955998
uf_02,38.53125_-122.09375,38.53125,-122.09375,2.969325
uf_02,38.53125_-122.15625,38.53125,-122.15625,14.598315
uf_02,38.53125_-122.21875,38.53125,-122.21875,14.598315
uf_02,38.53125_-122.28125,38.53125,-122.28125,9.203935
uf_02,38.53125_-122.34375,38.53125,-122.34375,1.266265
uf_02,38.53125_-122.40625,38.53125,-122.40625,0.586105
uf_02,38.59375_-122.09375,38.59375,-122.09375,0.120284
uf_02,38.59375_-122.15625,38.59375,-122.15625,12.510463
uf_02,38.59375_-122.21875,38.59375,-122.21875,14.585834
uf_02,38.59375_-122.28125,38.59375,-122.28125,14.585834
uf_02,38.59375_-122.34375,38.59375,-122.34375,14.363433
uf_02,38.59375_-122.40625,38.59375,-122.40625,12.664062
uf_02,38.59375_-122.46875,38.59375,-122.46875,5.022882
uf_02,38.59375_-122.53125,38.59375,-122.53125,1.488283
uf_02,38.65625_-122.15625,38.65625,-122.15625,2.937372
uf_02,38.65625_-122.21875,38.65625,-122.21875,13.640429
uf_02,38.65625_-122.28125,38.65625,-122.28125,14.573335
uf_02,38.65625_-122.34375,38.65625,-122.34375,14.573335
uf_02,38.65625_-122.40625,38.65625,-122.40625,14.573335
uf_02,38.65625_-122.46875,38.65625,-122.46875,14.573335
uf_02,38.65625_-122.53125,38.65625,-122.53125,14.428128
uf_02,38.65625_-122.59375,38.65625,-122.59375,8.402462
uf_02,38.65625_-122.65625,38.65625,-122.65625,0.35129
uf_02,38.71875_-122.21875,38.71875,-122.21875,5.829616
uf_02,38.71875_-122.28125,38.71875,-122.28125,14.560818
uf_02,38.71875_-122.34375,38.71875,-122.34375,14.560818
uf_02,38.71875_-122.40625,38.71875,-122.40625,14.560818
uf_02,38.71875_-122.46875,38.71875,-122.46875,14.560818
uf_02,38.71875_-122.53125,38.71875,-122.53125,14.560818
uf_02,38.71875_-122.59375,38.71875,-122.59375,14.560818
uf_02,38.71875_-122.65625,38.71875,-122.65625,11.17619
uf_02,38.71875_-122.71875,38.71875,-122.71875,2.429117
uf_02,38.78125_-122.21875,38.78125,-122.21875,0.069546
uf_02,38.78125_-122.28125,38.78125,-122.28125,12.767403
uf_02,38.78125_-122.34375,38.78125,-122.34375,14.548284
uf_02,38.78125_-122.40625,38.78125,-122.40625,14.548284
uf_02,38.78125_-122.46875,38.78125,-122.46875,14.548284
uf_02,38.78125_-122.53125,38.78125,-122.53125,14.548284
uf_02,38.78125_-122.59375,38.78125,-122.59375,14.548284
uf_02,38.78125_-122.65625,38.78125,-122.65625,14.548284
uf_02,38.78125_-122.71875,38.78125,-122.71875,11.000945
uf_02,38.84375_-122.28125,38.84375,-122.28125,3.249767
uf_02,38.84375_-122.34375,38.84375,-122.34375,6.763183
uf_02,38.84375_-122.40625,38.84375,-122.40625,12.922966
uf_02,38.84375_-122.46875,38.84375,-122.46875,14.535732
uf_02,38.84375_-122.53125,38.84375,-122.53125,14.535732
uf_02,38.84375_-122.59375,38.84375,-122.59375,7.636496
uf_02,38.84375_-122.65625,38.84375,-122.65625,9.995047
uf_02,38.84375_-122.71875,38.84375,-122.71875,4.640504
uf_02,38.90625_-122.40625,38.90625,-122.40625,2.107438
uf_02,38.90625_-122.46875,38.90625,-122.46875,2.426239
uf_02,38.90625_-122.53125,38.90625,-122.53125,7.923635
uf_02,38.90625_-122.59375,38.90625,-122.59375,0.007212
uf_03,38.78125_-122.71875,38.78125,-122.71875,0.651967
uf_03,38.78125_-122.78125,38.78125,-122.78125,0.2533
uf_03,38.84375_-122.28125,38.84375,-122.28125,3.094226
uf_03,38.84375_-122.34375,38.84375,-122.34375,7.77255
uf_03,38.84375_-122.40625,38.84375,-122.40625,1.612767
uf_03,38.84375_-122.59375,38.84375,-122.59375,6.899237
uf_03,38.84375_-122.65625,38.84375,-122.65625,4.554047
uf_03,38.84375_-122.71875,38.84375,-122.71875,9.900979
uf_03,38.84375_-122.78125,38.84375,-122.78125,11.533039
uf_03,38.84375_-122.84375,38.84375,-122.84375,2.918136
uf_03,38.84375_-122.90625,38.84375,-122.90625,0.000628
uf_03,38.90625_-122.28125,38.90625,-122.28125,5.881146
uf_03,38.90625_-122.34375,38.90625,-122.34375,13.732611
uf_03,38.90625_-122.40625,38.90625,-122.40625,12.415725
uf_03,38.90625_-122.46875,38.90625,-122.46875,12.096924
uf_03,38.90625_-122.53125,38.90625,-122.53125,6.601321
uf_03,38.90625_-122.59375,38.90625,-122.59375,14.526285
uf_03,38.90625_-122.65625,38.90625,-122.65625,14.538073
uf_03,38.90625_-122.71875,38.90625,-122.71875,14.481332
uf_03,38.90625_-122.78125,38.90625,-122.78125,14.523163
uf_03,38.90625_-122.84375,38.90625,-122.84375,14.523163
uf_03,38.90625_-122.90625,38.90625,-122.90625,10.292676
uf_03,38.90625_-122.96875,38.90625,-122.96875,2.348404
