basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9465,0.9054,-1.5487,0.9521,5812,0.9201,0.896,2.8811,0.9469,5567,1.1406,8047.8053
BND,8900.0,0.9311,0.8998,-0.3519,0.9486,1458,0.9002,0.9251,2.6707,0.9635,5571,1.2101,11400.9932
ORO,3607.0,0.9401,0.9158,-3.035,0.9572,5480,0.9349,0.8953,-3.7662,0.9476,5569,1.557,5945.3266
YRS,1108.0,0.8898,0.8577,-1.9207,0.9262,5063,0.9097,0.8363,2.1765,0.9222,5545,2.7166,3186.4137
FOL,1885.0,0.9244,0.8841,-0.3304,0.9404,5063,0.917,0.9033,-0.0948,0.9506,5272,2.0599,4110.5197
MKM,544.0,0.8971,0.8543,-2.4545,0.9245,5195,0.8511,0.8298,-12.0564,0.9162,5056,1.8209,1048.6139
NHG,363.0,0.9208,0.8754,-0.0685,0.9358,4637,0.8405,0.8324,-3.2965,0.9135,4678,0.658,252.8732
NML,900.0,0.8986,0.8799,-4.4322,0.9385,5721,0.8773,0.8045,-7.5663,0.9058,5473,1.5142,1442.6615
TLG,1538.0,0.9037,0.9137,-1.0309,0.9568,5498,0.9141,0.8806,4.7873,0.9443,5157,1.6987,2765.7774
MRC,1061.0,0.8979,0.9038,-0.1736,0.9516,5463,0.8291,0.8564,-11.5264,0.9284,5570,1.1648,1308.346
MIL,1675.0,0.9438,0.924,-1.7319,0.9613,5721,0.8793,0.8873,-7.1136,0.9435,5499,1.3344,2366.0635
PNF,1545.0,0.9617,0.9431,-0.0653,0.9711,5809,0.9152,0.895,5.9366,0.9471,5549,1.3144,2149.7892
TRM,561.0,0.9276,0.9028,4.2894,0.9507,5543,0.939,0.8837,0.334,0.9411,5503,0.9003,534.6446
SCC,393.0,0.886,0.9013,1.0688,0.9509,5228,0.4832,0.6443,38.1925,0.9231,5292,0.4767,198.3217
ISB,2074.0,0.9493,0.9351,3.4158,0.9675,5821,0.8809,0.8192,2.2888,0.9056,5569,0.3887,853.502
