basin,area_mi2
SHA,6665.0
BND,8900.0
ORO,3607.0
YRS,1108.0
FOL,1885.0
MKM,544.0
NHG,363.0
NML,900.0
TLG,1538.0
MRC,1061.0
MIL,1675.0
PNF,1545.0
TRM,561.0
SCC,393.0
ISB,2074.0
