basin,area_mi2
AMF,1862.625
BLB,743.8859375
BND,9978.1671875
FTO,3641.4890625
MRC,1053.1171875
SHA,7469.7453125
SJF,1676.0578125
SNS,980.45
TLG,1536.615625
TNL,718.6015625
YRS,1110.0765625
