set_id,name,entity_id,ref_kind,system,window,win_start,win_end,volume_scored,area_set_mi2,area_sim_mi2,cover_frac,n_arcs,n_arcs_missing,n_months,kge,nse,pbias,r,alpha,beta,seas_mismatch,ct_diff,sim_taf_yr,ref_taf_yr,note
UF7,Sacramento Valley east-side minor streams (uf_07: DWR UF 7 monthly),uf_07,arcsum,,train,1984-10,2014-09,True,1035.9007577909001,1035.9007577909001,1.0,8,0,360,0.8495293987586117,0.919625609507018,14.684287017731341,0.9674420502881282,0.9956926543448615,1.1468428701773132,0.03597228011500837,-0.19054977582081278,1291.8405081174055,1126.432000155064,DWR's UF 7 also carries valley-floor runoff no rim arc holds (about 4% of volume); the arc sum is the consistent reference
UF7,Sacramento Valley east-side minor streams (uf_07: DWR UF 7 monthly),uf_07,arcsum,,trimmed,1964-10,1984-09,True,1035.9007577909001,1035.9007577909001,1.0,8,0,240,0.8907186142903027,0.9259480632311313,1.697933762246986,0.9647024199375137,0.8979793932665259,1.0169793376224698,0.04288470037241028,-0.12792531059747958,1434.3939289561833,1410.4454986367375,DWR's UF 7 also carries valley-floor runoff no rim arc holds (about 4% of volume); the arc sum is the consistent reference
UF8,Feather R. near Oroville (cdec_ORO: CDEC FTO daily FNF),cdec_ORO,anchor,OROV,WY1950-84,1949-10,1984-09,True,3601.62097369545,3601.62097369545,1.0,21,0,420,0.8200983356286327,0.8505452431158753,-2.481408476741339,0.9269312542568987,0.8374889897998485,0.9751859152325867,0.09548312151821967,-0.44167062641668053,4818.659971206738,4941.273141806466,
UF8,Feather R. near Oroville (cdec_ORO: CDEC FTO daily FNF),cdec_ORO,anchor,OROV,train,1987-10,2018-12,True,3601.62097369545,3601.62097369545,1.0,21,0,375,0.8502071645673452,0.9120318211800573,3.884772611105295,0.9608347806196375,0.8607346657856195,1.038847726111053,0.07453402963968508,-0.3669241680370465,4323.609995237401,4161.9285354003905,
UF8,Feather R. near Oroville (cdec_ORO: CDEC FTO daily FNF),cdec_ORO,anchor,OROV,trimmed,1949-10,1969-09,True,3601.62097369545,3601.62097369545,1.0,21,0,240,0.7464784301658105,0.8180786240991438,-4.741498011796894,0.9189242073990872,0.7645181070958147,0.952585019882031,0.10259410199837433,-0.43339330924237807,4562.001107725361,4789.075003814697,
UF4,Stony Creek at Black Butte (uf_04: DWR UF 4 monthly),uf_04,arcsum,,WY1950-84,1949-10,1984-09,True,744.9371658076,744.9371658076,1.0,3,0,420,0.7163406378464285,0.8397834525816301,-20.22988535732629,0.9326498384030603,0.8129124180679522,0.7977011464267372,0.08342498563755057,-0.08566867051410032,402.5402836737867,504.62542955710416,
UF4,Stony Creek at Black Butte (uf_04: DWR UF 4 monthly),uf_04,arcsum,,train,1984-10,2014-09,True,744.9371658076,744.9371658076,1.0,3,0,360,0.8954819934803592,0.8965787493521944,-2.842272535159422,0.9475826145362765,0.914159566219788,0.9715772746484058,0.059229052793110026,-0.13734846618527996,418.02241712577006,430.25133258396136,
UF11,American R. at Fair Oaks (cdec_FOL: CDEC AMF daily FNF),cdec_FOL,anchor,FOLS,WY1950-84,1949-10,1984-09,True,1863.78155589715,1863.78155589715,1.0,46,0,420,0.7717051436517196,0.8789648204807198,-5.895516056535457,0.9542317474620499,0.7842499188009013,0.9410448394346455,0.09575858765161319,-0.35717268739043373,2749.9482771548833,2922.228741838677,I_RUB002 has no polygon of its own (dissolved into I_MFA025)
UF11,American R. at Fair Oaks (cdec_FOL: CDEC AMF daily FNF),cdec_FOL,anchor,FOLS,train,1987-10,2018-12,True,1863.78155589715,1863.78155589715,1.0,46,0,375,0.8234655491272156,0.8882937522503346,-7.1761037188637795,0.9495871843291768,0.8467899680089255,0.9282389628113622,0.12711047253685753,-0.5478532441032442,2359.5354822246336,2541.9483309322595,I_RUB002 has no polygon of its own (dissolved into I_MFA025)
UF11,American R. at Fair Oaks (cdec_FOL: CDEC AMF daily FNF),cdec_FOL,anchor,FOLS,trimmed,1964-10,1984-09,True,1863.78155589715,1863.78155589715,1.0,46,0,240,0.7737602378378177,0.8853692534389365,-7.552517283456746,0.9580350011586058,0.7909083523338358,0.9244748271654324,0.08633486585009767,-0.35292524498441136,2852.7534817102664,3085.8098002053803,I_RUB002 has no polygon of its own (dissolved into I_MFA025)
UF9,Yuba R. at Smartville (cdec_YRS: CDEC YRS daily FNF),cdec_YRS,anchor,YUBA,WY1950-84,1949-10,1984-09,True,1193.4312608042,1129.2539968792,0.9462245828203345,18,2,420,0.7980676397516328,0.9005367254510002,-1.1236982456884794,0.9625210222120427,0.8018946377184357,0.9887630175431152,0.09135314945845407,-0.2706677633433401,2517.5005354358445,2546.111141668047,registry entity cdec_YRS omits the Deer Creek arcs I_DER001/I_DER004 (64 mi2); scored on its covered arcs as well
UF9,Yuba R. at Smartville (cdec_YRS: CDEC YRS daily FNF),cdec_YRS,anchor,YUBA,train,1987-10,2018-12,True,1193.4312608042,1129.2539968792,0.9462245828203345,18,2,375,0.8387938418802673,0.9058411059340364,5.791740187836822,0.9584574480394018,0.8554067209307955,1.0579174018783681,0.09938858103290704,-0.28427690727596655,2312.8524720364926,2186.2316168823245,registry entity cdec_YRS omits the Deer Creek arcs I_DER001/I_DER004 (64 mi2); scored on its covered arcs as well
UF9,Yuba R. at Smartville (cdec_YRS: CDEC YRS daily FNF),cdec_YRS,anchor,YUBA,trimmed,1964-10,1984-09,True,1193.4312608042,1129.2539968792,0.9462245828203345,18,2,240,0.8210681778979488,0.9134222400490998,-1.0541378712517502,0.9662149618964408,0.8246031713629336,0.9894586212874824,0.08925285333964664,-0.28499585214196443,2636.7261514139573,2664.816996574402,registry entity cdec_YRS omits the Deer Creek arcs I_DER001/I_DER004 (64 mi2); scored on its covered arcs as well
UF9,Yuba R. at Smartville (cdec_YRS: CDEC YRS daily FNF),cdec_YRS,arcsum_covered,,WY1950-84,1949-10,1984-09,False,1193.4312608042,1129.2539968792,0.9462245828203345,18,2,420,0.8288563612611168,0.9039172733082537,0.11506345725300321,0.9589386691802391,0.8338591313608358,1.00115063457253,0.0893432491445138,-0.3345088108788383,2517.5005354358445,2514.607141522478,registry entity cdec_YRS omits the Deer Creek arcs I_DER001/I_DER004 (64 mi2); scored on its covered arcs as well
UF9,Yuba R. at Smartville (cdec_YRS: CDEC YRS daily FNF),cdec_YRS,arcsum_covered,,train,1987-10,2018-12,False,1193.4312608042,1129.2539968792,0.9462245828203345,18,2,375,0.8626566971584806,0.9005260299208498,4.870357308638623,0.9525524313529373,0.880669060870541,1.048703573086386,0.10008858951892495,-0.362317947724871,2312.8524720364926,2205.43967942214,registry entity cdec_YRS omits the Deer Creek arcs I_DER001/I_DER004 (64 mi2); scored on its covered arcs as well
UF9,Yuba R. at Smartville (cdec_YRS: CDEC YRS daily FNF),cdec_YRS,arcsum_covered,,trimmed,1964-10,1984-09,False,1193.4312608042,1129.2539968792,0.9462245828203345,18,2,240,0.8469982859705674,0.9122681087714047,-0.1843713597791859,0.9613748347559947,0.8519654708320153,0.9981562864022081,0.08629921347859373,-0.3602235236934206,2636.7261514139573,2641.596498798672,registry entity cdec_YRS omits the Deer Creek arcs I_DER001/I_DER004 (64 mi2); scored on its covered arcs as well
UF10,Bear R. near Wheatland (uf_10: DWR UF 10 monthly),uf_10,arcsum,,WY1950-84,1949-10,1984-09,True,281.9647162872,281.9647162872,1.0,5,0,420,0.8260821192719837,0.9270681982645441,-3.273194933037162,0.9736346936811023,0.831237091300638,0.9672680506696284,0.027092498174582095,-0.13385211531411745,371.00395223357015,383.55857197674254,CalSim3 arcs carry Jul-Sep baseflow the DWR unimpaired series does not; low-flow months disagree by construction
UF10,Bear R. near Wheatland (uf_10: DWR UF 10 monthly),uf_10,arcsum,,train,1984-10,2014-09,True,281.9647162872,281.9647162872,1.0,5,0,360,0.7919792057267896,0.9226919451697291,-6.393651476752231,0.977063960157785,0.8033818141529221,0.9360634852324777,0.04711843625430399,-0.19998704936699685,305.9283249512545,326.8243337953463,CalSim3 arcs carry Jul-Sep baseflow the DWR unimpaired series does not; low-flow months disagree by construction
UF3,Cache Creek above Rumsey (uf_03: DWR UF 3 monthly),uf_03,arcsum,,WY1950-84,1949-10,1984-09,True,953.3664189313,953.3664189313,1.0,4,0,420,0.8789604750841493,0.9369229279853115,-9.393754654920189,0.9705339420664014,0.9295865398519204,0.9060624534507982,0.03136303347771532,-0.2678493188043074,650.3491116417995,717.7751480208701,the arcs are the Clear Lake / Indian Valley inflows while the DWR record is the routed outflow at Rumsey
UF3,Cache Creek above Rumsey (uf_03: DWR UF 3 monthly),uf_03,arcsum,,train,1984-10,2014-09,True,953.3664189313,953.3664189313,1.0,4,0,360,0.8892671864523555,0.9423144058155444,7.727256113523168,0.9766100731051447,1.0757866651306984,1.0772725611352316,0.03872145436505716,-0.2720271236779288,655.4768273351681,608.4595960045855,the arcs are the Clear Lake / Indian Valley inflows while the DWR record is the routed outflow at Rumsey
UF3,Cache Creek above Rumsey (uf_03: DWR UF 3 monthly),uf_03,arcsum,,trimmed,1949-10,1969-09,True,953.3664189313,953.3664189313,1.0,4,0,240,0.9053661756893656,0.9364721902550424,-6.959563897104813,0.9690058857493332,0.9438629122443624,0.9304043610289519,0.03295691093221734,-0.17373249828620185,616.4526605207429,662.5642423246987,the arcs are the Clear Lake / Indian Valley inflows while the DWR record is the routed outflow at Rumsey
UF2,Putah Creek near Winters (uf_02: DWR UF 2 monthly),uf_02,arcsum,,WY1950-84,1949-10,1984-09,True,567.457149998,567.457149998,1.0,1,0,420,0.9130873342672831,0.9634937884405901,-7.288603089161444,0.9827591459726758,0.9559070196284927,0.9271139691083857,0.0347868108985378,-0.22709140961639118,393.79616041278143,424.754855966089,
UF2,Putah Creek near Winters (uf_02: DWR UF 2 monthly),uf_02,arcsum,,train,1984-10,2014-09,True,567.457149998,567.457149998,1.0,1,0,360,0.9256295883804085,0.9590157159439858,-6.791596278799097,0.9797908283330077,0.977417495630871,0.932084037212009,0.0639747152674291,-0.24996899784621185,332.73784545132514,356.9826669777433,
UF13,Cosumnes R. at Michigan Bar (uf_13: DWR UF 13 monthly),uf_13,arcsum,,WY1950-84,1949-10,1984-09,True,539.113324191,539.113324191,1.0,4,0,420,0.7571089140754221,0.8795514038449759,-6.0869420187401895,0.9576183378962415,0.768710596816471,0.9391305798125982,0.09070409815337718,-0.33726498422656714,395.71581649818677,421.3639987925333,
UF13,Cosumnes R. at Michigan Bar (uf_13: DWR UF 13 monthly),uf_13,arcsum,,train,1984-10,2014-09,True,539.113324191,539.113324191,1.0,4,0,360,0.804245066107892,0.8980729208750474,2.781385475777555,0.9594124330815835,0.8105295985166548,1.0278138547577755,0.11697934815891665,-0.4813732602775458,352.374674438913,342.8390002798289,
UF13,Cosumnes R. at Michigan Bar (uf_13: DWR UF 13 monthly),uf_13,arcsum,,trimmed,1949-10,1969-09,True,539.113324191,539.113324191,1.0,4,0,240,0.7151534930962834,0.8442787771542521,-7.155003967638615,0.9450006800049379,0.7298274641684737,0.9284499603236137,0.09365222691245528,-0.36188220828980366,361.49013492756086,389.34799975818026,
UF14,Mokelumne R. at Pardee (cdec_MKM: CDEC MKM daily FNF),cdec_MKM,arcsum,,WY1950-84,1949-10,1984-09,True,543.8979574854,543.8979574854,1.0,8,0,420,0.8026105897985123,0.9077706375335609,3.009337077082771,0.9661646918109753,0.8078746757579981,1.0300933707708277,0.09959608256162611,-0.30524417113038105,835.6906181574029,811.2765714937555,
