entity_id,family,timescale,site_id,name,area_mi2,n_obs,n_scored,kge,nse,pbias,r,alpha,beta
usgs_11337500,usgs_daily,daily,11337500,MARSH C NR BYRON CA,42.57,11139,11139,0.5172946171017636,0.5693895135985747,-25.60681065972189,0.7622915492587551,0.6669409903502902,0.7439318934027811
usgs_11341400,usgs_daily,daily,11341400,SACRAMENTO R NR MT SHASTA CA,128.58,10226,10226,0.5704615281486654,0.5958971318291484,21.49088866900602,0.7962039579463904,0.6888976977499168,1.2149088866900601
usgs_11371000,usgs_daily,daily,11371000,CLEAR C A FRENCH GULCH CA,115.22,15621,15621,0.7871138172317489,0.768917130564544,11.503352902894806,0.8787527047685377,0.8681405770836305,1.1150335290289481
usgs_11372000,usgs_daily,daily,11372000,CLEAR C NR IGO CA,228.17,4383,4383,0.6415824376464507,0.7515596955397449,-8.383977016309414,0.8982218753613432,0.6667204547418218,0.9161602298369059
usgs_11374000,usgs_daily,daily,11374000,COW C NR MILLVILLE CA,422.7,11323,11323,0.8454273361269888,0.7831400461264683,-6.842097181026986,0.8861623164006006,0.9209287610691462,0.93157902818973
usgs_11375700,usgs_daily,daily,11375700,NF COTTONWOOD C NR IGO CA,87.67,8765,8765,0.6055370289171279,0.6886714070035216,-17.127572480021936,0.8520185164414937,0.6769409617832836,0.8287242751997806
usgs_11379000,usgs_daily,daily,11379000,ANTELOPE C NR RED BLUFF CA,123.1,11960,11960,0.7563217003063603,0.7352159199289656,7.3103043316499,0.8593896785322072,0.8148951748436217,1.073103043316499
usgs_11390672,usgs_daily,daily,11390672,STONE CORRAL C NR SITES CA,38.71,9678,9678,0.36210267969876764,0.5035218920569454,-33.06978580942895,0.7476660414706927,0.5163891117103835,0.6693021419057105
usgs_11394500,usgs_daily,daily,11394500,MF FEATHER R NR MERRIMAC CA,1061.92,12783,12783,0.8536156723492782,0.7777874855250775,3.0522779151177977,0.8828044618068248,0.9177690012084596,1.030522779151178
usgs_11396400,usgs_daily,daily,11396400,SUCKER RUN NR FORBESTOWN CA,18.84,8127,8127,0.1350112627733523,0.5779303885427598,84.2462157874357,0.8702006471622847,0.852979062438228,1.8424621578743572
usgs_11408850,usgs_daily,daily,11408850,M YUBA R NR CAMPTONVILLE CA,135.29,4885,4885,0.7022059773391074,0.7013202229789248,17.806556909117095,0.9011222136906288,1.2172489733263474,1.178065569091171
usgs_11409300,usgs_daily,daily,11409300,OREGON C A CAMPTONVILLE CA,23.05,12023,12023,0.5768669692168877,0.7159164194961158,-16.988156740018407,0.8877402288484567,0.6290828143933446,0.8301184325998159
usgs_11409500,usgs_daily,daily,11409500,OREGON C NR NORTH SAN JUAN CA,34.4,7214,7214,0.6507811748497336,0.6884945931300359,-21.197362164755813,0.8373746366902299,0.7751134446586113,0.7880263783524419
usgs_11413100,usgs_daily,daily,11413100,N YUBA R AB SLATE C NR STRAWBERRY CA,350.4,6758,6758,0.8783295481823865,0.8151064014349432,-0.048709835294480766,0.9031317437880307,0.9263793336137941,0.9995129016470552
usgs_11413320,usgs_daily,daily,11413320,DEADWOOD C NR STRAWBERRY VALLEY CA,3.14,6958,6958,-0.8070184211902558,-0.701867407093931,172.10978893973942,0.5363774963693625,0.7030289513100297,2.721097889397394
usgs_11413323,usgs_daily,daily,11413323,OWL GULCH NR STRAWBERRY VALLEY CA,2.08,6590,6590,-0.6120065450617695,-0.11480840911974677,145.5086066452379,0.5246563364955613,0.4946901523774704,2.4550860664523793
usgs_11414000,usgs_daily,daily,11414000,S YUBA R NR CISCO CA,52.32,11323,11323,0.7480740506407798,0.7447899633633777,5.1872950800091875,0.8665870479674903,0.7926913770104898,1.051872950800092
usgs_11418000,usgs_daily,daily,11418000,YUBA R BL ENGLEBRIGHT DAM NR SMARTSVILLE CA,1108.66,7305,7305,0.7274849242801722,0.7813576058967163,24.569118400387783,0.8949410466970597,0.9464936926311792,1.2456911840038778
usgs_11426150,usgs_daily,daily,11426150,ONION C NR SODA SPRINGS CA,3.6,7306,7306,0.6816851595553621,0.5075847244040349,6.7460550638506085,0.7248621430527257,0.8548360532731837,1.0674605506385062
usgs_11427700,usgs_daily,daily,11427700,DUNCAN CYN C NR FRENCH MEADOWS CA,9.9,19009,19009,0.6056987924042179,0.5184224204084753,-25.698536424344294,0.7391491289974134,0.853750938555665,0.743014635756557
usgs_11433260,usgs_daily,daily,11433260,NF OF MF AMERICAN R NR FORESTHILL CA,88.64,7365,7365,0.5418132767582922,0.6674454601176033,-20.94547999476888,0.8564409426750043,0.6186149489114635,0.7905452000523112
usgs_11433300,usgs_daily,daily,11433300,MF AMERICAN R NR FORESTHILL CA,520.56,3014,3014,0.6954692983570536,0.7326732269840674,5.350663739105593,0.8668664889003653,0.7313897689578248,1.053506637391056
usgs_11433500,usgs_daily,daily,11433500,MF AMERICAN R NR AUBURN CA,614.28,5203,5203,0.7241009569168674,0.7655124584552179,-4.2335746263924685,0.8851445744029063,0.7527426486969997,0.9576642537360751
usgs_11445500,usgs_daily,daily,11445500,SF AMERICAN R NR LOTUS CA,673.19,3014,3014,0.6694908904541245,0.7186164251566959,1.7986657161981254,0.8634945261345776,0.6995353477333459,1.0179866571619813
usgs_11449500,usgs_daily,daily,11449500,KELSEY C NR KELSEYVILLE CA,36.69,23379,23379,0.7767448160330306,0.7328619004065656,5.105662759141234,0.8564485830448859,0.8368157831244205,1.0510566275914124
usgs_11451100,usgs_daily,daily,11451100,NF CACHE C A HOUGH SPRING NR CLEARLAKE OAKS CA,59.92,15653,15653,0.5763000335559096,0.6575108603413917,-19.429649352824217,0.830449633520201,0.6638107565761228,0.8057035064717579
usgs_11451715,usgs_daily,daily,11451715,BEAR C AB HOLSTEN CHIMNEY CYN NR RUMSEY CA,95.6,6051,6051,0.6267120788323883,0.46592752522624503,21.35564024423634,0.8092975682520994,1.2395205995127554,1.2135564024423633
