basin,key,lat,lon,Kpet,uztwm,uzfwm,lztwm,lzfpm,lzfsm,uzk,lzpk,lzsk,zperc,rexp,pfree,pctim,adimp,riva,side,rserv,SCF,PXTEMP,MFMAX,MFMIN,UADJ,MBASE,TIPM,PLWHC,NMF,DAYGM,Nres,Kres,Velo,Diff
SHA,41.53125_-121.90625,41.53125,-121.90625,0.7947951225812333,989.6235460612005,596.864048468867,4979.699392677945,738.6339376499934,4266.208363751809,0.5494648074392977,0.21146214135715233,0.014071123589627078,313.99779699422913,6.695243759075936,0.5670688565110747,0.026304325136882856,0.020568496662608255,0.0019482588540801057,0.0,0.25612478187513205,1.0,0.0,0.7111110030100838,0.21358223043999205,0.030640579567961086,0.05759533414772115,0.9826534102122099,0.19304242313185435,0.07129711678630701,0.196917666414663,6.139071769430949,0.4926975041164731,4.649040883820038,3990.0551397127488
SHA,41.53125_-121.84375,41.53125,-121.84375,0.7310156098617691,995.4046434210195,566.6800882087723,4994.373130679674,669.0630092666923,4333.5854882431795,0.5740053451945898,0.21441821146734166,0.010860687473605345,319.83297548885656,6.443688237003763,0.5910718517323253,0.02488167915681416,0.011266222189996272,0.0007269886799164362,0.0,0.25612478187513205,1.0,0.0,0.6518116789028695,0.23170082813997306,0.030287688979343128,0.05380911277487013,0.9827712473894347,0.2391389181600274,0.05678308854793233,0.20540245926765494,6.149716517503763,0.406244181338603,4.725094430511657,3995.3938373868173
SHA,41.53125_-121.78125,41.53125,-121.78125,0.7254668781098921,995.5865926346247,565.5264316839217,4994.725098977082,665.2863037988676,4333.33083887273,0.5765486355788905,0.21456670242583414,0.010763923167038444,319.7085438196281,6.439134025064259,0.5936183084431766,0.024902049632163036,0.010899841455563676,0.0006831670415031589,0.0,0.25612478187513205,1.0,0.0,0.6584551837301948,0.23321366430991955,0.03027442312115906,0.05279371983423849,0.9827800300489489,0.24199061890202087,0.056307168834049265,0.20710824122485133,6.172378381211979,0.3986617442456155,4.728654557876041,3995.5235685574107
SHA,41.53125_-121.71875,41.53125,-121.71875,0.7310578559148062,995.0404379020949,567.0387610714756,4993.696097406999,683.0307161751297,4326.480351022513,0.5713584976506954,0.2153393151947849,0.01119104014596832,319.67883939850054,6.447082100851122,0.5909119752716392,0.02502812832342592,0.011788230264652201,0.0007773083989945352,0.0,0.25612478187513205,1.0,0.0,0.6774123656908188,0.23142288151642945,0.030303812804979766,0.05212145383680815,0.9827674873943922,0.23775269725801426,0.05742763318877204,0.20694700947451455,6.238300634111164,0.4047156803905847,4.7171306594632645,3995.0140792565044
SHA,41.53125_-121.53125,41.53125,-121.53125,0.8305663595397091,987.1536621439955,606.6172658565741,4971.268795335695,754.7013320435094,4248.9250880137615,0.5427389790894365,0.21077350898213812,0.015094479256038112,312.1902303542378,6.776552379962521,0.5559803618189866,0.026694018079474073,0.024426961254751932,0.002659282862672297,0.0,0.25612478187513205,1.0,0.0,0.7113410564936686,0.21239218418274286,0.030793713516613214,0.059665562048540816,0.9826188419852768,0.17644742304281086,0.0786201370735698,0.19380042393603333,6.100939876517574,0.5206971598988571,4.623553997865056,3987.3426178882382
SHA,41.53125_-121.46875,41.53125,-121.46875,0.6119745694084173,998.930686190669,494.5210178416243,4999.446681811048,591.6822821596165,4446.704771509457,0.613165237457754,0.22424774788255536,0.0073759808782400535,334.33166089350857,5.873247837115805,0.6470229511414424,0.022454757970317013,0.003624690571593553,0.00010625017018143566,0.0,0.25612478187513205,1.0,0.0,0.6110669320604353,0.2689520093064691,0.030064889574859907,0.042824746950320756,0.9830044505826794,0.28497327180292303,0.050719987356453014,0.22584090736004128,6.387802091066113,0.24706886455055976,4.824856571823891,3998.8802700690007
SHA,41.46875_-122.15625,41.46875,-122.15625,0.6822672750613605,994.5947992496286,574.0683471769338,4993.052513072432,662.6285837806587,4297.408821368081,0.5783395620610305,0.2113799527632806,0.011543910333163359,315.86890069053186,6.544072807657209,0.6076128974037525,0.026193914514741654,0.011946240504702159,0.000727275199282868,0.0,0.25612478187513205,1.0,0.0,0.725677219868256,0.20795184298773461,0.030321870017535713,0.05222846643638004,0.9827455519444916,0.2405770797471648,0.05779588340382772,0.20530212284044144,6.230025175180093,0.4087078262998467,4.715934078007774,3995.0993849734346
SHA,41.46875_-122.09375,41.46875,-122.09375,0.6871251482356673,996.3688553887041,550.8881776955033,4996.235701330944,662.6010393152561,4344.959439768574,0.5815552724245128,0.21736207649458805,0.010335378453995243,322.01476252204577,6.327209270799874,0.6089434465956199,0.02467379296905157,0.009099381082733358,0.0004918155877929707,0.0,0.25612478187513205,1.0,0.0,0.6932278837724909,0.23903900158366026,0.03021503071602019,0.04768614726043424,0.9828284147534574,0.2550927865254046,0.05450297755328257,0.21252086022840402,6.380945030344174,0.35720137337161356,4.741646596177119,3996.4657404514824
SHA,41.46875_-122.03125,41.46875,-122.03125,0.7800519488358302,987.0738170655342,605.6994525583979,4972.165584292313,744.9958793939662,4238.532869836839,0.5471670550710916,0.20970309256836298,0.01520066598737014,311.4681787447702,6.788099010012527,0.5716766154142378,0.027414402142349827,0.023557908122440116,0.0023440586934605004,0.0,0.25612478187513205,1.0,0.0,0.7456431612922431,0.1997513141240403,0.030772472301354627,0.05864192530342465,0.98261328505368,0.1848276768370593,0.07672185076283913,0.19378919082428125,6.12554251074298,0.5135673767351633,4.6277664096375934,3987.9492325306414
SHA,41.46875_-121.96875,41.46875,-121.96875,0.8554022359648528,978.8246388991566,625.1823520299336,4937.890287651897,790.5770558637422,4203.561364894814,0.5295013478329579,0.2077385683709688,0.017797753948617788,308.5193972044439,6.946001278319315,0.5474060195995459,0.02801489535464955,0.03484018793594745,0.004663563568523859,0.0,0.25612478187513205,1.0,0.0,0.7476821751766752,0.19499497130960003,0.031298318926657055,0.06377036130544822,0.9825350902729084,0.14418725841792615,0.10205207974079225,0.18640782860017038,6.00503477802521,0.5805186405691475,4.56891559872255,3979.656674315033
SHA,41.46875_-121.90625,41.46875,-121.90625,0.874495782283073,980.6146521719804,617.4426933743861,4945.272941265951,806.5300258982693,4224.887909631994,0.5262464315680017,0.2106766070989698,0.017283368053289082,311.39080318475953,6.855051605875543,0.5429710060032075,0.027301480415886807,0.03306484634170314,0.004398280618502579,0.0,0.25612478187513205,1.0,0.0,0.7325596636571424,0.20681825165358503,0.031190008885897198,0.06186175514476925,0.9825616488997267,0.14708016503511245,0.09792242579802651,0.18937226320982425,6.0753518494442025,0.5664315755360081,4.5750050014647545,3981.0151996055415
SHA,41.46875_-121.84375,41.46875,-121.84375,0.8462713580264889,986.3134672556953,608.756712132734,4968.093473298788,762.2817219800753,4246.832151459813,0.539564810151985,0.21062221572487658,0.01540115423440408,312.16110274622133,6.790533328878575,0.5515663549585124,0.02663777509717078,0.02581145170229239,0.0029502825676848967,0.0,0.25612478187513205,1.0,0.0,0.7108333725882969,0.21449144204640488,0.030850110030822046,0.05990863163445318,0.9826116390478022,0.17030768879457447,0.08155892434806594,0.1929704967931789,6.077215367064264,0.5302468360775913,4.615633225091193,3986.398804274396
SHA,41.46875_-121.78125,41.46875,-121.78125,0.85373807103029,985.2187867108737,611.4865274058822,4963.944651017435,770.0544366240251,4239.112069959245,0.5373367040038208,0.2102506264152157,0.01585461280558455,311.5276415835838,6.815188296635229,0.5493692477186569,0.0267388595348137,0.02731616276338471,0.0032385098140902285,0.0,0.25612478187513205,1.0,0.0,0.7226429073938508,0.21405456299194783,0.03091541667308186,0.05950691893119261,0.982602910884908,0.16519620746637348,0.08493892165248494,0.1929601171648005,6.084579396180915,0.5374550328329857,4.606676876724089,3985.344937167958
SHA,41.46875_-121.71875,41.46875,-121.71875,0.7906867410610678,991.1338869258408,592.2156932865493,4984.068652601559,725.361371003975,4274.424742750745,0.5544482646689777,0.21247050025272005,0.013474190023239208,314.1240477098269,6.661245410495094,0.568566472762289,0.025929626533869387,0.01839179295387417,0.0016625710449678737,0.0,0.25612478187513205,1.0,0.0,0.7104248030628093,0.22203285401501696,0.03054395041095707,0.05522064053415013,0.9826827895624922,0.20323630530198436,0.06749067162982691,0.19996090085721868,6.223489789922605,0.4692557617653536,4.660607665936354,3991.374731458607
