basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9407,0.9033,-1.289,0.9507,5812,0.9064,0.8904,3.2117,0.9441,5567,1.1406,8047.8053
BND,8900.0,0.9317,0.9036,-0.7389,0.9506,1458,0.9206,0.9234,2.2522,0.9615,5571,1.2101,11400.9932
ORO,3607.0,0.8912,0.9238,-4.0297,0.9631,5480,0.8667,0.8919,-6.0835,0.9466,5569,1.557,5945.3266
YRS,1108.0,0.8636,0.8623,-3.6522,0.9297,5063,0.9214,0.8579,-0.4455,0.9272,5545,2.7166,3186.4137
FOL,1885.0,0.888,0.8878,-1.9122,0.9431,5063,0.827,0.8868,-4.075,0.9482,5272,2.0599,4110.5197
MKM,544.0,0.9121,0.8609,-0.0004,0.9281,5195,0.8432,0.8357,-12.1323,0.9179,5056,1.8209,1048.6139
NHG,363.0,0.899,0.882,-3.5237,0.9393,4637,0.8482,0.838,-0.51,0.9164,4678,0.658,252.8732
NML,900.0,0.8981,0.8832,-3.8684,0.9402,5721,0.8521,0.8254,-9.9109,0.9113,5473,1.5142,1442.6615
TLG,1538.0,0.9071,0.9143,-0.4657,0.957,5498,0.9451,0.9014,1.5129,0.9501,5157,1.6987,2765.7774
MRC,1061.0,0.8977,0.9068,1.8536,0.9533,5463,0.8041,0.861,-12.5673,0.9332,5570,1.1648,1308.346
MIL,1675.0,0.9578,0.9289,0.1144,0.9639,5721,0.9129,0.8826,-4.2269,0.94,5499,1.3344,2366.0635
PNF,1545.0,0.9687,0.9461,1.478,0.9733,5809,0.8871,0.8699,8.7621,0.9395,5549,1.3144,2149.7892
TRM,561.0,0.9477,0.92,1.3426,0.9593,5543,0.8762,0.9104,-7.3825,0.9565,5503,0.9003,534.6446
SCC,393.0,0.8791,0.9066,-2.1768,0.9544,5228,0.6368,0.7261,27.5507,0.9151,5292,0.4767,198.3217
ISB,2074.0,0.9687,0.9455,1.3504,0.9731,5821,0.8852,0.8542,-1.0603,0.9243,5569,0.3887,853.502
