basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9511,0.9255,-2.5792,0.9625,5812,0.9296,0.9082,1.5908,0.9531,5567,1.1406,8047.8053
BND,8900.0,0.9489,0.9415,-1.5927,0.9705,1458,0.9104,0.9227,2.783,0.9616,5571,1.2101,11400.9932
ORO,3607.0,0.947,0.9312,-0.2095,0.965,5480,0.9102,0.8931,-4.5047,0.9455,5569,1.557,5945.3266
YRS,1108.0,0.8873,0.868,3.1761,0.932,5063,0.8994,0.8425,6.0958,0.9242,5545,2.7166,3186.4137
FOL,1885.0,0.9047,0.8961,4.4358,0.947,5063,0.8956,0.8976,2.7741,0.9482,5272,2.0599,4110.5197
MKM,544.0,0.8937,0.8661,8.2631,0.9337,5195,0.883,0.833,-5.0779,0.9136,5056,1.8209,1048.6139
NHG,363.0,0.8944,0.8799,4.4946,0.9382,4637,0.8093,0.8124,3.1558,0.9038,4678,0.658,252.8732
NML,900.0,0.9371,0.8821,-1.5118,0.9425,5721,0.8601,0.8065,-10.1873,0.9047,5473,1.5142,1442.6615
TLG,1538.0,0.9219,0.9287,2.0572,0.9643,5498,0.9357,0.8983,3.9488,0.9494,5157,1.6987,2765.7774
MRC,1061.0,0.8861,0.9161,8.1734,0.9586,5463,0.8693,0.8659,-3.6872,0.9315,5570,1.1648,1308.346
MIL,1675.0,0.9678,0.9426,0.8316,0.971,5721,0.9121,0.8339,0.7636,0.9206,5499,1.3344,2366.0635
PNF,1545.0,0.9777,0.959,0.8053,0.9796,5809,0.8274,0.8479,12.2088,0.9391,5549,1.3144,2149.7892
TRM,561.0,0.9507,0.909,-0.8177,0.9539,5543,0.8958,0.8915,-6.3341,0.9451,5503,0.9003,534.6446
SCC,393.0,0.9141,0.9145,1.0029,0.9568,5228,0.631,0.7304,27.7908,0.919,5292,0.4767,198.3217
ISB,2074.0,0.965,0.9302,0.1442,0.9653,5821,0.8968,0.8262,-0.2484,0.9098,5569,0.3887,853.502
