epoch,loss,cal_kge,lr,epoch_s
0.000000000000000000e+00,1.426844668057229759e+00,-9.121826715429606769e-02,1.599999999999999860e-04,8.477746009826660156e+00
1.000000000000000000e+00,9.756900163160430184e-01,nan,2.799999999999999755e-04,2.418479681015014648e+00
2.000000000000000000e+00,4.325130497001939411e-01,7.146892139611630279e-01,4.000000000000000192e-04,6.991747856140136719e+00
3.000000000000000000e+00,3.419974086185296192e-01,nan,3.997038957044966347e-04,2.363360404968261719e+00
4.000000000000000000e+00,3.047468473410440692e-01,7.840863998484544073e-01,3.988164820770001432e-04,6.943416357040405273e+00
5.000000000000000000e+00,2.809866065573360938e-01,nan,3.973404541635308261e-04,2.362142324447631836e+00
6.000000000000000000e+00,2.644812356059749736e-01,7.991598496285603481e-01,3.952802946123499476e-04,6.934723615646362305e+00
7.000000000000000000e+00,2.546986665887137069e-01,nan,3.926422600603038165e-04,2.418476819992065430e+00
8.000000000000000000e+00,2.499009112620519391e-01,8.369249783662713327e-01,3.894343621316237046e-04,7.007872343063354492e+00
9.000000000000000000e+00,2.380283749144938288e-01,nan,3.856663431068863305e-04,2.432732582092285156e+00
1.000000000000000000e+01,2.339203343726694584e-01,8.477334686257956831e-01,3.813496463360276242e-04,7.079511404037475586e+00
1.100000000000000000e+01,2.270495286728772821e-01,nan,3.764973814852653577e-04,2.386968851089477539e+00
1.200000000000000000e+01,2.230240827322834130e-01,8.345859428130233404e-01,3.711242847234738217e-04,6.942502021789550781e+00
1.300000000000000000e+01,2.125514575487209568e-01,nan,3.652466739689228317e-04,2.418700695037841797e+00
1.400000000000000000e+01,2.136928945676320191e-01,8.537312583996572446e-01,3.588823993322968141e-04,7.013116598129272461e+00
1.500000000000000000e+01,2.064215880818665028e-01,nan,3.520507889064948374e-04,2.351056337356567383e+00
1.600000000000000000e+01,2.015010443412595387e-01,8.228445587190574839e-01,3.447725900678480699e-04,6.913102865219116211e+00
1.700000000000000000e+01,1.997141136994792232e-01,nan,3.370699064670196177e-04,2.453665733337402344e+00
1.800000000000000000e+01,2.011134592919713859e-01,8.736695054890769585e-01,3.289661309009438194e-04,7.032549142837524414e+00
