basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.948,0.9129,0.42,0.9556,5812,0.9132,0.8999,4.6031,0.9495,5567,1.1406,8047.8053
BND,8900.0,0.9256,0.9126,1.0449,0.9554,1458,0.8683,0.9161,3.3622,0.961,5571,1.2101,11400.9932
ORO,3607.0,0.9301,0.9207,-2.3645,0.9597,5480,0.9277,0.9001,-4.2927,0.9494,5569,1.557,5945.3266
YRS,1108.0,0.8807,0.8602,-0.2519,0.9277,5063,0.9131,0.83,1.3014,0.9172,5545,2.7166,3186.4137
FOL,1885.0,0.9147,0.8893,-0.1308,0.9431,5063,0.906,0.8988,-0.6397,0.9484,5272,2.0599,4110.5197
MKM,544.0,0.8886,0.8612,-2.2849,0.9282,5195,0.8226,0.8242,-14.3675,0.9131,5056,1.8209,1048.6139
NHG,363.0,0.9009,0.874,-3.4929,0.9349,4637,0.8346,0.8332,-4.9506,0.9141,4678,0.658,252.8732
NML,900.0,0.9162,0.8791,-0.8023,0.9376,5721,0.8654,0.8068,-9.2594,0.9039,5473,1.5142,1442.6615
TLG,1538.0,0.8659,0.907,-1.9936,0.9559,5498,0.9397,0.8971,0.2563,0.9474,5157,1.6987,2765.7774
MRC,1061.0,0.8964,0.9027,-0.8592,0.9511,5463,0.8252,0.8576,-12.0253,0.9293,5570,1.1648,1308.346
MIL,1675.0,0.9563,0.9212,1.2123,0.9602,5721,0.9322,0.8908,-2.0082,0.9442,5499,1.3344,2366.0635
PNF,1545.0,0.9614,0.945,2.293,0.9724,5809,0.8949,0.8917,8.9865,0.9486,5549,1.3144,2149.7892
TRM,561.0,0.9431,0.9023,0.2782,0.9502,5543,0.8665,0.8938,-10.1202,0.9479,5503,0.9003,534.6446
SCC,393.0,0.8608,0.8731,-2.4428,0.9362,5228,0.5382,0.665,33.9245,0.9168,5292,0.4767,198.3217
ISB,2074.0,0.9367,0.9357,-2.3967,0.9676,5821,0.8043,0.8042,-7.1034,0.8997,5569,0.3887,853.502
