basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9499,0.903,-0.0888,0.9511,5812,0.9205,0.8933,4.452,0.9461,5567,1.1406,8047.8053
BND,8900.0,0.9325,0.9015,-1.4261,0.9496,1458,0.9035,0.9254,1.2994,0.9634,5571,1.2101,11400.9932
ORO,3607.0,0.945,0.9163,-1.1456,0.9573,5480,0.9439,0.8993,-1.7997,0.949,5569,1.557,5945.3266
YRS,1108.0,0.8965,0.8595,0.2222,0.9271,5063,0.9008,0.8283,3.1785,0.9194,5545,2.7166,3186.4137
FOL,1885.0,0.9255,0.8852,2.3329,0.9412,5063,0.9139,0.8956,1.4715,0.9465,5272,2.0599,4110.5197
MKM,544.0,0.9055,0.8533,-0.1898,0.9239,5195,0.8374,0.8314,-13.1216,0.9164,5056,1.8209,1048.6139
NHG,363.0,0.9251,0.87,0.8088,0.9334,4637,0.8564,0.8264,-1.2586,0.9093,4678,0.658,252.8732
NML,900.0,0.9154,0.8786,-0.5847,0.9374,5721,0.8802,0.8055,-7.0756,0.9035,5473,1.5142,1442.6615
TLG,1538.0,0.9121,0.9122,1.4339,0.9556,5498,0.9006,0.8766,6.7192,0.943,5157,1.6987,2765.7774
MRC,1061.0,0.9127,0.9031,2.4147,0.9506,5463,0.8528,0.8643,-9.3326,0.9315,5570,1.1648,1308.346
MIL,1675.0,0.9521,0.9234,2.0511,0.9612,5721,0.9211,0.8863,-2.9312,0.9417,5499,1.3344,2366.0635
PNF,1545.0,0.9569,0.9429,3.1034,0.9714,5809,0.8946,0.8965,9.2795,0.9501,5549,1.3144,2149.7892
TRM,561.0,0.9176,0.8973,6.3212,0.9489,5543,0.9361,0.8928,-0.1835,0.9451,5503,0.9003,534.6446
SCC,393.0,0.8718,0.8884,0.7619,0.9445,5228,0.5223,0.644,34.5093,0.9143,5292,0.4767,198.3217
ISB,2074.0,0.9327,0.9298,4.7464,0.965,5821,0.8623,0.8363,1.4535,0.9148,5569,0.3887,853.502
