basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9464,0.9095,-0.9783,0.9539,5812,0.9273,0.8855,3.2347,0.9419,5567,1.1406,8047.8053
BND,8900.0,0.9236,0.9051,-2.2264,0.9516,1458,0.8715,0.9116,-1.1392,0.9581,5571,1.2101,11400.9932
ORO,3607.0,0.9273,0.9133,-0.3072,0.9558,5480,0.9425,0.8862,0.8943,0.9432,5569,1.557,5945.3266
YRS,1108.0,0.8887,0.8346,2.174,0.9139,5063,0.8064,0.8081,9.717,0.9279,5545,2.7166,3186.4137
FOL,1885.0,0.9053,0.8634,3.1266,0.9295,5063,0.9128,0.8968,4.4104,0.9473,5272,2.0599,4110.5197
MKM,544.0,0.8818,0.8366,-0.5112,0.9147,5195,0.8613,0.8093,-9.7048,0.9044,5056,1.8209,1048.6139
NHG,363.0,0.9243,0.8762,1.5132,0.9364,4637,0.8471,0.8047,3.5721,0.8971,4678,0.658,252.8732
NML,900.0,0.91,0.8635,2.488,0.9296,5721,0.8895,0.7854,-2.413,0.8964,5473,1.5142,1442.6615
TLG,1538.0,0.8677,0.8989,-1.7933,0.9509,5498,0.9337,0.8912,3.6665,0.9455,5157,1.6987,2765.7774
MRC,1061.0,0.8968,0.8985,2.7227,0.9487,5463,0.8393,0.8598,-8.5999,0.9297,5570,1.1648,1308.346
MIL,1675.0,0.9392,0.9119,4.238,0.9565,5721,0.9424,0.8951,1.7803,0.947,5499,1.3344,2366.0635
PNF,1545.0,0.9625,0.9448,2.4504,0.9724,5809,0.8584,0.8764,12.5315,0.944,5549,1.3144,2149.7892
TRM,561.0,0.9449,0.9015,0.6364,0.9499,5543,0.9165,0.89,-4.7579,0.944,5503,0.9003,534.6446
SCC,393.0,0.8725,0.8966,-2.2123,0.9491,5228,0.5705,0.6694,31.5983,0.9097,5292,0.4767,198.3217
ISB,2074.0,0.9604,0.926,-0.0205,0.9626,5821,0.8602,0.8497,-2.8037,0.9227,5569,0.3887,853.502
