basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9505,0.9197,2.4254,0.9609,5812,0.9082,0.8883,7.305,0.9474,5567,1.1406,8047.8053
BND,8900.0,0.9532,0.9479,-0.8556,0.9737,1458,0.9172,0.9083,4.3489,0.9537,5571,1.2101,11400.9932
ORO,3607.0,0.9357,0.9247,1.0144,0.9617,5480,0.9323,0.8964,-1.8168,0.947,5569,1.557,5945.3266
YRS,1108.0,0.842,0.8533,1.0168,0.9261,5063,0.8948,0.843,6.2084,0.9202,5545,2.7166,3186.4137
FOL,1885.0,0.9017,0.8904,-0.3247,0.944,5063,0.877,0.8974,-2.5209,0.9492,5272,2.0599,4110.5197
MKM,544.0,0.8954,0.8616,5.4636,0.9289,5195,0.8816,0.8219,-5.4618,0.9082,5056,1.8209,1048.6139
NHG,363.0,0.885,0.8723,6.1825,0.9342,4637,0.8422,0.8218,6.8718,0.9069,4678,0.658,252.8732
NML,900.0,0.9154,0.87,-3.8277,0.9336,5721,0.8684,0.8197,-9.7336,0.9116,5473,1.5142,1442.6615
TLG,1538.0,0.8987,0.9131,-1.1752,0.9568,5498,0.9477,0.9053,1.791,0.9522,5157,1.6987,2765.7774
MRC,1061.0,0.871,0.912,7.9123,0.9574,5463,0.8375,0.8629,-4.8158,0.9321,5570,1.1648,1308.346
MIL,1675.0,0.9517,0.9391,2.143,0.9692,5721,0.9224,0.8461,1.1796,0.9235,5499,1.3344,2366.0635
PNF,1545.0,0.9706,0.9614,0.5724,0.9805,5809,0.8585,0.8723,10.5614,0.9456,5549,1.3144,2149.7892
TRM,561.0,0.9462,0.9094,-0.7303,0.9539,5543,0.8926,0.8991,-6.7388,0.9493,5503,0.9003,534.6446
SCC,393.0,0.8949,0.9082,4.6982,0.954,5228,0.5799,0.7057,33.7065,0.9142,5292,0.4767,198.3217
ISB,2074.0,0.9392,0.9184,3.8047,0.961,5821,0.8898,0.7996,0.792,0.8967,5569,0.3887,853.502
