basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9283,0.9084,-3.2665,0.9535,5812,0.9083,0.8897,0.5449,0.9434,5567,1.1406,8047.8053
BND,8900.0,0.9301,0.9017,-2.2743,0.9499,1458,0.9055,0.9259,1.4941,0.9636,5571,1.2101,11400.9932
ORO,3607.0,0.9058,0.912,-4.4831,0.9557,5480,0.9115,0.8984,-5.68,0.9485,5569,1.557,5945.3266
YRS,1108.0,0.8736,0.8526,-0.3085,0.9237,5063,0.9141,0.832,1.9937,0.9166,5545,2.7166,3186.4137
FOL,1885.0,0.8987,0.8835,0.684,0.9402,5063,0.8816,0.8785,-1.4373,0.9381,5272,2.0599,4110.5197
MKM,544.0,0.9007,0.8551,0.5701,0.9248,5195,0.8612,0.8289,-10.3535,0.9143,5056,1.8209,1048.6139
NHG,363.0,0.9121,0.8774,-3.3668,0.9368,4637,0.8255,0.8178,-5.9742,0.9053,4678,0.658,252.8732
NML,900.0,0.9127,0.8757,-2.0143,0.9359,5721,0.8808,0.8177,-7.5144,0.9088,5473,1.5142,1442.6615
TLG,1538.0,0.9244,0.9091,0.921,0.9536,5498,0.9042,0.8855,5.999,0.9478,5157,1.6987,2765.7774
MRC,1061.0,0.8935,0.8994,0.1345,0.9493,5463,0.8352,0.8674,-10.6239,0.9343,5570,1.1648,1308.346
MIL,1675.0,0.9627,0.9312,0.9272,0.9653,5721,0.9414,0.8915,-1.2319,0.945,5499,1.3344,2366.0635
PNF,1545.0,0.9702,0.9503,1.2998,0.9755,5809,0.8477,0.8638,11.3011,0.943,5549,1.3144,2149.7892
TRM,561.0,0.9487,0.9184,0.2525,0.9584,5543,0.89,0.9077,-6.6941,0.9541,5503,0.9003,534.6446
SCC,393.0,0.8284,0.8866,-5.9363,0.9473,5228,0.6509,0.7212,26.2579,0.9102,5292,0.4767,198.3217
ISB,2074.0,0.9732,0.9467,0.2124,0.9733,5821,0.8849,0.8562,-0.7945,0.9254,5569,0.3887,853.502
