basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9518,0.916,-0.1463,0.9573,5812,0.9217,0.886,5.0455,0.9431,5567,1.1406,8047.8053
BND,8900.0,0.9582,0.9338,-0.7803,0.9664,1458,0.9211,0.9174,4.2362,0.9585,5571,1.2101,11400.9932
ORO,3607.0,0.9081,0.9273,-5.3418,0.9639,5480,0.899,0.9017,-6.1434,0.9504,5569,1.557,5945.3266
YRS,1108.0,0.866,0.8647,-5.6098,0.9309,5063,0.9092,0.8314,2.1433,0.9193,5545,2.7166,3186.4137
FOL,1885.0,0.8941,0.8929,-5.6058,0.9456,5063,0.8674,0.8948,-4.2915,0.9483,5272,2.0599,4110.5197
MKM,544.0,0.8901,0.8681,-5.0218,0.9322,5195,0.7861,0.8323,-16.7609,0.919,5056,1.8209,1048.6139
NHG,363.0,0.8994,0.8866,-6.5449,0.9418,4637,0.84,0.8225,-3.785,0.9076,4678,0.658,252.8732
NML,900.0,0.9172,0.9003,-3.1021,0.9491,5721,0.8841,0.8162,-6.7425,0.9076,5473,1.5142,1442.6615
TLG,1538.0,0.9136,0.9196,-2.7824,0.9597,5498,0.9467,0.9007,1.9158,0.9503,5157,1.6987,2765.7774
MRC,1061.0,0.9045,0.9171,-2.6244,0.9586,5463,0.7877,0.8548,-14.7571,0.9309,5570,1.1648,1308.346
MIL,1675.0,0.9605,0.9337,-2.1094,0.9668,5721,0.9199,0.884,-4.7616,0.9413,5499,1.3344,2366.0635
PNF,1545.0,0.974,0.9498,-0.6136,0.975,5809,0.8931,0.8648,7.8487,0.9365,5549,1.3144,2149.7892
TRM,561.0,0.9563,0.9208,-1.5985,0.9602,5543,0.8582,0.9089,-9.6715,0.9568,5503,0.9003,534.6446
SCC,393.0,0.9233,0.9203,-1.6951,0.9596,5228,0.6135,0.733,30.1815,0.9213,5292,0.4767,198.3217
ISB,2074.0,0.9742,0.9571,-1.4183,0.9786,5821,0.8404,0.8641,-4.8546,0.9328,5569,0.3887,853.502
