basin,key,Kpet,uztwm,uzfwm,lztwm,lzfpm,lzfsm,uzk,lzpk,lzsk,zperc,rexp,pfree,pctim,adimp,riva,side,rserv,SCF,PXTEMP,MFMAX,MFMIN,UADJ,MBASE,TIPM,PLWHC,NMF,DAYGM,Nres,Kres,Velo,Diff
SHA,41.53125_-121.90625,0.8015949359004899,501.23773776952487,790.4679159460906,430.9894476349926,379.7419033711955,3379.2569542737174,0.5247926981070474,0.1590810884640233,0.03402517270493659,68.05675733508994,8.881406961648386,0.2431083818156757,0.007216773522278723,0.10890946691434274,0.030269571949175456,0.0,0.4,1.0,0.0,0.905185744206,0.05,0.063403385992,0.0,1.0,0.02,0.3,0.134497044126,5.706902064712,0.872344990126,3.895188229275,3476.270897516235
SHA,41.53125_-121.84375,1.800015896689802,820.0085195649696,553.646682635833,4800.455206042865,1371.5430520756852,163.92457692474326,0.027615804709969136,0.35733815218778125,0.09199828452428825,373.33041085462065,2.014180749578895,0.18421335667296054,0.09921550140831768,0.3699084122464956,0.41614313502861816,0.0,0.4,1.0,0.0,0.905185744206,0.05,0.063403385992,0.0,1.0,0.02,0.3,0.134497044126,5.706902064712,0.872344990126,3.8951882292750004,3476.270897516235
SHA,41.53125_-121.78125,1.8330835750010002,743.2477862440109,610.6737772537281,3748.2778579588257,1132.7150671069144,938.1839672170047,0.14733713773943555,0.3095973978069067,0.07803822660716406,299.8198168919519,3.667824527563618,0.1983954134268701,0.07706199732192594,0.30705926927658267,0.32322389850286803,0.0,0.4000000000000001,1.0,0.0,0.905185744206,0.05000000000000001,0.063403385992,0.0,1.0,0.02,0.3,0.134497044126,5.706902064712001,0.8723449901260001,3.895188229275,3476.2708975162354
SHA,41.53125_-121.71875,1.833083575001,781.9385997449815,494.24369298029984,3742.825310273946,1355.294707758234,373.3221965749766,0.05999431050795519,0.2712954972729635,0.1405983660410972,377.3586340169048,4.159685940074366,0.25832826559999733,0.08554402078504876,0.346553494569287,0.4472530163569999,0.0,0.36652814991049704,1.0,0.0,0.905185744206,0.05,0.063403385992,0.0,1.0,0.02,0.3,0.134497044126,5.706902064712,0.872344990126,3.895188229275,3476.270897516235
SHA,41.53125_-121.53125,1.7986844748182977,835.1929940409981,170.81121361218317,1206.2865652240453,2858.88731383566,1915.6916906747672,0.03059528929394963,0.18189462912179158,0.25348039145085405,430.04976079483265,6.5302181912139625,0.6811500331228626,0.08244182266973249,0.3756453038194636,0.5073709584499138,0.0,0.15771636464288644,1.0,0.0,0.9051857442060001,0.05,0.063403385992,0.0,1.0,0.019999999999999997,0.30000000000000004,0.134497044126,5.706902064712001,0.8723449901260001,3.895188229275,3476.270897516235
SHA,41.53125_-121.46875,1.569720866659104,538.6488517006821,739.3074972311259,534.1621819103077,698.7903668777715,3416.063005998241,0.48382048200802424,0.17955552331788446,0.04229071574553041,92.13704262147485,8.29402850002625,0.29160947448826197,0.015594623699263364,0.13468829494326576,0.051839720952950794,0.0,0.37358268430749947,1.0000000000000002,0.0,0.9051857442060001,0.05000000000000001,0.06340338599200002,0.0,1.0000000000000002,0.02,0.3,0.13449704412600003,5.706902064712001,0.872344990126,3.895188229275,3476.270897516235
SHA,41.46875_-122.15625,1.7447923260725111,629.6369934572257,577.0540702908708,411.0150430041786,1612.8065842110393,3677.044495054693,0.3856875633969769,0.2098554585239346,0.07920187661047884,156.09571449033933,7.365068483137457,0.4586147405776654,0.03389985401908784,0.19704187286816358,0.1138762314897783,0.0,0.28552067432059525,1.0,0.0,0.9051857442060001,0.05,0.063403385992,0.0,1.0,0.020000000000000004,0.3,0.134497044126,5.706902064712001,0.872344990126,3.895188229275,3476.270897516235
SHA,41.46875_-122.09375,1.8330835750010004,760.1024837327518,360.85835829869166,733.6309395608282,2642.1580177878814,3395.8027906377306,0.21333675280124598,0.24435014239301034,0.14162851365934487,273.8728880555585,5.9854585117410215,0.6294142160776423,0.06319634965212326,0.2953423514182183,0.25450311674842085,0.0,0.1916718905746918,1.0000000000000002,0.0,0.9051857442060001,0.05000000000000002,0.06340338599200002,0.0,1.0000000000000002,0.020000000000000004,0.30000000000000004,0.13449704412600003,5.706902064712001,0.8723449901260001,3.895188229275001,3476.270897516235
SHA,41.46875_-122.03125,0.793524973324,564.3244693047743,684.0918139467086,252.54485677997496,1092.106766164492,3797.645737900765,0.47065094082893344,0.19120426388991896,0.04922108970683324,98.557208983212,8.078945763671191,0.372570932596902,0.019263088528297022,0.1482060054517471,0.046239280745337674,0.0,0.33272405066194977,1.0,0.0,0.905185744206,0.05000000000000001,0.063403385992,0.0,1.0,0.02,0.3,0.134497044126,5.706902064712001,0.8723449901260001,3.895188229275,3476.270897516235
SHA,41.46875_-121.96875,0.793524973324,476.231994857654,809.045185929475,88.22987349346,301.940781183914,3631.481371930028,0.563793379123,0.14352895681,0.029477513971,44.109786867215,9.420101544036,0.247728359372,0.0,0.088435593837,0.0,0.0,0.4,1.0,0.0,0.905185744206,0.05,0.063403385992,0.0,1.0,0.02,0.3,0.134497044126,5.706902064712,0.872344990126,3.895188229275,3476.270897516235
SHA,41.46875_-121.90625,0.793524973324,476.231994857654,809.045185929475,88.22987349346,301.940781183914,3631.481371930028,0.563793379123,0.14352895681,0.029477513971,44.109786867215,9.420101544036,0.247728359372,0.0,0.088435593837,0.0,0.0,0.4,1.0,0.0,0.905185744206,0.05,0.063403385992,0.0,1.0,0.02,0.3,0.134497044126,5.706902064712,0.872344990126,3.895188229275,3476.270897516235
SHA,41.46875_-121.84375,1.833083575001,585.7999678438252,727.6449322809428,1590.1037387351319,642.8429205105995,2526.3065215919455,0.3929036127577876,0.2116739244260777,0.049404046490605535,149.03852354070813,7.059696829852406,0.22748494657390422,0.031621825799103664,0.1781462167193798,0.13263255778158717,0.0,0.4,1.0,0.0,0.9051857442060001,0.05,0.063403385992,0.0,1.0,0.02,0.3,0.134497044126,5.706902064712,0.872344990126,3.895188229275,3476.270897516235
SHA,41.46875_-121.78125,1.8291387790421134,477.74629837175144,807.9201793532927,108.98678639312274,306.65227938431315,3616.2071078002145,0.5614315669375834,0.1444707663654447,0.02975291213157402,45.55997299682907,9.387479153971054,0.24744858171159415,0.00043703502606371266,0.08967545533831484,0.0018330716801499762,0.0,0.4,1.0,0.0,0.9051857442059998,0.05,0.063403385992,0.0,1.0,0.02,0.3,0.134497044126,5.706902064712,0.872344990126,3.895188229275,3476.270897516235
SHA,41.46875_-121.71875,1.833083575001,692.5180598340485,309.4993581828167,982.32528593546,1369.8295159851828,775.1322445193156,0.122124954537176,0.0370352242842406,0.2833836866711923,407.6972182253126,9.882589625549315,0.46700381330627844,0.05204757673737134,0.2957263714409709,0.5601307306590273,0.0,0.270647884612497,1.0,0.0,0.905185744206,0.05,0.063403385992,0.0,1.0,0.019999999999999997,0.3,0.134497044126,5.706902064712,0.872344990126,3.8951882292750004,3476.270897516235
