key,sand_0_5,sand_5_15,sand_15_30,sand_30_60,sand_60_100,sand_100_200,clay_0_5,clay_5_15,clay_15_30,clay_30_60,clay_60_100,clay_100_200,ksat_0_5,ksat_5_15,ksat_15_30,ksat_30_60,ksat_60_100,ksat_100_200,theta_s_0_5,theta_s_5_15,theta_s_15_30,theta_s_30_60,theta_s_60_100,theta_s_100_200,polaris_gapfill,EVC,EVH,EVC_cover_pct,EVH_height_m,dem_elev,slope_deg,aspect_sin,aspect_cos,curvature,relief_m,lai_mean,lai_min,lai_max,lai_amp,lai_peak_doy
41.53125_-121.90625,46.416736489922336,45.1107064196344,44.978175078623394,44.08726880677353,43.66426115769606,47.21880029080182,11.998390175181733,12.267409070709048,13.54841921879695,17.286094479306914,20.40567184199948,17.24947471167209,0.8726170376913082,0.8291250099620876,0.669035039886215,0.5015962275637854,0.2510142424446944,0.10942981043863578,0.5730869926997191,0.578587357109115,0.5697832181608888,0.5413037661970015,0.5148737765628205,0.4887470869270302,0.0,225.55621301775147,203.33136094674558,30.28994082840237,6.313017751479291,1690.746452737842,6.433012870517179,-0.9271420138786048,0.3747101361067311,-8.633477149518085e-06,124.98472007486167,2.020957539204327,0.9724260355029586,3.2534615384615386,2.28103550295858,233
41.53125_-121.84375,51.394787568312424,49.09217577149882,50.896765511416824,49.758540858883826,49.90011479304387,49.82584498478816,9.907460317103821,9.416322993103568,9.669292681315946,12.354467637440157,15.294575674294014,14.33908016723994,0.8643158649551798,0.8587909369073676,0.8216256047847003,0.678531069573037,0.21144024013767582,0.48431859244785364,0.6296273660377638,0.6437981795277116,0.6328659824718385,0.5914456327638683,0.5564083822027466,0.5360183604722898,0.023668639053254437,207.62130177514794,184.37869822485206,34.84023668639053,10.505917159763314,1782.2350879195174,4.82908612913584,0.23539838668186605,-0.9718989657096949,-1.3206984449702535e-05,77.04750946289563,1.7866515336450206,0.7560650887573965,3.0830769230769235,2.327011834319527,233
41.53125_-121.78125,53.10156055879311,50.92677751800718,51.42862717216537,50.15026659090844,49.6569463289701,50.52007016063442,9.5935785671663,9.15903444544098,9.656910221957595,12.65671829641218,15.90947044812716,15.137409181989861,0.8596669426683844,0.8491702285214994,0.8074647576366303,0.6710267108837529,0.34931181533229066,0.40968668121381624,0.6295468339905936,0.6403269732492209,0.6310599063627819,0.5930824644819519,0.549697881972296,0.5161341162475609,0.0,147.81065088757396,123.26627218934911,43.485207100591715,18.876923076923077,1839.7118042714496,5.44585279369788,0.9412788333072684,-0.3376302089086633,-9.105679321299091e-06,101.49713181514514,1.7180232337339358,0.6810946745562131,3.1369526627218933,2.4558579881656804,233
41.53125_-121.71875,52.98748533260188,50.56678862261349,50.203191362189116,48.12558731665978,47.637899489092405,46.91874078603891,9.915712650005634,9.131202937583247,9.605028880418406,12.934544422217375,16.859225995441864,16.301331559581868,0.893226892108748,0.8836459582285768,0.8450377327362462,0.7084391351194071,0.4330938988359722,0.35075514681482983,0.6457389945814596,0.6569684777386795,0.646254172515587,0.5914678517177966,0.5383304207635349,0.5132575980304966,0.0,139.95857988165682,119.35502958579882,37.11834319526627,16.163313609467455,1801.8499979775333,5.147935538604026,0.9345867201104012,0.3557353828244846,-2.678264128381834e-06,122.55319574990845,1.5125132567075006,0.5800295857988166,2.7776923076923077,2.197662721893491,233
41.53125_-121.53125,49.70296426355486,50.979618433664534,51.79603257263906,51.33088476418038,54.56101542817065,54.178050464426974,11.24268068364386,12.303197406452789,15.39110769181562,19.296616983131543,16.709855742708466,13.335495672282383,0.830134511875683,0.7701688169463147,0.5709140096851707,0.3153440345894303,0.21399206511632224,0.5574857768927806,0.5802585773566771,0.5972085977799794,0.5716580417029251,0.5494428292886745,0.5266017019748688,0.5122755878775783,0.005917159763313609,123.21301775147928,103.75147928994083,37.6094674556213,18.14792899408284,1844.426949946838,4.990248820795559,0.964925226809155,0.2625248686644765,1.3745294003484052e-05,129.02075081913407,1.5268739945438592,0.5568934911242605,2.6936686390532545,2.136775147928994,233
41.53125_-121.46875,59.04480623775685,59.265935446383686,60.255309573292024,56.56037328370224,55.47044153608514,60.961991304476584,10.7896213644355,11.077796665169078,12.141085524530805,16.358442766426585,16.696599319841734,13.657366329396265,1.0705145738533968,1.034486515943468,0.9356532158142716,0.7916425065021719,0.6306967195343866,0.5896497265871107,0.5979778653771214,0.606090249394524,0.5937452221057824,0.580741942810589,0.5672461023697486,0.5506951420970218,0.0,146.10059171597632,119.89349112426035,48.21301775147929,22.005917159763314,1763.7513615534856,8.071672716494582,0.3826544837298495,0.923891522897273,-4.126839884899943e-05,158.62954338850662,2.351003823231864,1.1171597633136094,3.967810650887574,2.8506508875739645,233
41.46875_-122.15625,58.95373196573652,58.904730644451796,59.191298445300944,58.74432549109826,60.3682025931996,62.71120378392688,7.968398451099734,7.987962635311149,8.429484739106082,10.4573188223077,12.535164148497158,11.90540378756777,1.05260584305024,1.0249460616408015,0.9609472296647066,0.8838404540259105,0.6811626646777934,0.6588861834224776,0.6250188047363914,0.6217404099611136,0.6059606059415806,0.5700142485855599,0.5481783253906747,0.5214544002121017,0.011834319526627219,134.8639053254438,116.55029585798816,36.55621301775148,17.433136094674555,2088.5069442839313,9.068219964869133,-0.9194661848068412,0.39316909211782114,1.197889015145404e-05,273.06249258245566,1.2724453370369582,0.5221005917159763,2.0589053254437872,1.536804733727811,233
41.46875_-122.09375,61.26383270173383,60.838921010846924,61.57898509008645,60.65839832915357,63.549398512529905,65.50539998613165,7.310245491343842,6.6941891809892375,6.861293084522676,8.905749579858497,11.36894091170215,10.374406221702959,1.1318634563296504,1.12044988140552,1.0619898725896193,1.0081597025225149,0.8668444253416103,0.8355403454566496,0.6299410374206904,0.6333622576216974,0.6185416517525735,0.5657362631086768,0.5378098475509847,0.5248257519578087,0.0,154.11242603550295,132.1301775147929,40.35502958579882,16.897633136094672,1895.3841299926034,6.755343893442403,0.9977645062450649,-0.06682806354774853,4.3263250039980775e-05,106.77541805642757,1.3117781042521408,0.5104733727810652,2.1542011834319528,1.6437278106508875,233
41.46875_-122.03125,56.95209627320781,55.85443221323589,56.12614777243349,55.88316873403696,58.23291567514634,60.06304813136716,8.649373809261435,8.940916416913094,9.621850472935558,11.72959454807304,13.785089451885788,12.325467815413278,1.0176194026272678,0.9823825701453982,0.9354616431794929,0.8364527946194777,0.6717581345132116,0.583306719146713,0.5995602064584133,0.6041288481661554,0.589376226861096,0.5496462941522429,0.5202574176195811,0.5088296342178209,0.011834319526627219,153.4023668639053,129.81065088757396,39.83431952662722,15.427810650887576,1947.575341941337,10.378281776851798,0.997312639472548,-0.0732632182496741,-1.6038348601300947e-05,163.3934154125065,1.2576906941266208,0.3874852071005917,2.3647928994082843,1.9773076923076927,233
41.46875_-121.96875,47.275568719446305,46.01917214929705,46.41156976462821,46.167578206259826,44.9116428871832,46.08950356477816,11.798058735548391,12.363397539014647,13.341761834522677,16.191537755480883,19.312785854001017,18.080454561131944,0.770563717777207,0.748476841040617,0.6802589009852099,0.5961477057236804,0.3429246927947688,0.10978286320993887,0.5645908843836135,0.5741532607191413,0.5597088929464126,0.5378200970810546,0.5118512341962058,0.4899541561067457,0.011834319526627219,166.07692307692307,142.0887573964497,39.26627218934911,14.575147928994081,1925.010646120331,11.682459453759387,0.8918496104784119,0.45233203765542057,-3.112374716966173e-05,159.1518358373323,1.372331849046336,0.39751479289940833,2.682130177514793,2.2846153846153845,233
