basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9547,0.9099,0.0405,0.9548,5812,0.9222,0.8901,5.3748,0.9455,5567,1.1406,8047.8053
BND,8900.0,0.9225,0.9074,1.7103,0.9528,1458,0.9017,0.9307,4.9203,0.9666,5571,1.2101,11400.9932
ORO,3607.0,0.9116,0.9263,-3.8041,0.9633,5480,0.9229,0.896,-3.7644,0.9469,5569,1.557,5945.3266
YRS,1108.0,0.8543,0.8601,-3.6699,0.929,5063,0.9138,0.8532,-0.3257,0.9243,5545,2.7166,3186.4137
FOL,1885.0,0.8892,0.889,-2.4084,0.9436,5063,0.8473,0.8841,-2.7451,0.9441,5272,2.0599,4110.5197
MKM,544.0,0.8975,0.8636,-3.2868,0.9295,5195,0.824,0.8254,-14.173,0.9135,5056,1.8209,1048.6139
NHG,363.0,0.9227,0.8857,-2.4443,0.9413,4637,0.8671,0.8327,-1.1528,0.9126,4678,0.658,252.8732
NML,900.0,0.9098,0.8889,-2.6925,0.943,5721,0.8722,0.7957,-7.6013,0.898,5473,1.5142,1442.6615
TLG,1538.0,0.9024,0.9123,-2.0024,0.9561,5498,0.9329,0.8883,3.2251,0.9459,5157,1.6987,2765.7774
MRC,1061.0,0.8912,0.907,-0.8104,0.9538,5463,0.8091,0.859,-12.2817,0.9315,5570,1.1648,1308.346
MIL,1675.0,0.9656,0.9335,0.6061,0.9666,5721,0.8975,0.8943,-3.5543,0.9463,5499,1.3344,2366.0635
PNF,1545.0,0.9598,0.9462,2.0942,0.974,5809,0.9147,0.8942,6.7169,0.9487,5549,1.3144,2149.7892
TRM,561.0,0.9476,0.9218,-1.1557,0.9601,5543,0.8813,0.9097,-7.6443,0.9557,5503,0.9003,534.6446
SCC,393.0,0.9155,0.919,-1.4045,0.9592,5228,0.5585,0.638,30.364,0.9057,5292,0.4767,198.3217
ISB,2074.0,0.975,0.9511,-0.1048,0.9755,5821,0.8177,0.8268,-4.7319,0.9122,5569,0.3887,853.502
