basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9553,0.9233,-0.9406,0.9611,5812,0.9234,0.9039,4.4619,0.9516,5567,1.1406,8047.8053
BND,8900.0,0.9286,0.9437,-0.3948,0.9722,1458,0.8866,0.9161,7.48,0.9597,5571,1.2101,11400.9932
ORO,3607.0,0.9352,0.9309,-0.6102,0.965,5480,0.8982,0.8843,-3.5341,0.9408,5569,1.557,5945.3266
YRS,1108.0,0.8499,0.8598,2.9228,0.9292,5063,0.8607,0.8173,6.4175,0.9049,5545,2.7166,3186.4137
FOL,1885.0,0.8999,0.8932,2.9589,0.9455,5063,0.8485,0.8772,1.1512,0.9399,5272,2.0599,4110.5197
MKM,544.0,0.9038,0.8618,5.4608,0.9295,5195,0.8646,0.8356,-5.0584,0.9147,5056,1.8209,1048.6139
NHG,363.0,0.9051,0.8821,4.2833,0.9393,4637,0.785,0.8013,0.9734,0.8996,4678,0.658,252.8732
NML,900.0,0.9271,0.8683,-2.2413,0.9332,5721,0.8922,0.829,-6.6738,0.9154,5473,1.5142,1442.6615
TLG,1538.0,0.8998,0.9151,-1.7676,0.9578,5498,0.9404,0.9027,2.3436,0.9506,5157,1.6987,2765.7774
MRC,1061.0,0.8663,0.9098,8.8974,0.9563,5463,0.8688,0.8616,-1.2776,0.929,5570,1.1648,1308.346
MIL,1675.0,0.9416,0.9324,4.6242,0.9664,5721,0.9363,0.8852,2.428,0.9422,5499,1.3344,2366.0635
PNF,1545.0,0.9707,0.9621,1.2179,0.9809,5809,0.8886,0.8807,9.0873,0.9444,5549,1.3144,2149.7892
TRM,561.0,0.9517,0.9119,-0.7838,0.9554,5543,0.9098,0.8948,-4.4772,0.9464,5503,0.9003,534.6446
SCC,393.0,0.893,0.9085,2.8787,0.9544,5228,0.6288,0.7498,30.6917,0.92,5292,0.4767,198.3217
ISB,2074.0,0.9556,0.9205,1.9999,0.9604,5821,0.8866,0.8314,0.2513,0.912,5569,0.3887,853.502
