basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.945,0.909,-1.6104,0.9538,5812,0.9291,0.9022,2.8321,0.9502,5567,1.1406,8047.8053
BND,8900.0,0.886,0.8983,-1.1615,0.9492,1458,0.8694,0.9241,2.226,0.9657,5571,1.2101,11400.9932
ORO,3607.0,0.9047,0.926,-5.5377,0.9633,5480,0.8955,0.8955,-6.2069,0.9472,5569,1.557,5945.3266
YRS,1108.0,0.8534,0.8578,-6.0605,0.9277,5063,0.9259,0.8522,-0.5356,0.927,5545,2.7166,3186.4137
FOL,1885.0,0.896,0.8844,-3.6394,0.9408,5063,0.8524,0.8838,-5.4478,0.943,5272,2.0599,4110.5197
MKM,544.0,0.8979,0.8543,-2.514,0.9245,5195,0.8165,0.8282,-14.7051,0.9151,5056,1.8209,1048.6139
NHG,363.0,0.9088,0.8822,-5.0526,0.9395,4637,0.8699,0.8329,2.3634,0.9127,4678,0.658,252.8732
NML,900.0,0.8995,0.8757,-2.8054,0.936,5721,0.8569,0.8063,-8.7958,0.901,5473,1.5142,1442.6615
TLG,1538.0,0.92,0.9097,-0.5188,0.954,5498,0.9285,0.8938,4.1516,0.9491,5157,1.6987,2765.7774
MRC,1061.0,0.9127,0.9076,2.6489,0.9531,5463,0.8421,0.8611,-10.0215,0.9303,5570,1.1648,1308.346
MIL,1675.0,0.962,0.9326,1.7511,0.9663,5721,0.927,0.8673,3.1283,0.9343,5499,1.3344,2366.0635
PNF,1545.0,0.9697,0.9453,0.7941,0.9725,5809,0.8625,0.8525,11.333,0.9322,5549,1.3144,2149.7892
TRM,561.0,0.9388,0.9161,-2.1989,0.9572,5543,0.858,0.9012,-9.6723,0.9525,5503,0.9003,534.6446
SCC,393.0,0.9003,0.9123,-4.1962,0.956,5228,0.6912,0.7258,22.1127,0.9057,5292,0.4767,198.3217
ISB,2074.0,0.9505,0.9414,-2.7399,0.9705,5821,0.8672,0.8428,-3.3475,0.9185,5569,0.3887,853.502
