basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9371,0.9026,0.8768,0.9502,5812,0.9032,0.8897,5.6832,0.9446,5567,1.1406,8047.8053
BND,8900.0,0.924,0.8895,0.4526,0.9431,1458,0.8912,0.9221,3.3179,0.9624,5571,1.2101,11400.9932
ORO,3607.0,0.9276,0.9174,0.0102,0.958,5480,0.9182,0.907,-1.5862,0.9526,5569,1.557,5945.3266
YRS,1108.0,0.8664,0.8525,-1.9699,0.9239,5063,0.9202,0.8429,-0.1625,0.9208,5545,2.7166,3186.4137
FOL,1885.0,0.8981,0.8834,0.6887,0.9402,5063,0.8709,0.8894,-0.7787,0.9451,5272,2.0599,4110.5197
MKM,544.0,0.8834,0.8518,-2.7171,0.9231,5195,0.8193,0.8389,-13.9475,0.9203,5056,1.8209,1048.6139
NHG,363.0,0.8699,0.8739,-6.8464,0.9354,4637,0.7764,0.8147,-9.5626,0.9072,4678,0.658,252.8732
NML,900.0,0.9038,0.8763,-1.6575,0.9362,5721,0.8777,0.8158,-6.9776,0.9063,5473,1.5142,1442.6615
TLG,1538.0,0.9042,0.9068,1.2572,0.953,5498,0.9304,0.8991,4.8233,0.9499,5157,1.6987,2765.7774
MRC,1061.0,0.9046,0.8947,2.5372,0.9462,5463,0.8331,0.8621,-9.911,0.9314,5570,1.1648,1308.346
MIL,1675.0,0.9583,0.9292,0.5527,0.9641,5721,0.943,0.8925,-0.7693,0.9456,5499,1.3344,2366.0635
PNF,1545.0,0.9656,0.9467,2.161,0.9734,5809,0.8588,0.8865,12.089,0.9504,5549,1.3144,2149.7892
TRM,561.0,0.9437,0.9071,3.1482,0.9535,5543,0.9328,0.906,-2.5477,0.952,5503,0.9003,534.6446
SCC,393.0,0.8663,0.8785,1.2899,0.9391,5228,0.5489,0.6774,35.4222,0.9119,5292,0.4767,198.3217
ISB,2074.0,0.9543,0.9391,-0.6091,0.9691,5821,0.8332,0.844,-4.5093,0.9213,5569,0.3887,853.502
