basin,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_taf,sim_mean_taf
StonyCreek,0.9456,0.9173,-3.42,0.9585,708,0.774,0.837,18.2189,0.9381,459,40.7399,39.3466
BearRiver,0.8902,0.9638,-10.7401,0.9853,708,0.8627,0.9531,-13.4211,0.9808,459,29.7435,26.549
CacheCreek,0.9287,0.911,-0.791,0.9545,708,0.7726,0.5704,-8.487,0.7895,459,57.3704,56.9166
PutahCreek,0.977,0.9724,1.0962,0.9865,708,0.8919,0.8974,-7.5428,0.948,459,33.7585,34.1286
CosumnesRiver,0.9811,0.9631,0.0936,0.9816,708,0.957,0.9532,1.8938,0.9778,459,32.0734,32.1034
MokelumneRiver,0.9517,0.909,-1.5575,0.9544,708,0.8937,0.8182,5.0602,0.9136,459,63.5857,62.5954
CalaverasRiver,0.9191,0.9375,3.7677,0.9729,708,0.904,0.9281,7.6204,0.9674,459,13.8003,14.3203
ChowchillaRiver,0.9542,0.9114,1.166,0.9559,708,0.8084,0.897,-12.902,0.9526,459,5.954,6.0234
FresnoRiver,0.7114,0.8792,27.3292,0.954,708,0.6063,0.7546,32.7309,0.9259,459,5.6295,7.168
