set,basin,model,ref_kind,wy_start,wy_end,n_months,kge,nse,pbias,r,mean_sim_taf,mean_calsim3_taf
11obs,AMF,sac,unimp,1989,2018,360,0.9534298174649852,0.9366210046978765,-3.4324336206859374,0.9687792561897034,210.50609106106288,217.98839812758897
11obs,AMF,vic,unimp,1989,2018,360,0.7793132691430749,0.7756783307386129,5.731336061922429,0.9237528765496666,230.4820458002825,217.98839812758897
11obs,AMF,bcm,unimp,1989,2018,360,0.8354127792677433,0.7641987262981905,9.54097903319529,0.8972712600232505,238.7866254877405,217.98839812758897
11obs,BND,sac,unimp,1989,2018,360,0.7685019379384719,0.8820022196232515,13.788475329155412,0.9734215573911791,776.8355866897671,682.7014637841119
11obs,BND,vic,unimp,1989,2018,360,0.7034751782462163,0.8395738881970483,6.0841782755763045,0.9717281950843459,724.2382379307062,682.7014637841119
11obs,BND,bcm,unimp,1989,2018,360,0.49587663457998343,0.458956155622132,1.4016565737287494,0.9006914222359024,692.2705937301843,682.7014637841119
11obs,FTO,sac,unimp,1989,2018,360,0.9673898948525458,0.942058488685521,0.4696824102833597,0.9715896896591356,356.3240696609367,354.65830199983384
11obs,FTO,vic,unimp,1989,2018,360,0.6672021529128332,0.782531849838628,16.704598585187373,0.9552295203580263,413.9025476979477,354.65830199983384
11obs,FTO,bcm,unimp,1989,2018,360,0.6009878879468414,0.4010347934886529,5.2614717074390756,0.8264356821199768,373.3185482176389,354.65830199983384
11obs,MRC,sac,unimp,1989,2018,360,0.9247291504153039,0.9180261328546924,-4.320939090799362,0.9587026629608498,77.13914383137146,80.62280617968904
11obs,MRC,vic,unimp,1989,2018,360,0.8164166052385912,0.8383834737247562,9.171807033957062,0.9411957936940416,88.01737438785132,80.62280617968904
11obs,MRC,bcm,unimp,1989,2018,360,0.7978087313192525,0.7590517511396127,12.973909025135558,0.9034038583304199,91.08273570695326,80.62280617968904
11obs,SHA,sac,unimp,1989,2018,360,0.8688360120698082,0.8949866658097495,9.329340679555028,0.9601812319714773,507.6453560844075,464.32673327128094
11obs,SHA,vic,unimp,1989,2018,360,0.6708328503845382,0.8098694638904449,10.95926294548904,0.9700716035390935,515.2135208966802,464.32673327128094
11obs,SHA,bcm,unimp,1989,2018,360,0.4025360661628641,0.12267768640243781,-3.4191597445146664,0.8246344744823093,448.4506605242493,464.32673327128094
11obs,SJF,sac,unimp,1989,2018,360,0.9416934371408526,0.9091103394773703,2.7411390299671674,0.9539854348836777,146.4139426129836,142.5076108707322
11obs,SJF,vic,unimp,1989,2018,360,0.8264000055270979,0.8472734108298798,-3.9316960946895656,0.9456230104375116,136.90464469949222,142.5076108707322
11obs,SJF,bcm,unimp,1989,2018,360,0.9245478557194016,0.8781805669895464,-4.347867518571315,0.9408363101021909,136.31156874619163,142.5076108707322
11obs,SNS,sac,unimp,1989,2018,360,0.8698401654398806,0.9019049030383142,-10.113702190262453,0.9532549556341066,85.08667678829518,94.6603418558836
11obs,SNS,vic,unimp,1989,2018,360,0.7866825297673886,0.8682029568184298,10.250720291075028,0.9612163601225772,104.36370872610564,94.6603418558836
11obs,SNS,bcm,unimp,1989,2018,360,0.8639120104686205,0.7819402700044493,7.222975215889193,0.8999904915206148,101.49763488741006,94.6603418558836
11obs,TLG,sac,unimp,1989,2018,360,0.9514491250153341,0.92915415221019,-2.3943640392455867,0.9642211814612445,154.0429036809126,157.8217304406998
11obs,TLG,vic,unimp,1989,2018,360,0.8640421647068189,0.8567528885095848,-3.0424220831690256,0.9426765742529455,153.02012726173245,157.8217304406998
11obs,TLG,bcm,unimp,1989,2018,360,0.9022752171277421,0.8358607789939803,3.600062726321099,0.9232909895213002,163.5034117323304,157.8217304406998
11obs,TNL,sac,unimp,1989,2018,360,0.8673734471697326,0.8552650289615175,-9.087310005435759,0.9283662796768248,95.51701362259139,105.06455548538102
11obs,TNL,vic,unimp,1989,2018,360,0.8441350223546924,0.7285412190569014,-5.024553566282045,0.8790661394552407,99.78553061584194,105.06455548538102
11obs,TNL,bcm,unimp,1989,2018,360,0.6564067275276788,0.43266606550929243,5.522030466074387,0.8103821999588373,110.86625224832939,105.06455548538102
11obs,YRS,sac,unimp,1989,2018,360,0.8332075860464618,0.9169768431240302,10.857870210388985,0.9733690052996145,207.2209692873604,186.92490564187366
11obs,YRS,vic,unimp,1989,2018,360,0.7372275336459672,0.8203749567393542,11.60831230462158,0.9523288989592227,208.62373246390158,186.92490564187366
11obs,YRS,bcm,unimp,1989,2018,360,0.8242774229384933,0.7389827082944993,9.102738291379778,0.888578607818308,203.94019060386202,186.92490564187366
9unimp,BearRiver,sac,inflow_sum,1989,2018,360,0.8407856121095787,0.9607157910117378,-15.680972291315623,0.9859334573255378,24.5423412741833,29.106527839688997
9unimp,BearRiver,vic,inflow_sum,1989,2018,360,0.8217837798624242,0.924005225165571,1.0477756667102314,0.9810292227425137,29.4114989558175,29.106527839688997
9unimp,BearRiver,bcm,inflow_sum,1989,2018,360,0.6530422591988203,0.7813249438271074,1.7098220767167749,0.962875022489871,29.604197678457716,29.106527839688997
9unimp,CacheCreek,sac,inflow_sum,1989,2018,360,0.7701875309322206,0.7913987781666348,17.879128928234458,0.9171894789307146,61.51669089418134,52.18624488787415
9unimp,CacheCreek,vic,inflow_sum,1989,2018,360,0.5573158652626038,0.6530608363643763,26.27094358567617,0.9237795479149142,65.89606384185039,52.18624488787415
9unimp,CacheCreek,bcm,inflow_sum,1989,2018,360,0.17101677296145001,0.18073183351746536,41.00330529754171,0.9253430781911574,73.58433020257195,52.18624488787415
9unimp,CalaverasRiver,sac,inflow_sum,1989,2018,360,0.8674583647676062,0.9225010983331187,9.901760460877746,0.9682153084928118,14.552611014206951,13.241472159481297
9unimp,CalaverasRiver,vic,inflow_sum,1989,2018,360,0.5808334944901203,0.8037074604978742,35.48132695143743,0.9490678242510019,17.939722189570418,13.241472159481297
9unimp,CalaverasRiver,bcm,inflow_sum,1989,2018,360,0.3902674409536584,0.5226002688096761,34.18998906485752,0.9320621956311749,17.768730042834104,13.241472159481297
9unimp,ChowchillaRiver,sac,inflow_sum,1989,2018,360,0.9024535508278924,0.8657992702511605,0.005216483113447752,0.9304839855897727,5.663406527568911,5.663111112334041
9unimp,ChowchillaRiver,vic,inflow_sum,1989,2018,360,0.5304206671238809,0.7832272478025295,44.684564253798165,0.9228270129375363,8.19364763608893,5.663111112334041
9unimp,ChowchillaRiver,bcm,inflow_sum,1989,2018,360,0.45256845382774413,0.5234954111291374,32.01446966492935,0.9045523420359953,7.476126101483466,5.663111112334041
9unimp,CosumnesRiver,sac,inflow_sum,1989,2018,360,0.9213977614100872,0.9581248726638619,4.7193469061653905,0.9822908264932351,32.46480110110386,31.001722279832595
9unimp,CosumnesRiver,vic,inflow_sum,1989,2018,360,0.4752633308499825,0.7114361579367614,38.87286913620914,0.9555634548508656,43.052981211642916,31.001722279832595
9unimp,CosumnesRiver,bcm,inflow_sum,1989,2018,360,0.3726240906977526,0.4484135445536631,43.973275155419785,0.894341705333144,44.63419492086246,31.001722279832595
9unimp,FresnoRiver,sac,inflow_sum,1989,2018,360,0.8422476704641337,0.9038912793186789,4.393632179491806,0.9562663451388789,5.088551598167181,4.874388879791109
9unimp,FresnoRiver,vic,inflow_sum,1989,2018,360,-0.030652422989092987,0.5028526888547507,90.31144496314369,0.9560817315958994,9.276519910253253,4.874388879791109
9unimp,FresnoRiver,bcm,inflow_sum,1989,2018,360,-0.04098436190629662,0.07479891172584319,71.42969955346503,0.9194300337286945,8.356150211693407,4.874388879791109
9unimp,MokelumneRiver,sac,inflow_sum,1989,2018,360,0.8490830211266394,0.8145389713334693,-11.847373623422769,0.909585417084633,54.6937827811853,62.04441663205831
9unimp,MokelumneRiver,vic,inflow_sum,1989,2018,360,0.822590767020844,0.6754227957078547,-0.26660222686822194,0.8585943888587698,61.87900483566984,62.04441663205831
9unimp,MokelumneRiver,bcm,inflow_sum,1989,2018,360,0.8112417691088774,0.6287243575359097,1.988518162898378,0.8125815195461072,63.27818112585113,62.04441663205831
9unimp,PutahCreek,sac,inflow_sum,1989,2018,360,0.9774919347386449,0.9712015963627595,1.0198880587286052,0.9859156180648526,31.40385618680467,31.0868055689666
9unimp,PutahCreek,vic,inflow_sum,1989,2018,360,0.8648652156942296,0.9308731929930426,11.548753608026502,0.9708010713627292,34.676944148732815,31.0868055689666
9unimp,PutahCreek,bcm,inflow_sum,1989,2018,360,0.6773496540097541,0.8306030806109288,10.020789285775981,0.9716825744024951,34.20194885071162,31.0868055689666
9unimp,StonyCreek,sac,inflow_sum,1989,2018,360,0.8874485527921318,0.9122930140588545,8.420228519803642,0.9616470162677588,39.560312697253906,36.48794439685945
9unimp,StonyCreek,vic,inflow_sum,1989,2018,360,0.7665440377146322,0.8671644937950431,15.052395565148949,0.9589517924971722,41.98025412106634,36.48794439685945
9unimp,StonyCreek,bcm,inflow_sum,1989,2018,360,0.8329695218917408,0.8560313090878438,5.593799366098625,0.9472666198061022,38.52900679923339,36.48794439685945
