basin,area_mi2,source
AMF,1863.78,calsim
BLB,744.94,calsim
BND,9083.72,calsim
FTO,3601.62,calsim
MRC,1036.08,calsim
SHA,6588.45,calsim
SJF,1637.8,calsim
SNS,903.74,calsim
TLG,1531.57,calsim
TNL,692.86,calsim
YRS,1193.43,calsim
