center,start,end,source,metric,value,n_basins
1937-02-28,1922-02-28,1952-01-31,11obs,nse,0.8941903456293802,11
1937-02-28,1922-02-28,1952-01-31,11obs,pbias,0.1462013310819006,11
1937-02-28,1922-02-28,1952-01-31,11obs,seas_mismatch,0.044198408373710175,11
1937-02-28,1922-02-28,1952-01-31,9unimp,kge,0.8655911755751962,9
1937-02-28,1922-02-28,1952-01-31,9unimp,nse,0.8698672596663528,9
1937-02-28,1922-02-28,1952-01-31,9unimp,pbias,-0.5192736186829127,9
1937-02-28,1922-02-28,1952-01-31,9unimp,seas_mismatch,0.06384613111844503,9
1937-02-28,1922-02-28,1952-01-31,vic_11obs,kge,0.6718833141398508,11
1937-02-28,1922-02-28,1952-01-31,vic_11obs,nse,0.7838612671546581,11
1937-02-28,1922-02-28,1952-01-31,vic_11obs,pbias,14.33028361892228,11
1937-02-28,1922-02-28,1952-01-31,vic_11obs,seas_mismatch,0.0756514161004139,11
1937-02-28,1922-02-28,1952-01-31,vic_9unimp,kge,0.6692848340957038,9
1937-02-28,1922-02-28,1952-01-31,vic_9unimp,nse,0.7910111336166339,9
1937-02-28,1922-02-28,1952-01-31,vic_9unimp,pbias,22.74516873281716,9
1937-02-28,1922-02-28,1952-01-31,vic_9unimp,seas_mismatch,0.09636686217280074,9
1937-03-31,1922-03-31,1952-02-29,11obs,kge,0.8949485724811858,11
1937-03-31,1922-03-31,1952-02-29,11obs,nse,0.8961621893215695,11
1937-03-31,1922-03-31,1952-02-29,11obs,pbias,-0.1412429997932474,11
1937-03-31,1922-03-31,1952-02-29,11obs,seas_mismatch,0.043008624669686545,11
1937-03-31,1922-03-31,1952-02-29,9unimp,kge,0.8665799150230955,9
1937-03-31,1922-03-31,1952-02-29,9unimp,nse,0.8744811648045715,9
1937-03-31,1922-03-31,1952-02-29,9unimp,pbias,-0.44337728587052677,9
1937-03-31,1922-03-31,1952-02-29,9unimp,seas_mismatch,0.060757246283530186,9
1937-03-31,1922-03-31,1952-02-29,vic_11obs,kge,0.6770448923437989,11
1937-03-31,1922-03-31,1952-02-29,vic_11obs,nse,0.784694362726021,11
1937-03-31,1922-03-31,1952-02-29,vic_11obs,pbias,14.293432328733392,11
1937-03-31,1922-03-31,1952-02-29,vic_11obs,seas_mismatch,0.07561046629542467,11
1937-03-31,1922-03-31,1952-02-29,vic_9unimp,kge,0.6770448923437989,9
1937-03-31,1922-03-31,1952-02-29,vic_9unimp,nse,0.784694362726021,9
1937-03-31,1922-03-31,1952-02-29,vic_9unimp,pbias,22.017829753208453,9
1937-03-31,1922-03-31,1952-02-29,vic_9unimp,seas_mismatch,0.08899224410223944,9
1937-04-30,1922-04-30,1952-03-31,11obs,kge,0.8937201879933487,11
1937-04-30,1922-04-30,1952-03-31,11obs,nse,0.8971703641858575,11
1937-04-30,1922-04-30,1952-03-31,11obs,pbias,-0.2711211060892992,11
1937-04-30,1922-04-30,1952-03-31,11obs,seas_mismatch,0.043332236369373764,11
1937-04-30,1922-04-30,1952-03-31,9unimp,kge,0.8672987470115219,9
1937-04-30,1922-04-30,1952-03-31,9unimp,nse,0.8750614517384017,9
1937-04-30,1922-04-30,1952-03-31,9unimp,pbias,-0.6672849985834274,9
1937-04-30,1922-04-30,1952-03-31,9unimp,seas_mismatch,0.057395708088151295,9
1937-04-30,1922-04-30,1952-03-31,vic_11obs,kge,0.6794388929848842,11
1937-04-30,1922-04-30,1952-03-31,vic_11obs,nse,0.7884051622867738,11
1937-04-30,1922-04-30,1952-03-31,vic_11obs,pbias,14.190413025070878,11
1937-04-30,1922-04-30,1952-03-31,vic_11obs,seas_mismatch,0.07538196728068247,11
1937-04-30,1922-04-30,1952-03-31,vic_9unimp,kge,0.6794388929848842,9
1937-04-30,1922-04-30,1952-03-31,vic_9unimp,nse,0.7884051622867738,9
1937-04-30,1922-04-30,1952-03-31,vic_9unimp,pbias,21.732545819127484,9
1937-04-30,1922-04-30,1952-03-31,vic_9unimp,seas_mismatch,0.08356274034177974,9
1937-05-31,1922-05-31,1952-04-30,11obs,kge,0.8875360930135342,11
1937-05-31,1922-05-31,1952-04-30,11obs,nse,0.8996673403715858,11
1937-05-31,1922-05-31,1952-04-30,11obs,pbias,-0.37901049246013957,11
1937-05-31,1922-05-31,1952-04-30,11obs,seas_mismatch,0.043091608520936554,11
1937-05-31,1922-05-31,1952-04-30,9unimp,kge,0.868900868666206,9
1937-05-31,1922-05-31,1952-04-30,9unimp,nse,0.8751198315657854,9
1937-05-31,1922-05-31,1952-04-30,9unimp,pbias,-0.8117561958189974,9
1937-05-31,1922-05-31,1952-04-30,9unimp,seas_mismatch,0.05689444708828618,9
1937-05-31,1922-05-31,1952-04-30,vic_11obs,kge,0.682025677560126,11
1937-05-31,1922-05-31,1952-04-30,vic_11obs,nse,0.7889344655933068,11
1937-05-31,1922-05-31,1952-04-30,vic_11obs,pbias,14.102037777769162,11
1937-05-31,1922-05-31,1952-04-30,vic_11obs,seas_mismatch,0.07500069738067906,11
1937-05-31,1922-05-31,1952-04-30,vic_9unimp,kge,0.682025677560126,9
1937-05-31,1922-05-31,1952-04-30,vic_9unimp,nse,0.7889344655933068,9
1937-05-31,1922-05-31,1952-04-30,vic_9unimp,pbias,21.570162792756566,9
1937-05-31,1922-05-31,1952-04-30,vic_9unimp,seas_mismatch,0.08346985625433359,9
1937-06-30,1922-06-30,1952-05-31,11obs,kge,0.8931422424947231,11
1937-06-30,1922-06-30,1952-05-31,11obs,nse,0.8997226666993471,11
1937-06-30,1922-06-30,1952-05-31,11obs,pbias,-0.3053635244161272,11
1937-06-30,1922-06-30,1952-05-31,11obs,seas_mismatch,0.04224607799299291,11
1937-06-30,1922-06-30,1952-05-31,9unimp,kge,0.8685541274019567,9
1937-06-30,1922-06-30,1952-05-31,9unimp,nse,0.8750894540364673,9
1937-06-30,1922-06-30,1952-05-31,9unimp,pbias,-0.589287567762032,9
1937-06-30,1922-06-30,1952-05-31,9unimp,seas_mismatch,0.05728538934628148,9
1937-06-30,1922-06-30,1952-05-31,vic_11obs,kge,0.6835964702899551,11
1937-06-30,1922-06-30,1952-05-31,vic_11obs,nse,0.7877104507018219,11
1937-06-30,1922-06-30,1952-05-31,vic_11obs,pbias,14.7014501031361,11
1937-06-30,1922-06-30,1952-05-31,vic_11obs,seas_mismatch,0.07544667802843108,11
1937-06-30,1922-06-30,1952-05-31,vic_9unimp,kge,0.6835964702899551,9
1937-06-30,1922-06-30,1952-05-31,vic_9unimp,nse,0.7877104507018219,9
1937-06-30,1922-06-30,1952-05-31,vic_9unimp,pbias,22.09639617731648,9
1937-06-30,1922-06-30,1952-05-31,vic_9unimp,seas_mismatch,0.08380046049574896,9
1937-07-31,1922-07-31,1952-06-30,11obs,kge,0.8933875648040976,11
1937-07-31,1922-07-31,1952-06-30,11obs,nse,0.9000658098992762,11
1937-07-31,1922-07-31,1952-06-30,11obs,pbias,0.07509212618157113,11
1937-07-31,1922-07-31,1952-06-30,11obs,seas_mismatch,0.04435771589406073,11
1937-07-31,1922-07-31,1952-06-30,9unimp,kge,0.8639112947919612,9
1937-07-31,1922-07-31,1952-06-30,9unimp,nse,0.8750782389780052,9
1937-07-31,1922-07-31,1952-06-30,9unimp,pbias,-0.5276302011271179,9
1937-07-31,1922-07-31,1952-06-30,9unimp,seas_mismatch,0.05754067268772187,9
1937-07-31,1922-07-31,1952-06-30,vic_11obs,kge,0.6834205361693824,11
1937-07-31,1922-07-31,1952-06-30,vic_11obs,nse,0.7878021788782893,11
1937-07-31,1922-07-31,1952-06-30,vic_11obs,pbias,14.480424536495265,11
1937-07-31,1922-07-31,1952-06-30,vic_11obs,seas_mismatch,0.07538896675461337,11
1937-07-31,1922-07-31,1952-06-30,vic_9unimp,kge,0.6834205361693824,9
1937-07-31,1922-07-31,1952-06-30,vic_9unimp,nse,0.7878021788782893,9
1937-07-31,1922-07-31,1952-06-30,vic_9unimp,pbias,22.365479793427607,9
1937-07-31,1922-07-31,1952-06-30,vic_9unimp,seas_mismatch,0.08401365935574777,9
1937-08-31,1922-08-31,1952-07-31,11obs,kge,0.8934465453457094,11
1937-08-31,1922-08-31,1952-07-31,11obs,nse,0.8935820410536226,11
1937-08-31,1922-08-31,1952-07-31,11obs,pbias,0.04829711195769208,11
1937-08-31,1922-08-31,1952-07-31,11obs,seas_mismatch,0.044212220661318864,11
1937-08-31,1922-08-31,1952-07-31,9unimp,kge,0.8646443939146227,9
1937-08-31,1922-08-31,1952-07-31,9unimp,nse,0.8750732089838579,9
1937-08-31,1922-08-31,1952-07-31,9unimp,pbias,-0.5775983936008182,9
1937-08-31,1922-08-31,1952-07-31,9unimp,seas_mismatch,0.057898988743007467,9
1937-08-31,1922-08-31,1952-07-31,vic_11obs,kge,0.6832357024587923,11
1937-08-31,1922-08-31,1952-07-31,vic_11obs,nse,0.7878421458585543,11
1937-08-31,1922-08-31,1952-07-31,vic_11obs,pbias,14.816753661318073,11
1937-08-31,1922-08-31,1952-07-31,vic_11obs,seas_mismatch,0.07272214083066636,11
1937-08-31,1922-08-31,1952-07-31,vic_9unimp,kge,0.6832357024587923,9
1937-08-31,1922-08-31,1952-07-31,vic_9unimp,nse,0.7878421458585543,9
1937-08-31,1922-08-31,1952-07-31,vic_9unimp,pbias,22.54011345657624,9
1937-08-31,1922-08-31,1952-07-31,vic_9unimp,seas_mismatch,0.08361046901813737,9
1937-09-30,1922-09-30,1952-08-31,11obs,kge,0.8934617870065582,11
1937-09-30,1922-09-30,1952-08-31,11obs,nse,0.8920359019433273,11
1937-09-30,1922-09-30,1952-08-31,11obs,pbias,0.03028342219674269,11
1937-09-30,1922-09-30,1952-08-31,11obs,seas_mismatch,0.04438153584793039,11
1937-09-30,1922-09-30,1952-08-31,9unimp,kge,0.8647607936694341,9
1937-09-30,1922-09-30,1952-08-31,9unimp,nse,0.875068742129169,9
1937-09-30,1922-09-30,1952-08-31,9unimp,pbias,-0.6021736464372078,9
1937-09-30,1922-09-30,1952-08-31,9unimp,seas_mismatch,0.05799211399864649,9
1937-09-30,1922-09-30,1952-08-31,vic_11obs,kge,0.6831856539581391,11
1937-09-30,1922-09-30,1952-08-31,vic_11obs,nse,0.7878560922374269,11
1937-09-30,1922-09-30,1952-08-31,vic_11obs,pbias,14.85252815326023,11
1937-09-30,1922-09-30,1952-08-31,vic_11obs,seas_mismatch,0.07240160274930588,11
1937-09-30,1922-09-30,1952-08-31,vic_9unimp,kge,0.6831856539581391,9
1937-09-30,1922-09-30,1952-08-31,vic_9unimp,nse,0.7878560922374269,9
1937-09-30,1922-09-30,1952-08-31,vic_9unimp,pbias,22.565412933088663,9
1937-09-30,1922-09-30,1952-08-31,vic_9unimp,seas_mismatch,0.08350372483229886,9
1937-10-31,1922-10-31,1952-09-30,11obs,kge,0.8934628161673308,11
1937-10-31,1922-10-31,1952-09-30,11obs,nse,0.8917496968461303,11
1937-10-31,1922-10-31,1952-09-30,11obs,pbias,0.03141186910522391,11
1937-10-31,1922-10-31,1952-09-30,11obs,seas_mismatch,0.04443278531034226,11
1937-10-31,1922-10-31,1952-09-30,9unimp,kge,0.8648347770472364,9
1937-10-31,1922-10-31,1952-09-30,9unimp,nse,0.8750656640287227,9
1937-10-31,1922-10-31,1952-09-30,9unimp,pbias,-0.6190557711886494,9
1937-10-31,1922-10-31,1952-09-30,9unimp,seas_mismatch,0.05812938703903106,9
1937-10-31,1922-10-31,1952-09-30,vic_11obs,kge,0.6831796218070032,11
1937-10-31,1922-10-31,1952-09-30,vic_11obs,nse,0.7878569994732384,11
1937-10-31,1922-10-31,1952-09-30,vic_11obs,pbias,14.848253507484864,11
1937-10-31,1922-10-31,1952-09-30,vic_11obs,seas_mismatch,0.0724203870980823,11
1937-10-31,1922-10-31,1952-09-30,vic_9unimp,kge,0.6831796218070032,9
1937-10-31,1922-10-31,1952-09-30,vic_9unimp,nse,0.7878569994732384,9
1937-10-31,1922-10-31,1952-09-30,vic_9unimp,pbias,22.5220141567422,9
1937-10-31,1922-10-31,1952-09-30,vic_9unimp,seas_mismatch,0.08335313376260614,9
1937-11-30,1922-11-30,1952-10-31,11obs,kge,0.8934151571191089,11
1937-11-30,1922-11-30,1952-10-31,11obs,nse,0.8917620123950186,11
1937-11-30,1922-11-30,1952-10-31,11obs,pbias,-0.0017450822003472828,11
1937-11-30,1922-11-30,1952-10-31,11obs,seas_mismatch,0.04431220492736804,11
1937-11-30,1922-11-30,1952-10-31,9unimp,kge,0.865035475252753,9
1937-11-30,1922-11-30,1952-10-31,9unimp,nse,0.8751157622171705,9
1937-11-30,1922-11-30,1952-10-31,9unimp,pbias,-0.6628544945658007,9
1937-11-30,1922-11-30,1952-10-31,9unimp,seas_mismatch,0.05801732560552676,9
1937-11-30,1922-11-30,1952-10-31,vic_11obs,kge,0.6832549271034734,11
1937-11-30,1922-11-30,1952-10-31,vic_11obs,nse,0.7879351680000013,11
1937-11-30,1922-11-30,1952-10-31,vic_11obs,pbias,14.841213148188872,11
1937-11-30,1922-11-30,1952-10-31,vic_11obs,seas_mismatch,0.07246810725909117,11
1937-11-30,1922-11-30,1952-10-31,vic_9unimp,kge,0.6832549271034734,9
1937-11-30,1922-11-30,1952-10-31,vic_9unimp,nse,0.7879351680000013,9
1937-11-30,1922-11-30,1952-10-31,vic_9unimp,pbias,22.49435076635416,9
1937-11-30,1922-11-30,1952-10-31,vic_9unimp,seas_mismatch,0.08314559420604961,9
1937-12-31,1922-12-31,1952-11-30,11obs,kge,0.8931877251186899,11
1937-12-31,1922-12-31,1952-11-30,11obs,nse,0.8918521980900158,11
1937-12-31,1922-12-31,1952-11-30,11obs,pbias,-0.039782620467487886,11
1937-12-31,1922-12-31,1952-11-30,11obs,seas_mismatch,0.04423583070741634,11
1937-12-31,1922-12-31,1952-11-30,9unimp,kge,0.8653307826284826,9
1937-12-31,1922-12-31,1952-11-30,9unimp,nse,0.8751906563551275,9
1937-12-31,1922-12-31,1952-11-30,9unimp,pbias,-0.737220353896923,9
1937-12-31,1922-12-31,1952-11-30,9unimp,seas_mismatch,0.0579914118811578,9
1937-12-31,1922-12-31,1952-11-30,vic_11obs,kge,0.6842724315476802,11
1937-12-31,1922-12-31,1952-11-30,vic_11obs,nse,0.7887264425996338,11
1937-12-31,1922-12-31,1952-11-30,vic_11obs,pbias,14.821039794947136,11
1937-12-31,1922-12-31,1952-11-30,vic_11obs,seas_mismatch,0.07245952883480933,11
1937-12-31,1922-12-31,1952-11-30,vic_9unimp,kge,0.6842724315476802,9
