set,basin,source,ref_kind,n_months,kge,nse,pbias,r,mean_sim_taf,mean_calsim3_taf,seas_mismatch,ct_sim_mo,ct_ref_mo,dct_mo
11obs,AMF,11obs,unimp,1167,0.9680451095741976,0.9493775491682503,-0.41965679054418886,0.9743909003616024,217.3689139283086,218.28496159236772,0.027417106950734384,6.205990453956636,6.293956250257267,-0.08796579630063128
11obs,AMF,vic,unimp,1167,0.8327886236111294,0.849378527938828,6.907660235574677,0.9442029738989273,233.36334508452316,218.28496159236772,0.1026862747385257,5.924715083639292,6.293956250257267,-0.3692411666179751
11obs,BLB,11obs,inflow_sum,1167,0.8271022353491864,0.8882112042539235,-10.233672144654435,0.9472748869270504,32.306662946586734,35.989734367487415,0.04741253553684767,5.002735884597848,5.248036863173935,-0.24530097857608713
11obs,BLB,vic,inflow_sum,1167,0.817677589838824,0.8437739888114777,10.932308599338667,0.9405690129205406,39.924243192623386,35.989734367487415,0.06928632017680539,5.1220353186202034,5.248036863173935,-0.12600154455373147
11obs,BND,11obs,unimp,1167,0.8866720724721247,0.9134195856171672,4.76763335627843,0.9660552796101346,713.1567029293897,680.703266918506,0.017507553368693078,5.766184541296846,5.86366678260605,-0.09748224130920313
11obs,BND,vic,unimp,1167,0.8199785961106248,0.8939316733546422,-2.122244933482324,0.9682869117174759,666.2570763242793,680.703266918506,0.053563626998097365,5.7650552811607065,5.86366678260605,-0.09861150144534303
11obs,FTO,11obs,unimp,1167,0.9591512065480381,0.9317828170534429,-2.1102031259314264,0.965859695800143,353.2039952880764,360.8179877443812,0.01906709568081094,6.031444708341606,6.1793189702789215,-0.14787426193731523
11obs,FTO,vic,unimp,1167,0.7438563167394061,0.8262780809111451,10.899776017085994,0.9545991489169299,400.14634023787556,360.8179877443812,0.08421393553287207,5.82923010239131,6.1793189702789215,-0.35008886788761195
11obs,MRC,11obs,unimp,1167,0.9500918206853235,0.9279708347985856,3.300576927870628,0.9648567512954764,82.17191791569252,79.54642690240622,0.03192290715556287,6.833845944230011,7.025277341749467,-0.19143139751945615
11obs,MRC,vic,unimp,1167,0.7315883283927354,0.8168805899591332,16.983998446262127,0.9480152517873702,93.05659081156793,79.54642690240622,0.06027635073006561,6.770235356773693,7.025277341749467,-0.2550419849757741
