date,set,arc,node,basin,anchor_kind,flow_taf_raw,flow_taf_qmap
1926-02-28,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,18.45912646818608,23.69150567846184
1926-03-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,3.5932368177504923,5.053163217537387
1926-04-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,13.003394661164677,12.219563550817982
1926-05-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,2.199991118631701,2.0917996797850305
1926-06-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,0.027161165457705017
1926-07-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,9.458371767477813e-11
1926-08-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,2.0274987124948114e-33
1926-09-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,0.1800000071525573
1926-10-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,1.3349232549565873,1.32476983854497
1926-11-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,9.404870688693912,13.61898676115348
1926-12-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,2.8528087804971403,5.199296366555514
1927-01-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,10.194180252397423,14.022635409912699
1927-02-28,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,40.5998702936652,46.57031112819345
1927-03-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,14.731001182233987,12.668373282720657
1927-04-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,22.950919856794282,20.245097561608663
1927-05-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,3.7015713772336754,3.188131039693294
1927-06-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.5351108833285823,0.6716888398783881
1927-07-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,0.0031048201470274973
1927-08-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,2.0346433628433064e-20
1927-09-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,0.00014507819336562943
1927-10-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.39563805958976034,0.46281819054737633
1927-11-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,5.230874841241402,5.908337524633716
1927-12-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,3.687737172287536,4.772844497107172
1928-01-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,2.493381470327812,4.524776566065663
1928-02-29,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,4.425185539351909,6.277506542718671
1928-03-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,30.396024512399034,30.30628406537663
1928-04-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,12.394067448315557,11.556111935675478
1928-05-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,1.6483469111530995,1.5052861991798294
1928-06-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0035227618062817555,0.13175937184702144
1928-07-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,0.0009102164281610714
1928-08-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,7.36297827251318e-27
1928-09-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,0.0006173867708141119
1928-10-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,9.068174050223987e-05,0.02312564674751575
1928-11-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,3.1435053831061435,3.3625055151926206
1928-12-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,3.0907346919971084,3.5507871896872163
1929-01-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,1.564853439446752,1.9449783813345656
1929-02-28,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,4.029349884205478,5.276228497550126
1929-03-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,3.6849434805928896,5.6866137143366124
1929-04-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,3.7042027034262124,3.2102956151768063
1929-05-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.1751806696355887,0.6958101413452007
1929-06-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,1.521049471797644,1.295411527068806
1929-07-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,0.003513572401814798
1929-08-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,0.0
1929-09-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,1.0793047033441378e-34
1929-10-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,0.0027417450845627495
1929-11-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,1.7628787469521882e-19
1929-12-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,7.868484165789654,12.231950037357977
1930-01-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,8.735732056560487,12.298164519514955
1930-02-28,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,4.780680125900499,6.497400202194549
1930-03-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,15.011770136557436,16.477247350682408
1930-04-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,4.873755359974447,4.110640393773001
1930-05-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,1.502818448410437,1.5238594545542536
1930-06-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.006388228624542363,0.20695560253008805
1930-07-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,1.4982773436460568e-05
1930-08-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,2.516314381553804e-05
1930-09-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.001446899177690445,0.0022744785796314166
1930-10-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0021444268576444403,0.05268859290287982
1930-11-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,2.7911629568320375,3.263706911310667
1930-12-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.26846366029593177,0.22865091947088
1931-01-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,3.88565479135453,5.93932089745182
1931-02-28,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,2.496977122035751,2.7071421793624304
1931-03-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,3.196238752996212,4.154916854020667
1931-04-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.7360517732890554,1.8833218515250496
1931-05-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.14874856447111562,0.6680785357743527
1931-06-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.14918279314233723,0.2905938753803613
1931-07-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,0.0009517999304275462
1931-08-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,9.045981190881255e-25
1931-09-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,0.0028042869228574246
1931-10-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,1.8014743583288853,1.9593699266209734
1931-11-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,2.681424045859605,2.869969946393556
1931-12-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,12.719467238271003,17.10803227319126
1932-01-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,10.270603030667445,14.39075370465885
1932-02-29,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,14.373763161081019,17.184062961813318
1932-03-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,6.540077405749521,7.072248231182084
1932-04-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,6.584531528257365,5.562530635197844
1932-05-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,3.7142624333738907,3.1157099990865293
1932-06-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.2897860140909726,0.6728205943225155
1932-07-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,0.0046082065511365115
1932-08-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,0.0
1932-09-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,6.193049199068959e-20
1932-10-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,0.027639052071614958
1932-11-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.3016621311022382,0.162246033934371
1932-12-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,2.0454117928109334,2.970381414551749
1933-01-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,5.231162800184297,5.314964333909494
1933-02-28,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,1.0815892731220242,0.7859865178899782
1933-03-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,6.333523374084963,6.271498353143019
1933-04-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,1.2176476287467477,2.15385782355405
1933-05-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,2.4197428653142414,2.2117460369047888
1933-06-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.016431780608941758,0.24207408252823753
1933-07-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,0.0
1933-08-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,1.769981117811838e-23
1933-09-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,0.0019707937006013788
1933-10-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,2.8093911120000854,1.3372111164069513
1933-11-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,0.0
1933-12-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,6.921583483135208,7.959515606713396
1934-01-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,5.202213049366686,9.17967103482371
1934-02-28,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,7.201989158162435,8.014091504194285
1934-03-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,2.9645332346850224,3.1495969674301976
1934-04-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.7572495367089087,1.181642151912418
1934-05-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.37500824002446304,0.8400219715735822
1934-06-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.1656637431076137,0.28996121093428767
1934-07-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,0.00022200403403811302
1934-08-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.0,0.0
1934-09-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.05513909007550388,0.06634835411521517
1934-10-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.6529735976116097,0.611425673892614
1934-11-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,3.6129672063894844,4.000055202638186
1934-12-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,2.1854301548795436,2.859004841000857
1935-01-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,10.923100065443755,16.162381538569942
1935-02-28,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,6.779220406018952,6.775503324873377
1935-03-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,16.619637811357666,17.733521496696504
1935-04-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,24.26510119359086,23.733503708085227
1935-05-31,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,4.925349677794829,4.207672208364908
1935-06-30,9unimp,I_BRR023,BRR023,BearRiver,sac_sim,0.08426599567018447,0.3587474284915567
