arc,node,set,n_months,kge,nse,pbias,r,mean_set_taf,mean_calsim3_taf,cov_frac,n_hru
I_ALD002,ALD002,15cdec,1167,0.7783276130401879,0.6204122695308958,-7.411392016435194,0.8008330527318964,0.3317639439892514,0.35832047939217543,1.015,3.0
I_ALD002,ALD002,11obs,1167,0.7976664055956537,0.5919162243257126,-0.6020627518986776,0.7979935344947021,0.35616316525333036,0.35832047939217543,1.015,2.0
I_ALD002,ALD002,vic,1167,0.7168957038065338,0.42031776877519267,-0.6978926897901336,0.7548289547712177,0.35581978696047645,0.35832047939217543,,
I_ALD004,ALD004,15cdec,1167,0.7898997933634861,0.7793298461071541,-12.302106668495417,0.8866461379445725,1.7540029571481583,2.0000514157368596,0.981,11.0
I_ALD004,ALD004,11obs,1167,0.8965311090037916,0.8014813743966449,3.1492005208972116,0.9017338708112003,2.063037045339457,2.0000514157368596,1.005,5.0
I_ALD004,ALD004,vic,1167,0.8556052643622303,0.7382688118823445,1.766365819861,0.8821337134481758,2.0353796403240816,2.0000514157368596,,
I_ALMNR,ALMNR,15cdec,1167,0.12161674531275035,-0.16659375779090424,-6.508765227363542,0.8935060036363459,37.97597133492279,40.61982005829472,0.913,93.0
I_ALMNR,ALMNR,11obs,1167,0.17137316204662034,-0.10147750651965848,1.6471173647669939,0.8823768269171842,41.288876168011996,40.61982005829472,1.0,37.0
I_ALMNR,ALMNR,vic,1167,-0.20938614609158712,-0.9053873711685783,4.203786258836443,0.8979835903007113,42.3273904722694,40.61982005829472,,
I_ALOHA,ALOHA,15cdec,1167,0.19235894998542502,0.22874184178337664,-59.83007769838343,0.7066377978607903,0.40813604893942634,1.0160239939597828,0.998,3.0
I_ALOHA,ALOHA,11obs,1167,0.5666382662956884,0.5759576451504744,-40.121261604829456,0.8386733883409176,0.6083823493753417,1.0160239939597828,0.945,2.0
I_ALOHA,ALOHA,vic,1167,0.5346200475038229,0.6479698461363443,-41.88401498329446,0.8769381756710823,0.5904723520958006,1.0160239939597828,,
I_ANG017,ANG017,15cdec,1167,-0.20784466046439376,-0.18661234650146552,-87.72855744375163,0.6823963801209888,0.07931642143972316,0.6463496127383721,0.969,2.0
I_ANG017,ANG017,11obs,1167,-0.16324244976450264,-0.11869700658073046,-83.40657119660423,0.729945678163042,0.107251562810766,0.6463496127383721,0.969,2.0
I_ANG017,ANG017,vic,1167,-0.060247049032155386,0.006040993775492498,-77.40666558099639,0.6883918136918863,0.14603192952191515,0.6463496127383721,,
I_ANTLP,ANTLP,15cdec,1167,0.009587774829327378,0.19333533279591353,-72.81892916104326,0.716647907675497,0.76641768908976,2.8196743742388057,0.914,22.0
I_ANTLP,ANTLP,11obs,1167,0.4832050749292818,0.49119253010754815,-28.61355949473357,0.7264673578322768,2.0128651696082285,2.8196743742388057,0.996,10.0
I_ANTLP,ANTLP,vic,1167,0.7408339453661541,0.60474436550532,-8.404455944523797,0.7853890144818068,2.582696083676878,2.8196743742388057,,
I_BCN010,BCN010,15cdec,1167,0.8229735529640119,0.64872650057356,3.9178623325632156,0.8286425234782493,5.189597496801366,4.99394173466863,0.938,20.0
I_BCN010,BCN010,11obs,1167,0.6447606802887516,0.6847690937684725,33.06590601888357,0.8839443687034985,6.645233815291964,4.99394173466863,1.0,13.0
I_BCN010,BCN010,vic,1167,0.586111906344069,0.5902450535455099,9.041695680892829,0.9104271760869425,5.445478748798468,4.99394173466863,,
I_BEARD,BEARD,15cdec,1167,0.17246306137971912,0.2424175004850312,-56.45475639424605,0.700348191690979,1.0483545399322733,2.4075064303779588,1.001,11.0
I_BEARD,BEARD,11obs,1167,0.10675507005021712,0.14955960797353984,-63.880080365543016,0.659875971994051,0.869589387846903,2.4075064303779588,1.001,4.0
I_BEARD,BEARD,vic,1167,0.26603684207064004,0.2577694113087713,-55.03790864808341,0.6674196344130385,1.0824652405298039,2.4075064303779588,,
I_BLKBT,BLKBT,9unimp,1167,0.9002897100192315,0.8935681619184207,-0.18049093534381805,0.9457443251682972,17.04433087404658,17.0751499719423,0.981,40.0
I_BLKBT,BLKBT,11obs,1167,0.7061350191051547,0.8513577372087067,-15.691145635697644,0.9450668930266587,14.395863322331047,17.0751499719423,0.981,40.0
I_BLKBT,BLKBT,vic,1167,0.8844378394701471,0.8706470567206328,9.297162624754812,0.938894757452562,18.66265443325455,17.0751499719423,,
I_BOWMN,BOWMN,15cdec,1167,0.6250922651140494,0.716399321025182,-25.24528025727424,0.884635948267375,4.8677813718078715,6.5116709534337405,0.997,8.0
I_BOWMN,BOWMN,11obs,1167,0.7375465807653709,0.7317121322641815,-23.715555819330895,0.8887601178731968,4.967391993701005,6.5116709534337405,1.001,6.0
