model,n_basins,median_kge,mean_kge,median_nse,median_pbias,mean_abs_pbias,median_r,total_sim_taf,total_calsim3_taf,total_pbias,n_kge_best
sac,19,0.8698401654398806,0.8844739248801217,0.9122930140588545,1.0198880587286052,7.389621266154343,0.9616470162677588,2886.218107394344,2752.9694814139616,4.840178101500192,19
vic,19,0.7665440377146322,0.6886680024714127,0.8098694638904449,10.95926294548904,18.212924378894105,0.9523288989592227,2986.8581073312344,2752.9694814139616,8.495867008200332,0
bcm,19,0.6564067275276788,0.6117966807264275,0.6287243575359097,7.222975215889193,16.01665883841854,0.9034038583304199,2877.4610878185886,2752.9694814139616,4.522084507115065,0
