key,sand_0_5,sand_5_15,sand_15_30,sand_30_60,sand_60_100,sand_100_200,clay_0_5,clay_5_15,clay_15_30,clay_30_60,clay_60_100,clay_100_200,ksat_0_5,ksat_5_15,ksat_15_30,ksat_30_60,ksat_60_100,ksat_100_200,theta_s_0_5,theta_s_5_15,theta_s_15_30,theta_s_30_60,theta_s_60_100,theta_s_100_200,polaris_gapfill,EVC,EVH,EVC_cover_pct,EVH_height_m,dem_elev,slope_deg,aspect_sin,aspect_cos,curvature,relief_m,lai_mean,lai_min,lai_max,lai_amp,lai_peak_doy,src
34.78125_-119.15625,60.16048431396485,60.32013702392578,57.80196380615234,54.57345581054688,49.57149505615234,59.189453125,12.740469932556152,13.135650634765623,18.145160675048828,24.341331481933597,23.021995544433597,16.76750946044922,0.6217198371887207,0.4960693120956421,0.2794442772865295,-0.3488753736019134,-0.2531016170978546,0.5848251581192017,0.4391080737113952,0.4438692927360534,0.4574235081672668,0.4637695252895355,0.4399712681770324,0.4219701886177063,0.0,241.0,209.0,41.0,0.9,2137.16162109375,23.52958898302243,0.8393311529591678,-0.5436204702476114,-0.0003595977109284,69.1098418460733,1.014944971123461,0.71,1.2650000000000003,0.5550000000000004,177,region_raster
34.78125_-119.09375,58.58627700805664,58.48433303833008,57.386497497558594,57.92001724243164,62.14383316040039,70.9306640625,13.852883338928224,14.128042221069336,14.666015625,15.40847110748291,14.89980411529541,11.134408950805664,0.673466145992279,0.6708678603172302,0.6666298508644104,0.6511074900627136,0.6278116106987,0.4312942624092102,0.4761651754379272,0.4742052555084228,0.4712030589580536,0.4720821380615234,0.4669802188873291,0.4452609419822693,0.0,135.0,115.0,35.0,15.0,1909.9425048828125,14.773971775101847,-0.9693757418676162,0.2455823101907153,-9.542377428332098e-05,33.47364349737502,0.4868775198866731,0.2749999999999999,0.6249999999999999,0.3499999999999999,177,region_raster
34.78125_-119.03125,58.0556640625,59.0,57.8994140625,57.29412078857422,60.81041717529297,69.88099670410156,12.305475234985352,12.551961898803713,13.083169937133787,13.6251220703125,13.08944320678711,9.759295463562012,0.5826394557952881,0.5851738452911377,0.601012647151947,0.6506388783454895,0.6813653707504272,0.3479971289634704,0.4778058230876922,0.4742568135261535,0.4707455337047577,0.4694766402244568,0.4529705345630646,0.4166879057884216,0.0,236.0,209.0,36.0,0.9,1789.44873046875,15.583491129153312,0.4759944528604191,-0.8794482820758196,0.0001151713843521,30.56944424415956,0.7884613708183501,0.505,1.035,0.5299999999999999,153,region_raster
34.78125_-118.96875,64.79158020019531,65.7397232055664,66.62831115722656,56.049461364746094,64.24095153808594,59.5458984375,11.990732192993164,12.2998046875,13.24196720123291,15.40926742553711,16.646484375,16.435483932495117,0.6363772749900818,0.631895124912262,0.6390765905380249,0.6638209819793701,0.6737188100814819,0.3380205035209656,0.4471790492534637,0.4449735283851623,0.4434054791927337,0.4484510421752929,0.4424233436584472,0.4274081587791443,0.0,132.0,107.0,32.0,7.0,2324.71240234375,14.25514710221275,-0.9867881504570104,0.1620158823005706,0.0001655999124745,41.81884747638209,0.9422011550615668,0.4789473684210526,1.59,1.1110526315789475,161,region_raster
34.78125_-118.90625,59.93359375,60.29219055175781,59.779571533203125,59.95392227172852,64.0618896484375,72.08553314208984,12.0927734375,12.267351150512695,12.621331214904783,13.265396118164062,12.857072830200195,9.490224838256836,0.6178371906280518,0.6198829412460327,0.6355095505714417,0.6849541068077087,0.7132298946380615,0.370192289352417,0.4749764502048492,0.4704820513725281,0.4680943787097931,0.4670802354812622,0.4500395953655243,0.4144917726516723,0.0,234.0,213.0,34.0,1.3,1623.1925048828125,30.94617011564508,-0.2858038629737682,0.9582881361622252,0.0003810288138185,70.68433724397258,0.5029571210635284,0.275,0.735,0.4599999999999999,121,region_raster
34.78125_-118.84375,67.93011474609375,68.65377044677734,69.24584197998047,59.809871673583984,65.255859375,59.86070251464844,11.44921875,11.807991981506348,12.833658218383787,14.97265625,16.435420989990234,15.442214965820312,0.6450827121734619,0.6410494446754456,0.633721649646759,0.6057206988334656,0.4896068572998047,0.6047834753990173,0.4467100799083709,0.4469577372074127,0.4482090473175049,0.4552278816699981,0.4542245268821716,0.4313656687736511,0.0,355.0,303.0,55.0,0.3,1234.203857421875,13.500157129056277,0.7670337965875899,0.6416066979797108,-0.0003356468385115,43.094063880400064,0.5229320584068868,0.355,0.9350000000000002,0.5800000000000001,105,region_raster
34.84375_-119.34375,49.868629455566406,52.41902160644531,53.79480743408203,50.9883041381836,47.2783203125,49.17512130737305,15.782353401184082,14.819687843322754,13.7797269821167,14.700584411621094,17.6435546875,18.010263442993164,0.6462759971618652,0.6507872343063354,0.6651585698127747,0.6879926919937134,0.2116318196058273,0.2534647285938263,0.4840728342533111,0.475006490945816,0.4616597890853882,0.453359842300415,0.4480468928813934,0.4498334228992462,0.0,100.0,100.0,0.0,0.0,1328.489013671875,23.626831634329086,0.8770529514224245,-0.4803937139484803,-9.875548982657322e-05,47.85830596990591,0.2600348697831535,0.2000000000000001,0.34,0.1399999999999999,105,region_raster
34.84375_-119.28125,69.8118896484375,68.08023071289062,64.32893371582031,63.39628219604492,64.01024627685547,69.2890625,5.742926597595215,7.548828125,13.5517578125,15.88807487487793,16.72287368774414,12.376218795776367,0.7083430886268616,0.6979778409004211,0.6777600646018982,0.5758509039878845,0.3307074606418609,0.2693836092948913,0.414148211479187,0.4159353971481323,0.4203107953071594,0.422626793384552,0.4090107977390289,0.3973610997200012,0.0,218.0,205.0,18.0,0.5,1346.5595703125,2.947486926228873,0.4186624282771992,-0.9081419333722228,0.0001841610404843,8.726740942493963,0.4309123351857905,0.3199999999999999,0.5263157894736842,0.2063157894736842,97,region_raster
34.84375_-119.21875,53.802345275878906,54.41095733642578,52.44226837158203,53.03561019897461,55.39401245117188,63.02507400512695,13.367446899414062,13.635029792785645,14.36581802368164,14.806940078735352,14.348779678344728,11.807541847229004,0.4796684682369232,0.4870654046535492,0.5015777945518494,0.5538085699081421,0.5893874168395996,0.2887492775917053,0.4803829193115234,0.4770194888114929,0.4741942584514618,0.4737732112407684,0.4572714567184448,0.424397349357605,0.0,140.0,120.0,40.0,20.0,2148.64501953125,21.4302591047284,-0.1446433015676491,-0.9894838630880294,-0.000585332845605,49.13270366316582,1.1194194725945297,0.7349999999999999,1.5149999999999997,0.7799999999999998,161,region_raster
34.84375_-119.15625,50.14516067504883,50.29607772827149,49.07072830200195,49.224342346191406,51.9656867980957,58.4423828125,14.196673393249512,14.148675918579102,15.119373321533203,15.3349609375,15.08812141418457,13.108227729797363,0.4978995621204376,0.5019790530204773,0.5186262726783752,0.5762529373168945,0.6221251487731934,0.2355646640062332,0.4837043285369873,0.4830780029296875,0.4816212654113769,0.4792453050613403,0.4668980836868286,0.4536876678466797,0.0,22.0,22.0,0.0,0.0,1734.598876953125,15.483338878912749,-0.9237551937032802,-0.3829834749779882,-0.0002436240903501,36.25989950920056,0.9044826740764956,0.525,1.285,0.7600000000000001,169,region_raster
