key,lat,lon,in_15cdec_grid,in_9unimp,in_11obs,in_12rim,in_calsim3_fp
35.34375_-119.53125,35.34375,-119.53125,0,0,0,0,1
35.34375_-119.46875,35.34375,-119.46875,0,0,0,0,1
35.34375_-119.40625,35.34375,-119.40625,0,0,0,0,1
35.34375_-119.34375,35.34375,-119.34375,0,0,0,0,1
35.34375_-119.28125,35.34375,-119.28125,0,0,0,0,1
35.34375_-119.21875,35.34375,-119.21875,0,0,0,0,1
35.34375_-119.15625,35.34375,-119.15625,0,0,0,0,1
35.34375_-119.09375,35.34375,-119.09375,0,0,0,0,1
35.34375_-119.03125,35.34375,-119.03125,0,0,0,0,1
35.34375_-118.96875,35.34375,-118.96875,0,0,0,0,1
35.34375_-118.90625,35.34375,-118.90625,0,0,0,0,1
35.34375_-118.84375,35.34375,-118.84375,0,0,0,0,1
35.34375_-118.78125,35.34375,-118.78125,0,0,0,0,1
35.34375_-118.71875,35.34375,-118.71875,0,0,0,0,1
35.34375_-118.65625,35.34375,-118.65625,0,0,0,0,1
35.34375_-118.59375,35.34375,-118.59375,0,0,0,0,1
35.34375_-118.53125,35.34375,-118.53125,0,0,0,0,1
35.34375_-118.46875,35.34375,-118.46875,0,0,0,0,1
35.34375_-118.40625,35.34375,-118.40625,0,0,0,0,1
35.34375_-118.34375,35.34375,-118.34375,0,0,0,0,1
35.34375_-118.28125,35.34375,-118.28125,0,0,0,0,1
35.40625_-120.03125,35.40625,-120.03125,0,0,0,0,1
35.40625_-119.96875,35.40625,-119.96875,0,0,0,0,1
35.40625_-119.90625,35.40625,-119.90625,0,0,0,0,1
35.40625_-119.84375,35.40625,-119.84375,0,0,0,0,1
35.40625_-119.78125,35.40625,-119.78125,0,0,0,0,1
35.40625_-119.71875,35.40625,-119.71875,0,0,0,0,1
35.40625_-119.65625,35.40625,-119.65625,0,0,0,0,1
35.40625_-119.59375,35.40625,-119.59375,0,0,0,0,1
35.40625_-119.53125,35.40625,-119.53125,0,0,0,0,1
35.40625_-119.46875,35.40625,-119.46875,0,0,0,0,1
35.40625_-119.40625,35.40625,-119.40625,0,0,0,0,1
35.40625_-119.34375,35.40625,-119.34375,0,0,0,0,1
35.40625_-119.28125,35.40625,-119.28125,0,0,0,0,1
35.40625_-119.21875,35.40625,-119.21875,0,0,0,0,1
35.40625_-119.15625,35.40625,-119.15625,0,0,0,0,1
35.40625_-119.09375,35.40625,-119.09375,0,0,0,0,1
35.40625_-119.03125,35.40625,-119.03125,0,0,0,0,1
35.40625_-118.96875,35.40625,-118.96875,0,0,0,0,1
35.40625_-118.90625,35.40625,-118.90625,0,0,0,0,1
35.40625_-118.84375,35.40625,-118.84375,0,0,0,0,1
35.40625_-118.78125,35.40625,-118.78125,0,0,0,0,1
35.40625_-118.71875,35.40625,-118.71875,0,0,0,0,1
