key,date,prcp_raw_mm
38.15625_-120.65625,1974-07-10,198.86500549316406
38.15625_-120.71875,1974-07-10,202.43099975585938
38.21875_-120.65625,1974-07-09,161.29400634765625
38.21875_-120.65625,1974-07-10,202.82899475097656
38.28125_-120.59375,1974-07-09,220.63699340820312
38.28125_-120.65625,1974-07-09,425.5899963378906
38.28125_-120.65625,1980-07-02,227.48500061035156
38.28125_-120.71875,1974-07-09,265.114013671875
38.28125_-120.71875,1980-07-02,157.0469970703125
38.34375_-120.09375,1974-07-09,214.9409942626953
38.34375_-120.09375,1976-08-15,151.56700134277344
38.34375_-120.15625,1974-07-09,216.66000366210938
38.34375_-120.21875,1974-07-09,153.13800048828125
38.34375_-120.53125,1974-07-09,173.42100524902344
38.34375_-120.59375,1974-07-09,437.3580017089844
38.34375_-120.59375,1974-07-10,157.54600524902344
38.34375_-120.65625,1974-07-09,568.927001953125
38.34375_-120.65625,1980-07-02,306.9219970703125
38.34375_-120.71875,1974-07-09,313.2980041503906
38.34375_-120.71875,1980-07-02,164.11099243164062
38.40625_-120.09375,1974-07-09,181.88699340820312
38.40625_-120.15625,1974-07-09,254.5
38.40625_-120.21875,1974-07-09,231.87399291992188
38.40625_-120.28125,1974-07-09,161.2790069580078
38.40625_-120.46875,1974-07-09,204.09100341796875
38.40625_-120.53125,1974-07-09,201.218994140625
38.40625_-120.59375,1974-07-09,198.8730010986328
38.40625_-120.65625,1974-07-09,319.43499755859375
38.46875_-120.03125,1974-07-09,151.59800720214844
38.46875_-120.09375,1974-07-09,177.7779998779297
38.46875_-120.15625,1974-07-09,184.16600036621094
38.46875_-120.40625,1974-07-09,172.5919952392578
38.46875_-120.46875,1974-07-09,298.1839904785156
38.46875_-120.53125,1974-07-09,269.5409851074219
38.46875_-120.59375,1974-07-09,204.34800720214844
38.46875_-120.65625,1974-07-09,283.3800048828125
38.53125_-120.09375,1974-07-09,161.53900146484375
38.53125_-120.15625,1974-07-09,163.78500366210938
38.53125_-120.21875,1974-07-09,152.52499389648438
38.53125_-120.34375,1974-07-09,174.36000061035156
38.53125_-120.40625,1974-07-09,252.36199951171875
38.53125_-120.46875,1974-07-09,290.4540100097656
38.53125_-120.53125,1974-07-09,378.0299987792969
38.53125_-120.59375,1974-07-09,288.0559997558594
38.53125_-120.65625,1974-07-09,316.95001220703125
38.53125_-120.71875,1974-07-09,232.93600463867188
38.59375_-120.09375,1974-07-09,182.11900329589844
38.59375_-120.15625,1974-07-09,216.4550018310547
38.59375_-120.21875,1974-07-09,181.7949981689453
38.59375_-120.28125,1974-07-09,201.51199340820312
38.59375_-120.34375,1974-07-09,197.24899291992188
38.59375_-120.40625,1974-07-09,257.6600036621094
38.59375_-120.46875,1974-07-09,233.9600067138672
38.59375_-120.53125,1974-07-09,360.9679870605469
38.59375_-120.59375,1974-07-09,249.98199462890625
