basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9614,0.9245,0.7434,0.9622,5812,0.9225,0.9106,6.44,0.957,5567,1.1406,8047.8053
BND,8900.0,0.9532,0.943,-0.9439,0.9711,1458,0.9435,0.9364,3.4507,0.9681,5571,1.2101,11400.9932
ORO,3607.0,0.9257,0.9345,0.6163,0.9673,5480,0.9061,0.8907,-3.1106,0.9441,5569,1.557,5945.3266
YRS,1108.0,0.8606,0.868,2.4585,0.9333,5063,0.8845,0.8344,8.2022,0.919,5545,2.7166,3186.4137
FOL,1885.0,0.8878,0.8959,1.1624,0.9477,5063,0.8643,0.8823,0.3827,0.9415,5272,2.0599,4110.5197
MKM,544.0,0.9053,0.8637,5.0624,0.9303,5195,0.862,0.8189,-7.5962,0.9066,5056,1.8209,1048.6139
NHG,363.0,0.8934,0.8817,4.6102,0.9392,4637,0.8172,0.8205,3.5569,0.908,4678,0.658,252.8732
NML,900.0,0.94,0.8886,-1.5883,0.9437,5721,0.8664,0.8167,-9.526,0.9087,5473,1.5142,1442.6615
TLG,1538.0,0.9089,0.9262,2.0951,0.9635,5498,0.933,0.8965,2.5145,0.9472,5157,1.6987,2765.7774
MRC,1061.0,0.8673,0.9184,8.2092,0.9613,5463,0.823,0.8624,-4.5731,0.9334,5570,1.1648,1308.346
MIL,1675.0,0.9489,0.942,2.7763,0.9708,5721,0.9276,0.8761,1.0118,0.9365,5499,1.3344,2366.0635
PNF,1545.0,0.974,0.9598,0.4598,0.9797,5809,0.8872,0.8637,8.2597,0.937,5549,1.3144,2149.7892
TRM,561.0,0.954,0.9145,-0.1576,0.9567,5543,0.8953,0.8879,-6.0182,0.9431,5503,0.9003,534.6446
SCC,393.0,0.8821,0.9201,5.4679,0.9614,5228,0.5952,0.7128,32.6927,0.913,5292,0.4767,198.3217
ISB,2074.0,0.9482,0.9281,3.1794,0.9653,5821,0.8879,0.8198,2.5079,0.9064,5569,0.3887,853.502
