basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9466,0.9084,-0.7634,0.9534,5812,0.9154,0.8978,2.8084,0.9479,5567,1.1406,8047.8053
BND,8900.0,0.9338,0.9009,2.1958,0.9495,1458,0.8839,0.9208,4.3321,0.9623,5571,1.2101,11400.9932
ORO,3607.0,0.921,0.9268,-2.8362,0.9632,5480,0.9121,0.8991,-4.0751,0.9486,5569,1.557,5945.3266
YRS,1108.0,0.8781,0.863,-2.6196,0.9295,5063,0.9179,0.8413,0.3535,0.9195,5545,2.7166,3186.4137
FOL,1885.0,0.906,0.8909,-1.1201,0.9441,5063,0.8664,0.8881,-3.3594,0.9446,5272,2.0599,4110.5197
MKM,544.0,0.9106,0.8649,-0.5782,0.9301,5195,0.8374,0.8277,-13.1949,0.9148,5056,1.8209,1048.6139
NHG,363.0,0.8831,0.8843,-7.2961,0.9407,4637,0.7927,0.821,-10.7885,0.9086,4678,0.658,252.8732
NML,900.0,0.8986,0.8853,-3.542,0.9414,5721,0.8724,0.8101,-8.3396,0.9051,5473,1.5142,1442.6615
TLG,1538.0,0.9067,0.908,1.0231,0.9535,5498,0.932,0.8946,4.3282,0.9482,5157,1.6987,2765.7774
MRC,1061.0,0.9063,0.8987,0.4111,0.9484,5463,0.8441,0.8617,-10.4803,0.9305,5570,1.1648,1308.346
MIL,1675.0,0.9619,0.926,-0.3557,0.9627,5721,0.9131,0.8795,-5.2449,0.9389,5499,1.3344,2366.0635
PNF,1545.0,0.9696,0.9417,0.7909,0.971,5809,0.9158,0.8758,5.4224,0.9402,5549,1.3144,2149.7892
TRM,561.0,0.9424,0.9024,-1.4244,0.9503,5543,0.8979,0.8999,-6.7668,0.9497,5503,0.9003,534.6446
SCC,393.0,0.8724,0.9022,-4.0412,0.9522,5228,0.5366,0.6241,30.0006,0.9114,5292,0.4767,198.3217
ISB,2074.0,0.9642,0.9408,-0.5467,0.97,5821,0.8815,0.8665,-3.7256,0.9315,5569,0.3887,853.502
