basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.941,0.9099,-0.9964,0.954,5812,0.9158,0.8993,3.3578,0.9488,5567,1.1406,8047.8053
BND,8900.0,0.9423,0.9106,1.0143,0.9544,1458,0.9116,0.9318,4.4451,0.9666,5571,1.2101,11400.9932
ORO,3607.0,0.8969,0.9182,-5.0747,0.9595,5480,0.8971,0.9042,-5.8009,0.9518,5569,1.557,5945.3266
YRS,1108.0,0.8355,0.8516,-4.9836,0.9254,5063,0.9065,0.8438,-1.3659,0.9193,5545,2.7166,3186.4137
FOL,1885.0,0.8701,0.8841,-4.2193,0.9419,5063,0.8325,0.8842,-5.4999,0.9455,5272,2.0599,4110.5197
MKM,544.0,0.8645,0.8558,-6.1612,0.9261,5195,0.7757,0.8194,-18.5506,0.9131,5056,1.8209,1048.6139
NHG,363.0,0.8946,0.883,-4.6184,0.9399,4637,0.8537,0.841,-2.407,0.9178,4678,0.658,252.8732
NML,900.0,0.8662,0.8719,-5.3336,0.9353,5721,0.8359,0.8194,-11.3123,0.9086,5473,1.5142,1442.6615
TLG,1538.0,0.8881,0.8994,-1.9729,0.9496,5498,0.9469,0.8992,1.6966,0.9497,5157,1.6987,2765.7774
MRC,1061.0,0.863,0.8868,-2.3262,0.9442,5463,0.7683,0.8464,-15.394,0.9283,5570,1.1648,1308.346
MIL,1675.0,0.9532,0.9275,-1.5532,0.9632,5721,0.9203,0.8771,-4.471,0.9379,5499,1.3344,2366.0635
PNF,1545.0,0.9691,0.9495,-1.5572,0.9746,5809,0.8741,0.8691,7.9608,0.9435,5549,1.3144,2149.7892
TRM,561.0,0.9343,0.9112,-1.747,0.9546,5543,0.8669,0.8932,-8.6819,0.9474,5503,0.9003,534.6446
SCC,393.0,0.8567,0.8899,-3.3979,0.9465,5228,0.5631,0.6452,31.7083,0.9026,5292,0.4767,198.3217
ISB,2074.0,0.9659,0.9404,-1.3124,0.97,5821,0.861,0.8238,-2.6849,0.9079,5569,0.3887,853.502
