basin,key,lat,lon,Kpet,uztwm,uzfwm,lztwm,lzfpm,lzfsm,uzk,lzpk,lzsk,zperc,rexp,pfree,pctim,adimp,riva,side,rserv,SCF,PXTEMP,MFMAX,MFMIN,UADJ,MBASE,TIPM,PLWHC,NMF,DAYGM,Nres,Kres,Velo,Diff
SHA,41.53125_-121.90625,41.53125,-121.90625,0.7103161474225576,193.50013716163303,519.5567031890978,1485.2455898533678,1309.7359311321304,3466.319068471057,0.2594202347486363,0.2658654855818739,0.01781811669268395,394.8599895945521,4.646268451914668,0.361294734484697,0.018323884315946847,0.22178805241771488,0.017065527922881574,0.0,0.25612478187513205,1.0,0.0,0.5394316294202751,0.0735990082121126,0.03214355409524965,0.17362258127395758,0.9780308016264913,0.028695457444264733,0.29195123373730236,0.15199252926872237,9.372975261729454,0.7712619532482546,4.526768977265681,3928.8650068433444
SHA,41.53125_-121.84375,41.53125,-121.84375,0.6642587127978248,178.25714914088434,486.6587422901919,1785.311599195868,1273.7854223575991,3515.4474495738054,0.24395536453539404,0.28926863205298736,0.014689727805079258,404.50088921865216,4.3034389804794255,0.33613172140266084,0.01649403080707288,0.2049215292360063,0.010877049072233694,0.0,0.25612478187513205,1.0,0.0,0.4823307499318086,0.07130930118743714,0.031510053271552464,0.2013902699306665,0.9775560908557047,0.029686986187295837,0.29083055411447,0.14749684793046106,9.861828072058973,0.7541558212270253,4.587172356748932,3939.321736465786
SHA,41.53125_-121.78125,41.53125,-121.78125,0.7014576658010035,222.9155444839263,502.20735799065824,2015.9382725166279,1159.3644294079986,3731.59206551786,0.2540326407272311,0.3096176002525259,0.014457437034730717,398.5218231347071,4.493620342386075,0.32289267300371266,0.01705219833487132,0.20342878023674438,0.012565406737531521,0.0,0.25612478187513205,1.0,0.0,0.4510789206757696,0.07670307902392946,0.03191216936026881,0.2281597350705094,0.977954307705803,0.03039425351830598,0.28965951715183225,0.1327703784653235,9.559009875302369,0.7609294174479638,4.571982964778753,3919.4596877943213
SHA,41.53125_-121.71875,41.53125,-121.71875,0.7449157692166501,244.28516799735357,527.8654664373287,1815.15317412284,1171.4387015119019,3733.566285377058,0.2666629486103525,0.2920761013994509,0.01658595889013476,390.6330978132597,4.768421669002615,0.33383081926399577,0.01824773722940913,0.2140483468973246,0.017703328177735525,0.0,0.25612478187513205,1.0,0.0,0.48737685287331933,0.0792738473882904,0.03252368948427805,0.20559341970026543,0.9783504540667917,0.029589883139539662,0.2905657945445871,0.1355089891538728,9.219062703398164,0.772338644372659,4.521620740249936,3908.591382511127
SHA,41.53125_-121.53125,41.53125,-121.53125,0.8878559984670158,329.62145619849673,590.1737250849418,1562.0525131221705,1162.2443272897187,3791.7065863953235,0.30279207596278923,0.2770225066953948,0.02230701347040034,367.10457966197265,5.551214635303898,0.347246426563394,0.021719743481701467,0.24544346156312602,0.039518046229278514,0.0,0.25612478187513205,1.0,0.0,0.572700658729174,0.09216413818891137,0.03528221380743631,0.17409659412562778,0.9794096855417068,0.028570401812629563,0.29187291275249744,0.13264801682654917,8.169330345745589,0.8045637338083503,4.39874951988247,3846.7836047931287
SHA,41.53125_-121.46875,41.53125,-121.46875,0.5540252157730996,129.18876158302612,386.601829571081,2805.714460306881,1063.5211266327317,3809.1561411697508,0.20200825683531465,0.3541538803301404,0.008580989308374865,428.4711846722969,3.431785749659333,0.28667318629539895,0.012413239430186303,0.1491422707413561,0.0027702692376962907,0.0,0.25612478187513205,1.0,0.0,0.3099798612719669,0.0659350502611713,0.030538105887512084,0.3550241715983695,0.9760147516980482,0.03397668364424562,0.284332477996063,0.12419053823863965,11.39988075973317,0.6921788794067453,4.725265508829623,3962.627644106165
SHA,41.46875_-122.15625,41.46875,-122.15625,0.5823251192534784,108.38444200628798,443.90238137602853,1559.038167074462,1451.7064418680948,3088.0931874623025,0.21931176651853604,0.24347190426117152,0.014905684966138892,418.94218860500274,3.8199832688770936,0.3457666397227097,0.014192669564720841,0.18592677345905062,0.006865854388692617,0.0,0.25612478187513205,1.0,0.0,0.5248126195671576,0.062459325590033976,0.030795053112777505,0.16978631758431784,0.9764208343931653,0.02908951317254408,0.29209587474406146,0.1730610921972016,10.72782691292906,0.7304869459127041,4.631070357554778,3961.7761244894027
SHA,41.46875_-122.09375,41.46875,-122.09375,0.9693641930620522,390.6942439428387,610.7335158165959,1554.3687975134615,1170.63968007101,3782.0689231655924,0.31573130666772126,0.27421125022406173,0.02475143031750314,358.77208287600513,5.811341511627232,0.3319321902262204,0.022297199819100763,0.25963552478398927,0.051908333753100666,0.0,0.25612478187513205,1.0,0.0,0.6545561623438567,0.10027910686374811,0.036584293451143786,0.1538624115022884,0.9797318243865565,0.0284134081444391,0.2929249135777039,0.1357625167606893,7.694661904545633,0.8195728408037298,4.368600229682196,3783.4150225606204
SHA,41.46875_-122.03125,41.46875,-122.03125,0.6164996913117367,162.7963934125317,457.49026992706274,2143.852470512023,1182.0212206824958,3627.780195256281,0.23078339360278854,0.3002197845846643,0.0128042659726588,412.29484307363504,4.025705098627688,0.3194858878237311,0.014877173260753052,0.1748046569771743,0.007028116582179,0.0,0.25612478187513205,1.0,0.0,0.42179571181500936,0.06896604729633586,0.031072827359418707,0.23899997423953,0.9769800132162749,0.03082140010635951,0.2891895682189943,0.14141080287318245,10.41686968372056,0.7328202673233636,4.629365167702728,3940.8749532160264
SHA,41.46875_-121.96875,41.46875,-121.96875,0.5782834257117125,126.90008987448653,422.60349355212816,2243.0199212417915,1190.9063561723444,3612.917399683707,0.21479468689574224,0.31033771795502746,0.010917500740705674,421.10602009889726,3.714154742701137,0.3185011614466603,0.013819686003919383,0.16560565653405823,0.004645293991623736,0.0,0.25612478187513205,1.0,0.0,0.38066136659112476,0.06566413098553323,0.03073802667885172,0.26298966713710425,0.9764259541135012,0.03129822806118025,0.2881498198338582,0.14200221313311734,10.976812336896204,0.7123035527704733,4.671200923803336,3959.1107110500775
