basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9408,0.9071,-1.7695,0.9527,5812,0.9122,0.8953,1.5336,0.9464,5567,1.1406,8047.8053
BND,8900.0,0.8936,0.8954,0.2286,0.9471,1458,0.8559,0.921,3.0298,0.9654,5571,1.2101,11400.9932
ORO,3607.0,0.9197,0.9277,-3.0107,0.9638,5480,0.9189,0.8914,-2.8591,0.9443,5569,1.557,5945.3266
YRS,1108.0,0.8754,0.8637,-3.208,0.93,5063,0.9152,0.8304,0.7355,0.9159,5545,2.7166,3186.4137
FOL,1885.0,0.9042,0.8941,-1.9912,0.9459,5063,0.8703,0.8928,-1.3569,0.9471,5272,2.0599,4110.5197
MKM,544.0,0.9044,0.8668,-0.508,0.931,5195,0.8703,0.8405,-9.3123,0.9196,5056,1.8209,1048.6139
NHG,363.0,0.9178,0.8853,-0.9402,0.9409,4637,0.8175,0.8555,-6.8315,0.9288,4678,0.658,252.8732
NML,900.0,0.9017,0.8893,-2.6448,0.9434,5721,0.8671,0.8172,-9.1076,0.9082,5473,1.5142,1442.6615
TLG,1538.0,0.9108,0.9168,-0.1438,0.9582,5498,0.9328,0.8914,3.8788,0.9469,5157,1.6987,2765.7774
MRC,1061.0,0.8881,0.9017,-1.3976,0.951,5463,0.8015,0.8538,-13.22,0.9291,5570,1.1648,1308.346
MIL,1675.0,0.9367,0.9242,-1.992,0.9615,5721,0.9023,0.8833,-5.3074,0.9405,5499,1.3344,2366.0635
PNF,1545.0,0.9461,0.9446,-2.1764,0.9721,5809,0.886,0.8752,9.6124,0.9405,5549,1.3144,2149.7892
TRM,561.0,0.9283,0.8977,-1.4801,0.9475,5543,0.86,0.8898,-9.1072,0.9459,5503,0.9003,534.6446
SCC,393.0,0.8803,0.9108,-3.2661,0.9566,5228,0.805,0.8306,15.2304,0.93,5292,0.4767,198.3217
ISB,2074.0,0.938,0.9292,-2.71,0.9642,5821,0.8412,0.849,-5.3166,0.9237,5569,0.3887,853.502
