gid,tier,tier_label,area_km2_delineated,frac_in_calsim,n_obs,coverage_frac,first_obs,last_obs,synthetic,station_name,lat,lon,area_km2_usgs,area_ratio_delin_over_usgs
11294000,3,snow,117.897785,0.99941,10319,0.4095,1952-10-01,1980-12-31,False,HIGHLAND C BL SPICER MEADOWS RES CA,38.3929682,-119.9990737,117.5854552,1.0027
11294500,3,snow,428.712663,0.99907,14245,0.5652,1950-01-01,1988-12-31,False,NF STANISLAUS R NR AVERY CA,38.2438067,-120.2910282,429.93800799999997,0.9971
11299600,1,rain,37.273596,0.99931,11402,0.4524,1983-08-24,2014-12-31,False,BLACK C NR COPPEROPOLIS CA,37.96103615,-120.6152035,37.2958272,0.9994
11315000,3,snow,53.835063,0.99935,22925,0.9097,1950-01-01,2014-12-31,False,COLE C NR SALT SPRINGS DAM CA,38.5190783,-120.2126928,54.389748,0.9898
11316800,2,mixed,54.517491,1.0,20159,0.7999,1960-08-01,2015-12-31,False,FOREST C NR WILSEYVILLE CA,38.40324566,-120.4468676,53.8717504,1.012
11318500,2,mixed,194.068885,0.99965,23998,0.9522,1950-01-01,2015-12-31,False,SF MOKELUMNE R NR WEST POINT CA,38.36824625,-120.5454823,194.50809879999997,0.9977
11334300,2,mixed,166.064286,0.99984,8400,0.3333,1957-10-01,1980-09-29,False,SF COSUMNES R NR RIVER PINES CA,38.5568511,-120.7932682,166.5362284,0.9972
11337500,2,mixed,110.249514,0.99688,11139,0.442,1953-04-01,1983-09-29,False,MARSH C NR BYRON CA,37.87325835,-121.7271752,110.3334888,0.9992
11341400,2,mixed,333.008065,0.99913,10226,0.4058,1959-10-01,1987-09-29,False,SACRAMENTO R NR MT SHASTA CA,41.26654165,-122.311677,349.64838,0.9524
11371000,2,mixed,298.427657,0.99973,15621,0.6198,1950-10-01,1993-09-30,False,CLEAR C A FRENCH GULCH CA,40.6948699,-122.6366845,297.84862,1.0019
11372000,1,rain,590.959576,0.99919,4383,0.1739,1950-01-01,1961-12-31,False,CLEAR C NR IGO CA,40.51320587,-122.5241795,590.517264,1.0007
11374000,1,rain,1094.780303,0.99978,11323,0.4493,1950-01-01,1980-12-31,False,COW C NR MILLVILLE CA,40.50487467,-122.2330577,1100.7449,0.9946
11375700,2,mixed,227.065494,0.99881,8765,0.3478,1956-10-01,1980-09-29,False,NF COTTONWOOD C NR IGO CA,40.4420952,-122.5502903,229.7319356,0.9884
11379000,1,rain,318.81824,0.99895,11960,0.4746,1950-01-01,1982-09-29,False,ANTELOPE C NR RED BLUFF CA,40.2037674,-122.1183272,318.56852399999997,1.0008
11390672,2,mixed,100.264672,0.99997,9678,0.384,1958-04-01,1985-09-29,False,STONE CORRAL C NR SITES CA,39.2882206,-122.3010909,98.9375416,1.0134
11394500,2,mixed,2750.350438,0.99889,12783,0.5072,1951-10-01,1986-09-29,False,MF FEATHER R NR MERRIMAC CA,39.7082199,-121.2705175,2750.567256,0.9999
11396400,1,rain,48.788984,0.99984,8127,0.3225,1965-07-01,1987-09-30,False,SUCKER RUN NR FORBESTOWN CA,39.55322067,-121.302185,48.4327756,1.0074
11408850,2,mixed,350.394393,0.99853,4885,0.1938,1967-08-18,1980-12-31,False,M YUBA R NR CAMPTONVILLE CA,39.41683845,-120.9527274,352.238368,0.9948
11409300,1,rain,59.698054,0.99917,12023,0.4771,1967-10-01,2000-09-30,False,OREGON C A CAMPTONVILLE CA,39.4460031,-121.046343,59.569724,1.0022
11409500,2,mixed,89.10747,0.99892,7214,0.2862,1950-01-01,1969-10-01,False,OREGON C NR NORTH SAN JUAN CA,39.4026698,-121.0774542,89.0955872,1.0001
11413100,2,mixed,907.52094,0.99972,6758,0.2682,1968-07-01,1986-12-31,False,N YUBA R AB SLATE C NR STRAWBERRY CA,39.52461288,-121.0916235,909.085788,0.9983
11413320,2,mixed,8.127935,0.99881,6958,0.2761,1994-10-01,2014-12-31,False,DEADWOOD C NR STRAWBERRY VALLEY CA,39.54989055,-121.0944014,8.18436208,0.9931
11413323,2,mixed,5.391029,0.99123,6590,0.2615,1994-10-01,2014-12-31,False,OWL GULCH NR STRAWBERRY VALLEY CA,39.5454461,-121.0952348,5.36127516,1.0055
11414000,3,snow,135.516369,0.99809,11323,0.4493,1950-01-01,1980-12-31,False,S YUBA R NR CISCO CA,39.3212909,-120.5643753,134.1613784,1.0101
11418000,2,mixed,2871.410342,0.99903,7305,0.2899,1950-01-01,1969-12-31,False,YUBA R BL ENGLEBRIGHT DAM NR SMARTSVILLE CA,39.23517079,-121.2741256,2869.706704,1.0006
11426150,3,snow,9.32846,1.0,7306,0.2899,1959-10-01,1979-10-01,False,ONION C NR SODA SPRINGS CA,39.26712708,-120.3649233,9.27215704,1.0061
11427700,3,snow,25.637131,0.99759,19009,0.7543,1961-07-31,2014-12-31,False,DUNCAN CYN C NR FRENCH MEADOWS CA,39.1357376,-120.4785353,25.74448072,0.9958
11433260,2,mixed,229.581304,0.99919,7365,0.2922,1965-08-01,1985-09-29,False,NF OF MF AMERICAN R NR FORESTHILL CA,39.0240671,-120.7185401,230.24993320000002,0.9971
11433300,2,mixed,1348.247851,0.99828,3014,0.1196,1958-10-01,1966-12-31,False,MF AMERICAN R NR FORESTHILL CA,39.0060108,-120.7607633,1357.153712,0.9934
11433500,2,mixed,1590.977349,0.99846,5203,0.2065,1950-01-01,1964-12-31,False,MF AMERICAN R NR AUBURN CA,38.917954,-121.0152215,1590.252632,1.0005
11445500,2,mixed,1743.560145,0.99858,3014,0.1196,1951-10-01,1959-12-31,False,SF AMERICAN R NR LOTUS CA,38.81851188,-120.946885,1743.0619239999999,1.0003
11449500,1,rain,95.030973,0.99743,23379,0.9277,1950-01-01,2014-12-31,False,KELSEY C NR KELSEYVILLE CA,38.9273642,-122.8435719,94.79356080000001,1.0025
11451100,1,rain,155.193556,0.99709,15653,0.6211,1971-10-01,2015-12-31,False,NF CACHE C A HOUGH SPRING NR CLEARLAKE OAKS CA,39.1654458,-122.6199862,155.9172776,0.9954
11451715,1,rain,247.592273,0.99894,6051,0.2401,1997-11-21,2014-12-31,False,BEAR C AB HOLSTEN CHIMNEY CYN NR RUMSEY CA,38.95764605,-122.342726,245.78986120000002,1.0073
11523200,3,snow,383.325385,0.99839,20747,0.8232,1957-10-01,2014-12-31,False,TRINITY R AB COFFEE C NR TRINITY CENTER CA,41.11122108,-122.7055474,385.908212,0.9933
11525500,2,mixed,1862.092717,0.99821,4018,0.1594,1950-01-01,1960-12-31,False,TRINITY R A LEWISTON CA,40.7247222,-122.801111,1862.201372,0.9999
