basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9401,0.9083,-1.0563,0.9532,5812,0.9149,0.8966,3.8253,0.9475,5567,1.1406,8047.8053
BND,8900.0,0.9413,0.9042,-0.0861,0.9511,1458,0.9236,0.9241,5.1486,0.9622,5571,1.2101,11400.9932
ORO,3607.0,0.9082,0.9277,-2.0104,0.9644,5480,0.93,0.9049,-2.6607,0.9514,5569,1.557,5945.3266
YRS,1108.0,0.867,0.8622,-2.4673,0.9295,5063,0.9114,0.839,3.6255,0.9214,5545,2.7166,3186.4137
FOL,1885.0,0.9015,0.8901,-0.6965,0.9437,5063,0.9017,0.8969,0.1529,0.9475,5272,2.0599,4110.5197
MKM,544.0,0.8979,0.8593,-0.9975,0.927,5195,0.8698,0.8394,-10.0722,0.9203,5056,1.8209,1048.6139
NHG,363.0,0.8701,0.8759,-7.9133,0.9364,4637,0.8116,0.8392,-8.9676,0.9186,4678,0.658,252.8732
NML,900.0,0.8972,0.8812,-2.3794,0.939,5721,0.8919,0.8272,-6.4646,0.9138,5473,1.5142,1442.6615
TLG,1538.0,0.9227,0.9106,0.19,0.9544,5498,0.8937,0.8792,6.3153,0.9463,5157,1.6987,2765.7774
MRC,1061.0,0.8992,0.9079,0.8759,0.9538,5463,0.879,0.8694,-6.8663,0.9333,5570,1.1648,1308.346
MIL,1675.0,0.9552,0.926,0.9544,0.9625,5721,0.8827,0.8794,-5.2468,0.9387,5499,1.3344,2366.0635
PNF,1545.0,0.9593,0.9401,2.5228,0.9699,5809,0.9113,0.8794,5.2427,0.9387,5549,1.3144,2149.7892
TRM,561.0,0.9426,0.9105,0.9747,0.9543,5543,0.9444,0.9118,-2.1913,0.9552,5503,0.9003,534.6446
SCC,393.0,0.8602,0.9063,-3.0839,0.9559,5228,0.494,0.6108,36.4599,0.9093,5292,0.4767,198.3217
ISB,2074.0,0.9503,0.928,-0.1572,0.9633,5821,0.8541,0.8484,-3.1816,0.9223,5569,0.3887,853.502
