basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9554,0.9188,-1.2735,0.959,5812,0.9353,0.8984,3.4568,0.9489,5567,1.1406,8047.8053
BND,8900.0,0.9413,0.9392,-0.261,0.9693,1458,0.8973,0.9079,5.461,0.9543,5571,1.2101,11400.9932
ORO,3607.0,0.9291,0.9269,0.78,0.9631,5480,0.9394,0.9009,-2.1819,0.9496,5569,1.557,5945.3266
YRS,1108.0,0.8782,0.8641,3.175,0.9301,5063,0.8704,0.8184,8.8226,0.9149,5545,2.7166,3186.4137
FOL,1885.0,0.9067,0.8961,0.5638,0.9469,5063,0.8997,0.8987,0.8288,0.9486,5272,2.0599,4110.5197
MKM,544.0,0.8989,0.8655,6.5277,0.9317,5195,0.8736,0.8301,-4.7119,0.9117,5056,1.8209,1048.6139
NHG,363.0,0.8764,0.8534,9.6871,0.9259,4637,0.8534,0.8199,7.07,0.9057,4678,0.658,252.8732
NML,900.0,0.9351,0.8834,-2.6523,0.9414,5721,0.8642,0.8119,-9.8091,0.9071,5473,1.5142,1442.6615
TLG,1538.0,0.93,0.9235,0.8554,0.9612,5498,0.9313,0.8776,2.0598,0.941,5157,1.6987,2765.7774
MRC,1061.0,0.8809,0.9137,6.0601,0.9579,5463,0.8166,0.8538,-6.521,0.9286,5570,1.1648,1308.346
MIL,1675.0,0.9499,0.9385,3.2934,0.9691,5721,0.9177,0.8441,1.9765,0.9212,5499,1.3344,2366.0635
PNF,1545.0,0.9611,0.9607,3.3541,0.9805,5809,0.8608,0.8944,11.4676,0.955,5549,1.3144,2149.7892
TRM,561.0,0.9454,0.9036,0.725,0.9509,5543,0.9049,0.9001,-3.9895,0.9493,5503,0.9003,534.6446
SCC,393.0,0.865,0.8808,1.9591,0.9405,5228,0.5457,0.6731,34.7735,0.9139,5292,0.4767,198.3217
ISB,2074.0,0.9396,0.9085,3.8015,0.9555,5821,0.8749,0.8274,0.2285,0.9096,5569,0.3887,853.502
