basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9415,0.9037,-1.6209,0.951,5812,0.9191,0.8972,2.108,0.9474,5567,1.1406,8047.8053
BND,8900.0,0.9414,0.8958,-1.8693,0.9473,1458,0.9322,0.9286,0.9105,0.9639,5571,1.2101,11400.9932
ORO,3607.0,0.8754,0.9138,-8.4917,0.958,5480,0.8712,0.9003,-9.4357,0.9509,5569,1.557,5945.3266
YRS,1108.0,0.8494,0.8519,-5.0184,0.9245,5063,0.9002,0.8326,-4.5818,0.9148,5545,2.7166,3186.4137
FOL,1885.0,0.9161,0.8815,-1.5978,0.9389,5063,0.889,0.8945,-4.371,0.9467,5272,2.0599,4110.5197
MKM,544.0,0.8927,0.8504,-3.9945,0.9226,5195,0.782,0.8074,-19.1264,0.9079,5056,1.8209,1048.6139
NHG,363.0,0.8912,0.8735,-5.8728,0.9348,4637,0.8172,0.8306,-8.55,0.913,4678,0.658,252.8732
NML,900.0,0.8846,0.8725,-6.5837,0.9352,5721,0.8482,0.8102,-11.8291,0.9067,5473,1.5142,1442.6615
TLG,1538.0,0.8631,0.8994,-6.5498,0.9514,5498,0.9432,0.893,-1.8948,0.9465,5157,1.6987,2765.7774
MRC,1061.0,0.8916,0.8885,-2.4829,0.9433,5463,0.7813,0.8425,-16.1826,0.924,5570,1.1648,1308.346
MIL,1675.0,0.9551,0.9152,-1.1418,0.9573,5721,0.8733,0.8946,-9.1164,0.948,5499,1.3344,2366.0635
PNF,1545.0,0.9576,0.9443,-2.4874,0.972,5809,0.928,0.8776,3.5979,0.9403,5549,1.3144,2149.7892
TRM,561.0,0.9464,0.8984,-0.9212,0.9487,5543,0.887,0.8939,-9.0683,0.9474,5503,0.9003,534.6446
SCC,393.0,0.8453,0.8581,-5.817,0.9282,5228,0.6163,0.7006,26.3759,0.9161,5292,0.4767,198.3217
ISB,2074.0,0.9522,0.9325,-1.5692,0.9657,5821,0.843,0.8468,-3.4179,0.9221,5569,0.3887,853.502
