basin,area_mi2,cal_kge,cal_nse,cal_pbias,cal_r,cal_n,val_kge,val_nse,val_pbias,val_r,val_n,obs_mean_mmday,obs_mean_cfs
SHA,6665.0,0.9535,0.9246,-2.5729,0.9623,5812,0.9452,0.9104,1.9909,0.9546,5567,1.1406,8047.8053
BND,8900.0,0.9472,0.945,-2.0994,0.9724,1458,0.9169,0.925,4.243,0.9627,5571,1.2101,11400.9932
ORO,3607.0,0.9276,0.9328,-2.9582,0.9663,5480,0.9115,0.8969,-6.0826,0.9479,5569,1.557,5945.3266
YRS,1108.0,0.8792,0.8669,0.1447,0.9316,5063,0.9045,0.8437,5.2974,0.9245,5545,2.7166,3186.4137
FOL,1885.0,0.9189,0.8939,0.1144,0.9455,5063,0.9014,0.9066,-0.972,0.953,5272,2.0599,4110.5197
MKM,544.0,0.912,0.8691,3.9975,0.9329,5195,0.8643,0.8283,-8.3463,0.9121,5056,1.8209,1048.6139
NHG,363.0,0.9239,0.8739,1.1816,0.9352,4637,0.8455,0.8283,-1.2926,0.9108,4678,0.658,252.8732
NML,900.0,0.9217,0.8772,-3.7933,0.9375,5721,0.8551,0.8153,-10.74,0.9079,5473,1.5142,1442.6615
TLG,1538.0,0.932,0.9222,0.1058,0.9605,5498,0.937,0.8952,1.8565,0.9466,5157,1.6987,2765.7774
MRC,1061.0,0.9067,0.9197,3.8019,0.9599,5463,0.831,0.8603,-8.0216,0.9308,5570,1.1648,1308.346
MIL,1675.0,0.9653,0.942,-0.9234,0.9707,5721,0.9037,0.8687,-5.0591,0.9329,5499,1.3344,2366.0635
PNF,1545.0,0.9782,0.9589,0.0232,0.9794,5809,0.8709,0.8819,9.822,0.9485,5549,1.3144,2149.7892
TRM,561.0,0.9526,0.9135,-0.3977,0.9561,5543,0.8571,0.8892,-7.5125,0.9458,5503,0.9003,534.6446
SCC,393.0,0.9039,0.9029,0.9406,0.9508,5228,0.612,0.6785,28.4032,0.9028,5292,0.4767,198.3217
ISB,2074.0,0.9471,0.9147,0.6037,0.9593,5821,0.8389,0.8152,-4.4044,0.9038,5569,0.3887,853.502
